item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,passive,passive,a teacher is dragged by a student .,a girl drags a guest .,a guest is dragged by a girl .,a teacher is dragged by a student .,full_sentence_processing,-5.103272029331753,-4.052603721618652,1.0506683077131005,-35.722904205322266,-32.42082977294922,3.302074432373047,7,8,passive,1,0,-1.0506683077131005,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,1.0506683077131005
0,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a girl drags a guest .,a guest is dragged by a girl .,<|endoftext|>,full_sentence_processing,-6.704627990722656,-6.991400718688965,-0.2867727279663086,-46.932395935058594,-55.93120574951172,-8.998809814453125,7,8,active,0,1,0.2867727279663086,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_eos,0,-0.2867727279663086
1,processing_teacher_forced,passive,passive,a guy is beaten by a guest .,a student beats a teacher .,a teacher is beaten by a student .,a guy is beaten by a guest .,full_sentence_processing,-4.799354553222656,-3.0780224800109863,1.72133207321167,-28.796127319335938,-24.62417984008789,4.171947479248047,6,8,passive,1,0,-1.72133207321167,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,1.72133207321167
1,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a student beats a teacher .,a teacher is beaten by a student .,<|endoftext|>,full_sentence_processing,-6.8482100168863935,-5.128057479858398,1.720152537027995,-41.08926010131836,-41.02445983886719,0.064800262451171875,6,8,passive,1,0,-1.720152537027995,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_eos,1,1.720152537027995
2,processing_teacher_forced,passive,passive,an author is killed by an aunt .,a mayor kills a minister .,a minister is killed by a mayor .,an author is killed by an aunt .,full_sentence_processing,-5.898699442545573,-4.26453161239624,1.634167830149333,-35.39219665527344,-34.11625289916992,1.2759437561035156,6,8,passive,1,0,-1.634167830149333,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,1.634167830149333
2,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a mayor kills a minister .,a minister is killed by a mayor .,<|endoftext|>,full_sentence_processing,-7.466159184773763,-6.3675031661987305,1.0986560185750325,-44.79695510864258,-50.94002532958984,-6.143070220947266,6,8,passive,1,0,-1.0986560185750325,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_eos,1,1.0986560185750325
3,processing_teacher_forced,passive,passive,a winner is hurried by a wife .,a hero hurries a husband .,a husband is hurried by a hero .,a winner is hurried by a wife .,full_sentence_processing,-5.877358572823661,-4.392377853393555,1.484980719430106,-41.141510009765625,-35.13902282714844,6.0024871826171875,7,8,passive,1,0,-1.484980719430106,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,1.484980719430106
3,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a hero hurries a husband .,a husband is hurried by a hero .,<|endoftext|>,full_sentence_processing,-8.321653093610491,-7.111660957336426,1.2099921362740655,-58.25157165527344,-56.893287658691406,1.3582839965820312,7,8,passive,1,0,-1.2099921362740655,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_eos,1,1.2099921362740655
4,processing_teacher_forced,passive,passive,a winner is judged by a wife .,a hero judges a husband .,a husband is judged by a hero .,a winner is judged by a wife .,full_sentence_processing,-6.877983729044597,-3.8868117332458496,2.991171995798747,-41.26790237426758,-31.094493865966797,10.17340850830078,6,8,passive,1,0,-2.991171995798747,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,2.991171995798747
4,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a hero judges a husband .,a husband is judged by a hero .,<|endoftext|>,full_sentence_processing,-8.721384684244791,-6.432587146759033,2.288797537485758,-52.32830810546875,-51.460697174072266,0.8676109313964844,6,8,passive,1,0,-2.288797537485758,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_eos,1,2.288797537485758
