item_index,prime_structure,sample_index,prime_sentence,target_active,target_passive,agent_noun,patient_noun,active_verb_form,passive_verb_form,prompt,raw_continuation,generated_sentence,generated_structure
0,active,0,a singer punches a reader .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a singer punches a reader .
Write one new grammatical English sentence about a different event. Use the nouns ""pilot"" and ""man"" and use the verb form ""embraced"". Produce exactly one sentence and nothing else.
Sentence:"," a singer punches a reader .
Write one new grammatical English sentence about a different event. Use the nouns """,a singer punches a reader .,other
0,passive,0,a reader is punched by a singer .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a reader is punched by a singer .
Write one new grammatical English sentence about a different event. Use the nouns ""pilot"" and ""man"" and use the verb form ""embraced"". Produce exactly one sentence and nothing else.
Sentence:"," a reader is punched by a singer . Use the nouns ""pilot"" and ""man"" and use the verb",a reader is punched by a singer .,other
1,active,0,a partner leads a business .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a partner leads a business .
Write one new grammatical English sentence about a different event. Use the nouns ""reader"" and ""tea"" and use the verb form ""destroyed"". Produce exactly one sentence and nothing else.
Sentence:", A lawyer is arrested after murdering his sister . You should add a description of the crime and the suspect and use the,A lawyer is arrested after murdering his sister .,other
1,passive,0,a business is led by a partner .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a business is led by a partner .
Write one new grammatical English sentence about a different event. Use the nouns ""reader"" and ""tea"" and use the verb form ""destroyed"". Produce exactly one sentence and nothing else.
Sentence:"," a business is led by a partner .

A:

Your problem is that you are rewriting a sentence",a business is led by a partner .,other
2,active,0,the soldier judges the company .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the soldier judges the company .
Write one new grammatical English sentence about a different event. Use the nouns ""employer"" and ""anchor"" and use one of the verb forms ""broke"" or ""broken"". Produce exactly one sentence and nothing else.
Sentence:","
The employee judges the company.
Sentence:
The employer judges the company.

This question is part",The employee judges the company.,other
2,passive,0,the company is judged by the soldier .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the company is judged by the soldier .
Write one new grammatical English sentence about a different event. Use the nouns ""employer"" and ""anchor"" and use one of the verb forms ""broke"" or ""broken"". Produce exactly one sentence and nothing else.
Sentence:","  I've been employed by the company for a long time.
Write one new grammatical English sentence about a different",I've been employed by the company for a long time.,other
3,active,0,the reader destroys the tea .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the reader destroys the tea .
Write one new grammatical English sentence about a different event. Use the nouns ""scientist"" and ""chicken"" and use the verb form ""collected"". Produce exactly one sentence and nothing else.
Sentence:"," ""the scientist collects his collected chicken"".
Write one new grammatical English sentence about a different event. Use the noun","""the scientist collects his collected chicken"".",active
3,passive,0,the tea is destroyed by the reader .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the tea is destroyed by the reader .
Write one new grammatical English sentence about a different event. Use the nouns ""scientist"" and ""chicken"" and use the verb form ""collected"". Produce exactly one sentence and nothing else.
Sentence:"," the tea is destroyed by the reader .

A:

What you want is to write a novel, but",the tea is destroyed by the reader .,other
4,active,0,a company uses a bottle .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a company uses a bottle .
Write one new grammatical English sentence about a different event. Use the nouns ""army"" and ""candy"" and use the verb form ""kept"". Produce exactly one sentence and nothing else.
Sentence:"," a company uses a bottle .
Write one new grammatical English sentence about a different event. Use the nouns """,a company uses a bottle .,other
4,passive,0,a bottle is used by a company .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a bottle is used by a company .
Write one new grammatical English sentence about a different event. Use the nouns ""army"" and ""candy"" and use the verb form ""kept"". Produce exactly one sentence and nothing else.
Sentence:"," a bottle is used by a company . 
Write one new grammatical English sentence about a different event. Use the",a bottle is used by a company .,other
