prompt_column,prime_condition,generation_class_detailed_final,n_items,total_items,share
prompt_active,active,active_target_transitive_like,604,2048,0.294921875
prompt_active,active,active_transitive,228,2048,0.111328125
prompt_active,active,other_prepositional_misc,446,2048,0.2177734375
prompt_active,active,other_unclassified,770,2048,0.3759765625
prompt_filler,filler,active_target_transitive_like,40,2048,0.01953125
prompt_filler,filler,copular_adjectival,34,2048,0.0166015625
prompt_filler,filler,copular_nominal,17,2048,0.00830078125
prompt_filler,filler,other_prepositional_misc,1526,2048,0.7451171875
prompt_filler,filler,other_unclassified,241,2048,0.11767578125
prompt_filler,filler,passive_by,143,2048,0.06982421875
prompt_filler,filler,passive_short,47,2048,0.02294921875
prompt_no_prime,no_prime,other_coordinate_multiclause,103,2048,0.05029296875
prompt_no_prime,no_prime,other_prepositional_misc,1593,2048,0.77783203125
prompt_no_prime,no_prime,other_relative_identity_clause,52,2048,0.025390625
prompt_no_prime,no_prime,other_unclassified,147,2048,0.07177734375
prompt_no_prime,no_prime,passive_by,102,2048,0.0498046875
prompt_no_prime,no_prime,passive_short,51,2048,0.02490234375
prompt_passive,passive,active_target_transitive_like,110,2048,0.0537109375
prompt_passive,passive,active_transitive,8,2048,0.00390625
prompt_passive,passive,copular_adjectival,39,2048,0.01904296875
prompt_passive,passive,copular_prepositional,138,2048,0.0673828125
prompt_passive,passive,other_prepositional_misc,668,2048,0.326171875
prompt_passive,passive,other_unclassified,45,2048,0.02197265625
prompt_passive,passive,passive_by,247,2048,0.12060546875
prompt_passive,passive,passive_short,37,2048,0.01806640625
prompt_passive,passive,passive_target_by,756,2048,0.369140625
