dataset_id,dataset_label,analysis_id,analysis_group,measure,direction,question,reference_condition,target_condition,observed_reference,observed_target,observed_target_minus_reference,emmean_reference,emmean_target,emmean_reference_ci_low,emmean_reference_ci_high,emmean_target_ci_low,emmean_target_ci_high,fixed_effect_estimate,fixed_effect_ci_low,fixed_effect_ci_high,fixed_effect_statistic,fixed_effect_p,model_error
gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,overall_prime_active_vs_passive,overall_prime_contrast,choice,passive,Does a passive prime yield more passive preference than an active prime?,active,passive,0.9543269230769229,0.9995192307692308,0.045192307692307865,0.9999990218782714,0.9999999999999998,0.9999990211222692,0.9999990226336897,0.9999999999999998,0.9999999999999998,22.34234016070299,22.341567304192044,22.343113017213934,56660.17096975417,0,NA
gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,baseline_eos_vs_empty,baseline_bias,choice,passive,Is the empty baseline more passive-biased than the EOS baseline?,no_prime_eos,no_prime_empty,0.9456730769230769,0.9480769230769232,0.0024038461538462563,0.9998492122998104,0.9998719231256382,0.9996838825421962,0.9999280806437385,0.9997249401161598,0.9999403679050876,0.16326493791610294,-0.3382877437820758,0.6648176196142818,0.6380055574028278,0.5234700624711106,NA
gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,baseline_eos_vs_filler,baseline_bias,choice,passive,Is the filler baseline more passive-biased than the EOS baseline?,no_prime_eos,filler,0.9456730769230769,0.9701923076923077,0.024519230769230793,0.9998844257506941,0.9999921969991264,0.99974199748405,0.999948231680532,0.9999724297054952,0.9999977916101085,2.6955125653631957,1.8821344448676554,3.508890685858736,6.495266364883733,8.288662668167541e-11,NA
gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,baseline_empty_vs_filler,baseline_bias,choice,passive,Is the filler baseline more passive-biased than the empty baseline?,no_prime_empty,filler,0.9480769230769232,0.9701923076923077,0.022115384615384537,0.9998333035339009,0.9999792035402394,0.9996409762331581,0.9999226100032695,0.9999370659216353,0.9999931280389364,2.08153773564745,1.38489594677556,2.77817952451934,5.856293807663477,4.7331057794928624e-9,NA
gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,active_priming_vs_no_prime_eos,active_priming,choice,active,Does an active prime increase active preference relative to the EOS baseline?,no_prime_eos,active,0.054326923076923134,0.04567307692307695,-0.008653846153846186,2.967217015581041e-4,1.7678352797592182e-4,1.4832017786274058e-4,5.935179990402876e-4,8.203822890980903e-5,3.8090773794889333e-4,-0.5179886559930298,-0.9950163066016902,-0.04096100538436942,-2.1282605082771573,0.033315490473907604,NA
gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,active_priming_vs_no_prime_empty,active_priming,choice,active,Does an active prime increase active preference relative to the empty baseline?,no_prime_empty,active,0.05192307692307693,0.04567307692307695,-0.006249999999999985,3.0178205843704926e-4,2.0857324025461266e-4,1.4983655381588013e-4,6.07718048240775e-4,9.820564325786588e-5,4.4292160151436006e-4,-0.36950807689542303,-0.8401721290816648,0.10115597529081882,-1.5387249554064326,0.12387145726563209,NA
gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,active_priming_vs_filler,active_priming,choice,active,Does an active prime increase active preference relative to the filler baseline?,filler,active,0.029807692307692354,0.04567307692307695,0.015865384615384594,2.677377422890307e-5,1.3268396525994327e-4,9.12583909221593e-6,7.854735498295201e-5,5.9334859176706544e-5,2.966795341497918e-4,1.6006531833058866,0.9213280511372764,2.2799783154744966,4.618145925212524,3.871839466211269e-6,NA
gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,passive_priming_vs_no_prime_eos,passive_priming,choice,passive,Does a passive prime increase passive preference relative to the EOS baseline?,no_prime_eos,passive,0.9456730769230769,0.9995192307692308,0.05384615384615388,0.9999987894386052,0.9999999999999998,0.9999987858906247,0.9999987929762174,0.9999999999999998,0.9999999999999998,24.640020257992283,24.63378612860018,24.64625438738439,7746.639385630057,0,NA
gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,passive_priming_vs_no_prime_empty,passive_priming,choice,passive,Does a passive prime increase passive preference relative to the empty baseline?,no_prime_empty,passive,0.9480769230769232,0.9995192307692308,0.05144230769230762,0.9999990152315869,0.9999999999999998,0.9999968573255826,0.9999996914197076,0.9999999981176341,0.9999999999999998,18.640445548153295,6.317505523369979,30.96338557293661,2.9647634295617578,0.003029157722470104,NA
gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,passive_priming_vs_filler,passive_priming,choice,passive,Does a passive prime increase passive preference relative to the filler baseline?,filler,passive,0.9701923076923077,0.9995192307692308,0.029326923076923084,0.9999962475754425,0.9999999999999998,0.9999962406618428,0.9999962544763277,0.9999999999999998,0.9999999999999998,52.071941457275585,52.070100628781404,52.07378228576977,55441.95463280415,0,NA
