item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,generation_class
0,prompt_active,active,the actor asked the actress .,the actress was asked by the actor .,The actor asked the actress .,active_exact
0,prompt_passive,passive,the actor asked the actress .,the actress was asked by the actor .,The actress was asked by the actor .,passive_exact
0,prompt_no_prime,no_prime,the actor asked the actress .,the actress was asked by the actor .,The actor did it .,other
0,prompt_filler,filler,the actor asked the actress .,the actress was asked by the actor .,The actor was kissed by the actress .,other
1,prompt_active,active,the actress asks the adult .,the adult is asked by the actress .,The actress asked an adult .,active_structural
1,prompt_passive,passive,the actress asks the adult .,the adult is asked by the actress .,The adult was asked by the actress .,passive_structural
1,prompt_no_prime,no_prime,the actress asks the adult .,the adult is asked by the actress .,The actress was involved in the asking event and the adult was the one it happened to .,active_structural
1,prompt_filler,filler,the actress asks the adult .,the adult is asked by the actress .,The actress asked the adult .,active_structural
2,prompt_active,active,an adult asked an attorney .,an attorney was asked by an adult .,The adult asked the attorney .,active_structural
2,prompt_passive,passive,an adult asked an attorney .,an attorney was asked by an adult .,The attorney was asked by the adult .,passive_structural
2,prompt_no_prime,no_prime,an adult asked an attorney .,an attorney was asked by an adult .,"The adult was asked to do something, and the attorney was asked to do something else .",active_structural
2,prompt_filler,filler,an adult asked an attorney .,an attorney was asked by an adult .,The notebook was taken .,other
3,prompt_active,active,an attorney asks an aunt .,an aunt is asked by an attorney .,The attorney asked the aunt .,active_structural
3,prompt_passive,passive,an attorney asks an aunt .,an aunt is asked by an attorney .,The aunt was asked by the attorney .,passive_structural
3,prompt_no_prime,no_prime,an attorney asks an aunt .,an aunt is asked by an attorney .,The attorney was involved in the asking event .,other
3,prompt_filler,filler,an attorney asks an aunt .,an aunt is asked by an attorney .,The attorney was sued .,other
4,prompt_active,active,the aunt asked the author .,the author was asked by the aunt .,The aunt asked the author .,active_exact
4,prompt_passive,passive,the aunt asked the author .,the author was asked by the aunt .,The author is asked by the aunt .,passive_structural
4,prompt_no_prime,no_prime,the aunt asked the author .,the author was asked by the aunt .,The aunt did it .,other
4,prompt_filler,filler,the aunt asked the author .,the author was asked by the aunt .,The author smiled after the event .,other
5,prompt_active,active,the author asks the bishop .,the bishop is asked by the author .,The author asked the bishop .,active_structural
5,prompt_passive,passive,the author asks the bishop .,the bishop is asked by the author .,The author asked the bishop .,active_structural
5,prompt_no_prime,no_prime,the author asks the bishop .,the bishop is asked by the author .,"The author was the one who did it, and the bishop was the one it happened to .",other
5,prompt_filler,filler,the author asks the bishop .,the bishop is asked by the author .,The author waited near the doorway .,other
6,prompt_active,active,a bishop asked a boy .,a boy was asked by a bishop .,The bishop kills the boy .,other
6,prompt_passive,passive,a bishop asked a boy .,a boy was asked by a bishop .,The boy is killed by the bishop .,other
6,prompt_no_prime,no_prime,a bishop asked a boy .,a boy was asked by a bishop .,The bishop did it .,other
6,prompt_filler,filler,a bishop asked a boy .,a boy was asked by a bishop .,The bishop was baptized .,other
7,prompt_active,active,a boy asks a brother .,a brother is asked by a boy .,The boy asked the brother .,active_structural
7,prompt_passive,passive,a boy asks a brother .,a brother is asked by a boy .,The brother was asked by a boy .,passive_structural
7,prompt_no_prime,no_prime,a boy asks a brother .,a brother is asked by a boy .,The boy did it .,other
7,prompt_filler,filler,a boy asks a brother .,a brother is asked by a boy .,The boy asked his brother .,active_structural
8,prompt_active,active,the brother asked the buddy .,the buddy was asked by the brother .,The brother asks his buddy .,active_structural
8,prompt_passive,passive,the brother asked the buddy .,the buddy was asked by the brother .,The brother asked his buddy .,active_structural
8,prompt_no_prime,no_prime,the brother asked the buddy .,the buddy was asked by the brother .,The brother did it .,other
8,prompt_filler,filler,the brother asked the buddy .,the buddy was asked by the brother .,The brother took the buddy's bike .,other
9,prompt_active,active,the buddy asks the candidate .,the candidate is asked by the buddy .,The buddy asked the candidate .,active_structural
9,prompt_passive,passive,the buddy asks the candidate .,the candidate is asked by the buddy .,The candidate was asked by the buddy .,passive_structural
9,prompt_no_prime,no_prime,the buddy asks the candidate .,the candidate is asked by the buddy .,The one who did it was the buddy .,other
9,prompt_filler,filler,the buddy asks the candidate .,the candidate is asked by the buddy .,The planet shimmered above the valley .,other
10,prompt_active,active,a candidate asked a captain .,a captain was asked by a candidate .,The candidate asked the captain .,active_structural
10,prompt_passive,passive,a candidate asked a captain .,a captain was asked by a candidate .,The captain is asked by the candidate .,passive_structural
