s_cong_DO,s_inc_DO,w_cong_DO,w_inc_DO,s_cong_PO,s_inc_PO,w_cong_PO,w_inc_PO,s_PE_DO,s_PE_PO,w_PE_DO,w_PE_PO
-74.4375,-74.9375,-5.546875,-5.8046875,-76.5625,-75.3125,-4.625,-5.0234375,0.5,-1.25,0.2578125,0.3984375
-84.9375,-87.0625,-3.62890625,-3.939453125,-88.3125,-87.0,-7.6640625,-7.296875,2.125,-1.3125,0.310546875,-0.3671875
-77.625,-79.5625,-6.74609375,-7.03515625,-83.4375,-82.5,-5.34375,-5.9453125,1.9375,-0.9375,0.2890625,0.6015625
-78.875,-79.5,-6.0078125,-6.27734375,-81.625,-81.75,-5.33203125,-5.625,0.625,0.125,0.26953125,0.29296875
-72.125,-73.6875,-4.86328125,-5.35546875,-72.9375,-72.1875,-3.595703125,-4.015625,1.5625,-0.75,0.4921875,0.419921875
-79.375,-78.8125,-5.796875,-5.5078125,-80.75,-82.625,-4.265625,-4.61328125,-0.5625,1.875,-0.2890625,0.34765625
-75.3125,-74.9375,-3.849609375,-3.76953125,-79.625,-80.25,-4.68359375,-5.15234375,-0.375,0.625,-0.080078125,0.46875
-74.875,-76.5,-3.37890625,-4.8203125,-76.0,-76.9375,-5.1875,-5.578125,1.625,0.9375,1.44140625,0.390625
-74.9375,-74.625,-7.78125,-7.99609375,-73.8125,-77.0625,-3.015625,-4.78515625,-0.3125,3.25,0.21484375,1.76953125
-77.6875,-79.0,-3.111328125,-5.09765625,-80.0625,-82.8125,-4.12109375,-4.71484375,1.3125,2.75,1.986328125,0.59375
-85.1875,-87.6875,-3.833984375,-4.62890625,-92.8125,-91.875,-5.55859375,-5.5390625,2.5,-0.9375,0.794921875,-0.01953125
-83.4375,-84.8125,-5.328125,-5.70703125,-84.3125,-84.0625,-4.24609375,-4.67578125,1.375,-0.25,0.37890625,0.4296875
-76.0,-76.25,-3.1171875,-3.912109375,-78.125,-79.625,-4.234375,-4.6640625,0.25,1.5,0.794921875,0.4296875
-79.875,-80.8125,-3.162109375,-3.6796875,-84.5,-84.125,-6.0390625,-6.05859375,0.9375,-0.375,0.517578125,0.01953125
-70.4375,-71.9375,-2.953125,-3.697265625,-72.8125,-72.25,-3.630859375,-3.681640625,1.5,-0.5625,0.744140625,0.05078125
-85.8125,-86.875,-3.255859375,-4.15234375,-87.5,-88.6875,-5.359375,-5.5859375,1.0625,1.1875,0.896484375,0.2265625
-77.5,-79.375,-2.734375,-3.23046875,-82.875,-82.75,-5.625,-6.046875,1.875,-0.125,0.49609375,0.421875
-75.75,-77.625,-3.8828125,-4.27734375,-79.1875,-79.8125,-5.078125,-5.62890625,1.875,0.625,0.39453125,0.55078125
-63.96875,-67.8125,-3.515625,-4.2265625,-71.5625,-68.6875,-6.02734375,-6.44140625,3.84375,-2.875,0.7109375,0.4140625
-70.875,-71.5625,-4.38671875,-4.5703125,-72.75,-72.125,-4.65625,-4.9609375,0.6875,-0.625,0.18359375,0.3046875
-72.8125,-76.3125,-2.7734375,-3.712890625,-79.625,-77.6875,-5.7578125,-6.0234375,3.5,-1.9375,0.939453125,0.265625
-80.0,-79.3125,-4.01171875,-4.359375,-82.1875,-83.9375,-5.59375,-6.01953125,-0.6875,1.75,0.34765625,0.42578125
-83.0625,-82.0,-4.546875,-4.64453125,-83.4375,-85.0625,-5.34375,-5.66015625,-1.0625,1.625,0.09765625,0.31640625
-77.125,-77.1875,-5.31640625,-5.5625,-77.8125,-79.25,-5.09765625,-5.58203125,0.0625,1.4375,0.24609375,0.484375
-79.9375,-79.625,-4.18359375,-4.75,-81.6875,-83.875,-5.7734375,-6.578125,-0.3125,2.1875,0.56640625,0.8046875
-74.375,-73.0625,-4.06640625,-4.64453125,-74.8125,-77.625,-5.62890625,-6.23046875,-1.3125,2.8125,0.578125,0.6015625
-81.4375,-81.375,-3.83984375,-4.21875,-87.5625,-87.0,-5.55859375,-5.5546875,-0.0625,-0.5625,0.37890625,-0.00390625
-68.875,-70.125,-4.125,-4.7265625,-71.25,-71.0,-3.98046875,-4.48046875,1.25,-0.25,0.6015625,0.5
-79.0625,-77.1875,-4.0390625,-4.5546875,-75.5625,-79.5,-2.6171875,-3.859375,-1.875,3.9375,0.515625,1.2421875
-76.6875,-73.3125,-4.80859375,-4.39453125,-75.125,-79.4375,-5.953125,-6.37890625,-3.375,4.3125,-0.4140625,0.42578125
-68.8125,-69.6875,-2.779296875,-3.318359375,-74.625,-74.5,-5.5859375,-5.671875,0.875,-0.125,0.5390625,0.0859375
-70.3125,-73.125,-3.1953125,-4.41796875,-72.9375,-71.875,-4.6875,-5.0703125,2.8125,-1.0625,1.22265625,0.3828125
-78.9375,-80.0625,-4.64453125,-5.14453125,-77.6875,-79.0625,-4.6171875,-5.015625,1.125,1.375,0.5,0.3984375
-77.375,-78.625,-3.373046875,-3.71484375,-82.25,-81.875,-5.7109375,-6.12109375,1.25,-0.375,0.341796875,0.41015625
-80.125,-82.3125,-4.2421875,-5.015625,-85.625,-84.75,-4.609375,-4.7421875,2.1875,-0.875,0.7734375,0.1328125
-80.875,-83.9375,-2.923828125,-4.40625,-85.75,-85.3125,-5.015625,-5.7109375,3.0625,-0.4375,1.482421875,0.6953125
-91.1875,-93.0,-2.98828125,-4.30078125,-94.375,-95.3125,-7.078125,-6.86328125,1.8125,0.9375,1.3125,-0.21484375
-76.75,-78.5,-2.9609375,-3.927734375,-78.25,-77.8125,-6.5078125,-7.2578125,1.75,-0.4375,0.966796875,0.75
