item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,active,active,the skozemdil zrarukloms the smesilrab .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,the skozemdil zrarukloms the smesilrab .,full_sentence_processing,-6.98365379782284,-6.759647570158306,0.22400622766453449,-118.72211456298828,-128.4333038330078,-9.711189270019531,17,19,passive,1,0,-0.22400622766453449,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,active,0,-0.22400622766453449
0,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,<|endoftext|>,full_sentence_processing,-8.067663753733916,-7.270670037520559,0.7969937162133567,-137.15028381347656,-138.14273071289062,-0.9924468994140624,17,19,passive,1,0,-0.7969937162133567,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,0,-0.7969937162133567
1,processing_teacher_forced,active,active,a brikudtas vragafmured a klosilfin .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,a brikudtas vragafmured a klosilfin .,full_sentence_processing,-7.1883383358226105,-6.7476758454975325,0.440662490325078,-122.20175170898438,-128.20584106445312,-6.00408935546875,17,19,passive,1,0,-0.440662490325078,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,active,0,-0.440662490325078
1,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,<|endoftext|>,full_sentence_processing,-8.027536728802849,-7.39205611379523,0.6354806150076184,-136.46812438964844,-140.44906616210938,-3.9809417724609375,17,19,passive,1,0,-0.6354806150076184,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,0,-0.6354806150076184
2,processing_teacher_forced,active,active,a fravaksel frafimvols a vrefimdil .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,a fravaksel frafimvols a vrefimdil .,full_sentence_processing,-7.254745483398437,-6.512602153577302,0.7421433298211353,-123.33067321777344,-123.73944091796876,-0.4087677001953125,17,19,passive,1,0,-0.7421433298211353,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,active,0,-0.7421433298211353
2,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,<|endoftext|>,full_sentence_processing,-7.892572739545037,-7.224611784282484,0.6679609552625534,-134.17373657226562,-137.2676239013672,-3.0938873291015625,17,19,passive,1,0,-0.6679609552625534,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,0,-0.6679609552625534
3,processing_teacher_forced,active,active,a klogafrud kvevarmured a kvesorrud .,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,a klogafrud kvevarmured a kvesorrud .,full_sentence_processing,-7.129502296447754,-6.7092641194661455,0.4202381769816084,-114.07203674316406,-120.76675415039062,-6.6947174072265625,16,18,passive,1,0,-0.4202381769816084,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,active,0,-0.4202381769816084
3,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,<|endoftext|>,full_sentence_processing,-8.313882827758789,-7.5981250339084205,0.7157577938503685,-133.02212524414062,-136.76625061035156,-3.7441253662109375,16,18,passive,1,0,-0.7157577938503685,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,0,-0.7157577938503685
4,processing_teacher_forced,active,active,a vratorrud kvesornefs a zlosillom .,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,a vratorrud kvesornefs a zlosillom .,full_sentence_processing,-7.180593490600586,-6.405704074435764,0.7748894161648217,-114.88949584960938,-115.30267333984376,-0.413177490234375,16,18,passive,1,0,-0.7748894161648217,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,active,0,-0.7748894161648217
4,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,<|endoftext|>,full_sentence_processing,-7.743454933166504,-7.043464660644531,0.6999902725219727,-123.89527893066406,-126.78236389160156,-2.8870849609375,16,18,passive,1,0,-0.6999902725219727,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,0,-0.6999902725219727
5,processing_teacher_forced,active,active,a frataflom zraruklomed a druvarmur .,the skozemdil smenelmurs the vrefimdil .,the vrefimdil is smenelmured by the skozemdil .,a frataflom zraruklomed a druvarmur .,full_sentence_processing,-5.676898956298828,-5.613619232177735,0.0632797241210934,-102.1841812133789,-112.27238464355467,-10.08820343017578,18,20,passive,1,0,-0.0632797241210934,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,active,0,-0.0632797241210934
5,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the skozemdil smenelmurs the vrefimdil .,the vrefimdil is smenelmured by the skozemdil .,<|endoftext|>,full_sentence_processing,-6.317450205485026,-6.369729232788086,-0.05227902730305978,-113.71410369873048,-127.39458465576172,-13.68048095703125,18,20,active,0,1,0.05227902730305978,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,0.05227902730305978
6,processing_teacher_forced,active,active,a vranorked smegafdiled a smezemlom .,the fradullom grifimloms the vrasilvol .,the vrasilvol is grifimlomed by the fradullom .,a vranorked smegafdiled a smezemlom .,full_sentence_processing,-5.790583610534668,-5.5569814046223955,0.23360220591227243,-92.64933776855467,-100.02566528320312,-7.376327514648437,16,18,passive,1,0,-0.23360220591227243,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,active,0,-0.23360220591227243
6,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the fradullom grifimloms the vrasilvol .,the vrasilvol is grifimlomed by the fradullom .,<|endoftext|>,full_sentence_processing,-7.500116348266602,-6.802829318576389,0.6972870296902123,-120.00186157226562,-122.450927734375,-2.449066162109375,16,18,passive,1,0,-0.6972870296902123,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,0,-0.6972870296902123
