item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator
0,processing_teacher_forced,active,active,a student drags a teacher .,a girl drags a guest .,a guest is dragged by a girl .,a student drags a teacher . ,full_sentence_processing,-3.9933035714285716,-4.36328125,-0.3699776785714284,-27.953125,-34.90625,-6.953125,7,8,active,0.0
0,processing_teacher_forced,passive,passive,a teacher is dragged by a student .,a girl drags a guest .,a guest is dragged by a girl .,a teacher is dragged by a student . ,full_sentence_processing,-4.928571428571429,-3.7265625,1.2020089285714288,-34.5,-29.8125,4.6875,7,8,passive,1.0
0,processing_teacher_forced,no_prime_eos,no_prime_eos,,a girl drags a guest .,a guest is dragged by a girl .,<|eot_id|> ,full_sentence_processing,-6.785714285714286,-6.71484375,0.07087053571428559,-47.5,-53.71875,-6.21875,7,8,passive,1.0
0,processing_teacher_forced,no_prime_empty,no_prime_empty,,a girl drags a guest .,a guest is dragged by a girl .,,full_sentence_processing,-6.129464285714286,-6.05859375,0.07087053571428559,-42.90625,-48.46875,-5.5625,7,8,passive,1.0
0,processing_teacher_forced,filler,filler,The witness paused near the doorway .,a girl drags a guest .,a guest is dragged by a girl .,The witness paused near the doorway . ,full_sentence_processing,-5.915178571428571,-5.20703125,0.7081473214285712,-41.40625,-41.65625,-0.25,7,8,passive,1.0
1,processing_teacher_forced,active,active,a guest beats a guy .,a student beats a teacher .,a teacher is beaten by a student .,a guest beats a guy . ,full_sentence_processing,-2.8880208333333335,-2.673828125,0.21419270833333348,-17.328125,-21.390625,-4.0625,6,8,passive,1.0
1,processing_teacher_forced,passive,passive,a guy is beaten by a guest .,a student beats a teacher .,a teacher is beaten by a student .,a guy is beaten by a guest . ,full_sentence_processing,-3.0182291666666665,-1.7802734375,1.2379557291666665,-18.109375,-14.2421875,3.8671875,6,8,passive,1.0
1,processing_teacher_forced,no_prime_eos,no_prime_eos,,a student beats a teacher .,a teacher is beaten by a student .,<|eot_id|> ,full_sentence_processing,-7.270833333333333,-5.38671875,1.884114583333333,-43.625,-43.09375,0.53125,6,8,passive,1.0
1,processing_teacher_forced,no_prime_empty,no_prime_empty,,a student beats a teacher .,a teacher is beaten by a student .,,full_sentence_processing,-5.921875,-4.2890625,1.6328125,-35.53125,-34.3125,1.21875,6,8,passive,1.0
1,processing_teacher_forced,filler,filler,The kettle whistled in the kitchen .,a student beats a teacher .,a teacher is beaten by a student .,The kettle whistled in the kitchen . ,full_sentence_processing,-6.130208333333333,-4.1328125,1.997395833333333,-36.78125,-33.0625,3.71875,6,8,passive,1.0
2,processing_teacher_forced,active,active,an aunt kills an author .,a mayor kills a minister .,a minister is killed by a mayor .,an aunt kills an author . ,full_sentence_processing,-3.8723958333333335,-3.720703125,0.15169270833333348,-23.234375,-29.765625,-6.53125,6,8,passive,1.0
2,processing_teacher_forced,passive,passive,an author is killed by an aunt .,a mayor kills a minister .,a minister is killed by a mayor .,an author is killed by an aunt . ,full_sentence_processing,-4.291666666666667,-2.962890625,1.328776041666667,-25.75,-23.703125,2.046875,6,8,passive,1.0
2,processing_teacher_forced,no_prime_eos,no_prime_eos,,a mayor kills a minister .,a minister is killed by a mayor .,<|eot_id|> ,full_sentence_processing,-7.723958333333333,-6.59375,1.130208333333333,-46.34375,-52.75,-6.40625,6,8,passive,1.0
2,processing_teacher_forced,no_prime_empty,no_prime_empty,,a mayor kills a minister .,a minister is killed by a mayor .,,full_sentence_processing,-6.729166666666667,-5.37109375,1.358072916666667,-40.375,-42.96875,-2.59375,6,8,passive,1.0
2,processing_teacher_forced,filler,filler,The sculpture stood in the hallway .,a mayor kills a minister .,a minister is killed by a mayor .,The sculpture stood in the hallway . ,full_sentence_processing,-6.322916666666667,-5.23046875,1.092447916666667,-37.9375,-41.84375,-3.90625,6,8,passive,1.0
