item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,greedy_answer_first_sentence_normalized,generation_class_detailed,generation_structure_reason,argument_structure_inferred,role_frame_inferred,argument_inference_note,generation_class_strict,generation_class_lax,needs_review_strict,needs_review_lax,prompt,greedy_completion_raw
0,prompt_no_prime,no_prime,the actor asked the actress .,the actress was asked by the actor .,The actor did it .,the actor did it .,other_unclassified,fallback_unclassified,unknown,unknown,verb_not_confident,other,other,True,True,"There was an askeding event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The"," actor did it.""
Bridget asked, ""Who did it?""
Mary answered, ""The actor.""
Bridget"
0,prompt_filler,filler,the actor asked the actress .,the actress was asked by the actor .,The lantern glowed near sunset .,the lantern glowed near sunset .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The lantern glowed near sunset.""

There was an askeding event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The"," lantern glowed near sunset.""

There was an askeding event involving the actor and the actress.
The one who did it"
1,prompt_no_prime,no_prime,the actress asks the adult .,the adult is asked by the actress .,The one who did it was the actress .,the one who did it was the actress .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was an asking event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The"," one who did it was the actress.""
Bridget asked, ""What did the actress do?""
Mary answered, """
1,prompt_filler,filler,the actress asks the adult .,the adult is asked by the actress .,The traveler rested beside the river .,the traveler rested beside the river .,active_other,finite_verb_noncanonical_complement,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The traveler rested beside the river.""

There was an asking event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The"," traveler rested beside the river.""

There was an asking event involving the actress and the adult.
The one who did it was"
2,prompt_no_prime,no_prime,an adult asked an attorney .,an attorney was asked by an adult .,The one who did it was an adult .,the one who did it was an adult .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was an askeding event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"," one who did it was an adult.""
Bridget asked, ""What happened?""
Mary answered, ""The one it"
2,prompt_filler,filler,an adult asked an attorney .,an attorney was asked by an adult .,The notebook stayed on the shelf .,the notebook stayed on the shelf .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The notebook stayed on the shelf.""

There was an askeding event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"," notebook stayed on the shelf.""

There was an askeding event involving an adult and an attorney.
The one who did it"
3,prompt_no_prime,no_prime,an attorney asks an aunt .,an aunt is asked by an attorney .,The one who did it was an attorney .,the one who did it was an attorney .,other_relative_identity_clause,one_who_did_it_pattern,copular_like,theme>predicate,copular_pattern_detected,other,other,True,True,"There was an asking event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The"," one who did it was an attorney.""
Bridget asked, ""What happened?""
Mary answered, ""The one who"
3,prompt_filler,filler,an attorney asks an aunt .,an aunt is asked by an attorney .,The window rattled during the storm .,the window rattled during the storm .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The window rattled during the storm.""

There was an asking event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The"," window rattled during the storm.""

There was an asking event involving an attorney and an aunt.
The one who did it"
4,prompt_filler,filler,the aunt asked the author .,the author was asked by the aunt .,The singer smiled after rehearsal .,the singer smiled after rehearsal .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The singer smiled after rehearsal.""

There was an askeding event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The"," singer smiled after rehearsal.""

There was an askeding event involving the aunt and the author.
The one it happened to was"
5,prompt_filler,filler,the author asks the bishop .,the bishop is asked by the author .,The painter waited near the doorway .,the painter waited near the doorway .,active_intransitive_prepositional,finite_verb_prepositional,active_nonobject,single_core_argument(+oblique),no_direct_object_detected,other,other,True,True,"In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The painter waited near the doorway.""

There was an asking event involving the author and the bishop.
The one it happened to was the bishop.
The one who did it was the author.

Bridget asked, ""What happened?""
Mary answered, ""The"," painter waited near the doorway.""

There was an asking event involving the author and the bishop.
The one it happened to was"
