item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,passive,passive,a teacher is dragged by a student .,a girl drags a guest .,a guest is dragged by a girl .,a teacher is dragged by a student .,full_sentence_processing,-4.928571428571429,-3.7265625,1.2020089285714288,-34.5,-29.8125,4.6875,7,8,passive,1,0,-1.2020089285714288,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,passive,1,1.2020089285714288
0,processing_teacher_forced,filler,filler,The witness paused near the doorway .,a girl drags a guest .,a guest is dragged by a girl .,The witness paused near the doorway .,full_sentence_processing,-5.915178571428571,-5.20703125,0.7081473214285712,-41.40625,-41.65625,-0.25,7,8,passive,1,0,-0.7081473214285712,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,filler,1,0.7081473214285712
1,processing_teacher_forced,passive,passive,a guy is beaten by a guest .,a student beats a teacher .,a teacher is beaten by a student .,a guy is beaten by a guest .,full_sentence_processing,-3.0182291666666665,-1.7802734375,1.2379557291666663,-18.109375,-14.2421875,3.8671875,6,8,passive,1,0,-1.2379557291666663,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,passive,1,1.2379557291666663
1,processing_teacher_forced,filler,filler,The kettle whistled in the kitchen .,a student beats a teacher .,a teacher is beaten by a student .,The kettle whistled in the kitchen .,full_sentence_processing,-6.130208333333333,-4.1328125,1.997395833333333,-36.78125,-33.0625,3.71875,6,8,passive,1,0,-1.997395833333333,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,filler,1,1.997395833333333
2,processing_teacher_forced,passive,passive,an author is killed by an aunt .,a mayor kills a minister .,a minister is killed by a mayor .,an author is killed by an aunt .,full_sentence_processing,-4.291666666666667,-2.962890625,1.328776041666667,-25.75,-23.703125,2.046875,6,8,passive,1,0,-1.328776041666667,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,passive,1,1.328776041666667
2,processing_teacher_forced,filler,filler,The sculpture stood in the hallway .,a mayor kills a minister .,a minister is killed by a mayor .,The sculpture stood in the hallway .,full_sentence_processing,-6.322916666666667,-5.23046875,1.092447916666667,-37.9375,-41.84375,-3.90625,6,8,passive,1,0,-1.092447916666667,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,filler,1,1.092447916666667
3,processing_teacher_forced,passive,passive,a winner is hurried by a wife .,a hero hurries a husband .,a husband is hurried by a hero .,a winner is hurried by a wife .,full_sentence_processing,-4.366071428571429,-3.01953125,1.3465401785714288,-30.5625,-24.15625,6.40625,7,8,passive,1,0,-1.3465401785714288,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,passive,1,1.3465401785714288
3,processing_teacher_forced,filler,filler,The tourist wandered through the plaza .,a hero hurries a husband .,a husband is hurried by a hero .,The tourist wandered through the plaza .,full_sentence_processing,-7.191964285714286,-6.6640625,0.5279017857142856,-50.34375,-53.3125,-2.96875,7,8,passive,1,0,-0.5279017857142856,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,filler,1,0.5279017857142856
4,processing_teacher_forced,passive,passive,a winner is judged by a wife .,a hero judges a husband .,a husband is judged by a hero .,a winner is judged by a wife .,full_sentence_processing,-4.989583333333333,-2.724609375,2.264973958333333,-29.9375,-21.796875,8.140625,6,8,passive,1,0,-2.264973958333333,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,passive,1,2.264973958333333
4,processing_teacher_forced,filler,filler,The traveler rested beside the river .,a hero judges a husband .,a husband is judged by a hero .,The traveler rested beside the river .,full_sentence_processing,-7.270833333333333,-5.85546875,1.415364583333333,-43.625,-46.84375,-3.21875,6,8,passive,1,0,-1.415364583333333,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,filler,1,1.415364583333333
