item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator
0,processing_teacher_forced,active,active,the skozemdil zrarukloms the smesilrab .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,the skozemdil zrarukloms the smesilrab . ,full_sentence_processing,-6.983665915096507,-6.7596580103824015,0.2240079047141057,-118.72232055664062,-128.43350219726562,-9.711181640625,17,19,passive,1.0
0,processing_teacher_forced,passive,passive,the smesilrab is zraruklomed by the skozemdil .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,the smesilrab is zraruklomed by the skozemdil . ,full_sentence_processing,-6.705874274758732,-6.174761320415296,0.5311129543434356,-113.99986267089844,-117.32046508789062,-3.3206024169921875,17,19,passive,1.0
0,processing_teacher_forced,no_prime,no_prime,,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,<|endoftext|> ,full_sentence_processing,-8.067664651309743,-7.270671643708882,0.7969930076008609,-137.15029907226562,-138.14276123046875,-0.992462158203125,17,19,passive,1.0
0,processing_teacher_forced,filler,filler,The witness paused near the doorway .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,The witness paused near the doorway . ,full_sentence_processing,-8.180285285500918,-7.51929433722245,0.6609909482784682,-139.06484985351562,-142.86659240722656,-3.8017425537109375,17,19,passive,1.0
1,processing_teacher_forced,active,active,a brikudtas vragafmured a klosilfin .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,a brikudtas vragafmured a klosilfin . ,full_sentence_processing,-7.188347311580882,-6.747683876439145,0.44066343514173756,-122.201904296875,-128.20599365234375,-6.00408935546875,17,19,passive,1.0
1,processing_teacher_forced,passive,passive,a klosilfin was vragafmured by a brikudtas .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,a klosilfin was vragafmured by a brikudtas . ,full_sentence_processing,-6.918636546415441,-6.36636031301398,0.5522762334014608,-117.6168212890625,-120.96084594726562,-3.344024658203125,17,19,passive,1.0
1,processing_teacher_forced,no_prime,no_prime,,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,<|endoftext|> ,full_sentence_processing,-8.02754301183364,-7.392057719983552,0.6354852918500873,-136.46823120117188,-140.4490966796875,-3.980865478515625,17,19,passive,1.0
1,processing_teacher_forced,filler,filler,The kettle whistled in the kitchen .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,The kettle whistled in the kitchen . ,full_sentence_processing,-7.765774895163143,-7.707604659231086,0.0581702359320575,-132.01817321777344,-146.44448852539062,-14.426315307617188,17,19,passive,1.0
2,processing_teacher_forced,active,active,a fravaksel frafimvols a vrefimdil .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,a fravaksel frafimvols a vrefimdil . ,full_sentence_processing,-7.254752215217142,-6.5126085783305925,0.7421436368865493,-123.3307876586914,-123.73956298828125,-0.40877532958984375,17,19,passive,1.0
2,processing_teacher_forced,passive,passive,a vrefimdil is frafimvoled by a fravaksel .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,a vrefimdil is frafimvoled by a fravaksel . ,full_sentence_processing,-7.401601903578815,-6.589079204358552,0.8125226992202625,-125.82723236083984,-125.1925048828125,0.6347274780273438,17,19,passive,1.0
2,processing_teacher_forced,no_prime,no_prime,,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,<|endoftext|> ,full_sentence_processing,-7.892576329848346,-7.224615799753289,0.6679605300950566,-134.17379760742188,-137.2677001953125,-3.093902587890625,17,19,passive,1.0
2,processing_teacher_forced,filler,filler,The sculpture stood in the hallway .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,The sculpture stood in the hallway . ,full_sentence_processing,-8.269937851849724,-7.296078330592105,0.9738595212576184,-140.5889434814453,-138.62548828125,1.9634552001953125,17,19,passive,1.0
