item_id,item_index,complexity_condition,source_label,target_cell,prime_cell,prime_active,prime_passive,target_active_simple,target_passive_simple,target_active_complex,target_passive_complex,agent_modifier_noun,patient_modifier_noun,agent_modifier_prep,patient_modifier_prep,prime_active_det_family,target_active_det_family,prime_passive_aux,target_passive_aux,prime_active_verb_or_fragment,target_active_verb_or_fragment,target_agent,target_patient
exp4_jabberwocky_0000_agent_complex,0,agent_complex,jabberwocky,def_past,indef_present,a bri s a dil .,a dil is ed by a bri .,the dru ed the gri .,the gri was ed by the dru .,the dru near the mur ed the gri .,the gri was ed by the dru near the mur .,mur,,near,,indef,def,is,was,s,ed,dru,gri
exp4_jabberwocky_0000_patient_complex,0,patient_complex,jabberwocky,def_past,indef_present,a bri s a dil .,a dil is ed by a bri .,the dru ed the gri .,the gri was ed by the dru .,the dru ed the gri above the gir .,the gri above the gir was ed by the dru .,,gir,,above,indef,def,is,was,s,ed,dru,gri
exp4_jabberwocky_0000_both_complex,0,both_complex,jabberwocky,def_past,indef_present,a bri s a dil .,a dil is ed by a bri .,the dru ed the gri .,the gri was ed by the dru .,the dru with the rav ed the gri from the rom .,the gri from the rom was ed by the dru with the rav .,rav,rom,with,from,indef,def,is,was,s,ed,dru,gri
exp4_jabberwocky_0001_agent_complex,1,agent_complex,jabberwocky,def_present,indef_past,a dil ed a dru .,a dru was ed by a dil .,the gri s the mur .,the mur is ed by the gri .,the gri above the fab s the mur .,the mur is ed by the gri above the fab .,fab,,above,,indef,def,was,is,ed,s,gri,mur
exp4_jabberwocky_0001_patient_complex,1,patient_complex,jabberwocky,def_present,indef_past,a dil ed a dru .,a dru was ed by a dil .,the gri s the mur .,the mur is ed by the gri .,the gri s the mur with the nom .,the mur with the nom is ed by the gri .,,nom,,with,indef,def,was,is,ed,s,gri,mur
exp4_jabberwocky_0001_both_complex,1,both_complex,jabberwocky,def_present,indef_past,a dil ed a dru .,a dru was ed by a dil .,the gri s the mur .,the mur is ed by the gri .,the gri from the tir s the mur with the tul .,the mur with the tul is ed by the gri from the tir .,tir,tul,from,with,indef,def,was,is,ed,s,gri,mur
exp4_jabberwocky_0002_agent_complex,2,agent_complex,jabberwocky,indef_past,def_present,the dru s the gri .,the gri is ed by the dru .,a mur ed a dir .,a dir was ed by a mur .,a mur with a lav ed a dir .,a dir was ed by a mur with a lav .,lav,,with,,def,indef,is,was,s,ed,mur,dir
exp4_jabberwocky_0002_patient_complex,2,patient_complex,jabberwocky,indef_past,def_present,the dru s the gri .,the gri is ed by the dru .,a mur ed a dir .,a dir was ed by a mur .,a mur ed a dir from a rom .,a dir from a rom was ed by a mur .,,rom,,from,def,indef,is,was,s,ed,mur,dir
exp4_jabberwocky_0002_both_complex,2,both_complex,jabberwocky,indef_past,def_present,the dru s the gri .,the gri is ed by the dru .,a mur ed a dir .,a dir was ed by a mur .,a mur in a bri ed a dir on a dil .,a dir on a dil was ed by a mur in a bri .,bri,dil,in,on,def,indef,is,was,s,ed,mur,dir
exp4_jabberwocky_0003_agent_complex,3,agent_complex,jabberwocky,indef_present,def_past,the gri ed the mur .,the mur was ed by the gri .,a dir s a dur .,a dur is ed by a dir .,a dir from a nud s a dur .,a dur is ed by a dir from a nud .,nud,,from,,def,indef,was,is,ed,s,dir,dur
