model_name,model_condition,prompt_format_used,task,lexicality_condition,pairing_key,logp_active_target_given_active_prime,logp_active_target_given_passive_prime,logp_passive_target_given_active_prime,logp_passive_target_given_passive_prime,pe_active_target_logprob_same_minus_other,pe_passive_target_logprob_same_minus_other,pe_logprob_imbalance_passive_minus_active,logp_sum_active_target_given_active_prime,logp_sum_active_target_given_passive_prime,logp_sum_passive_target_given_active_prime,logp_sum_passive_target_given_passive_prime,pe_active_target_logprob_sum_same_minus_other,pe_passive_target_logprob_sum_same_minus_other,pe_logprob_sum_imbalance_passive_minus_active
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00000,-2.3515625,-1.7252604166666667,-2.052734375,-0.9658203125,-0.6263020833333333,1.0869140625,1.7132161458333333,-14.109375,-10.3515625,-16.421875,-7.7265625,-3.7578125,8.6953125,12.453125
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00001,-2.1015625,-2.0846354166666665,-3.291015625,-2.02734375,-0.01692708333333348,1.263671875,1.2805989583333335,-12.609375,-12.5078125,-26.328125,-16.21875,-0.1015625,10.109375,10.2109375
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00002,-2.6471354166666665,-1.7356770833333333,-3.169921875,-1.4716796875,-0.9114583333333333,1.6982421875,2.609700520833333,-15.8828125,-10.4140625,-25.359375,-11.7734375,-5.46875,13.5859375,19.0546875
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00003,-3.2447916666666665,-3.0052083333333335,-3.01171875,-2.052734375,-0.23958333333333304,0.958984375,1.198567708333333,-19.46875,-18.03125,-24.09375,-16.421875,-1.4375,7.671875,9.109375
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00004,-2.3059895833333335,-1.0729166666666667,-2.611328125,-1.0908203125,-1.2330729166666667,1.5205078125,2.753580729166667,-13.8359375,-6.4375,-20.890625,-8.7265625,-7.3984375,12.1640625,19.5625
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00005,-3.3671875,-3.2942708333333335,-2.708984375,-2.07421875,-0.07291666666666652,0.634765625,0.7076822916666665,-20.203125,-19.765625,-21.671875,-16.59375,-0.4375,5.078125,5.515625
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00006,-2.3984375,-1.4557291666666667,-3.060546875,-1.1337890625,-0.9427083333333333,1.9267578125,2.869466145833333,-14.390625,-8.734375,-24.484375,-9.0703125,-5.65625,15.4140625,21.0703125
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00007,-2.2786458333333335,-2.5833333333333335,-2.298828125,-1.6982421875,0.3046875,0.6005859375,0.2958984375,-13.671875,-15.5,-18.390625,-13.5859375,1.828125,4.8046875,2.9765625
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00008,-2.1770833333333335,-1.2115885416666667,-2.833984375,-0.6982421875,-0.9654947916666667,2.1357421875,3.101236979166667,-13.0625,-7.26953125,-22.671875,-5.5859375,-5.79296875,17.0859375,22.87890625
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,nonce,jabberwocky_00009,-2.0768229166666665,-2.0611979166666665,-2.302734375,-1.7373046875,-0.015625,0.5654296875,0.5810546875,-12.4609375,-12.3671875,-18.421875,-13.8984375,-0.09375,4.5234375,4.6171875
