item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,passive,passive,a teacher is dragged by a student .,a girl drags a guest .,a guest is dragged by a girl .,a teacher is dragged by a student .,full_sentence_processing,-5.103272029331753,-4.052603721618652,1.0506683077131005,-35.722904205322266,-32.42082977294922,3.302074432373047,7,8,passive,1,0,-1.0506683077131005,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,1.0506683077131005
0,processing_teacher_forced,filler,filler,The witness paused near the doorway .,a girl drags a guest .,a guest is dragged by a girl .,The witness paused near the doorway .,full_sentence_processing,-6.902230398995536,-6.2293853759765625,0.6728450230189731,-48.31561279296875,-49.8350830078125,-1.51947021484375,7,8,passive,1,0,-0.6728450230189731,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,0.6728450230189731
1,processing_teacher_forced,passive,passive,a guy is beaten by a guest .,a student beats a teacher .,a teacher is beaten by a student .,a guy is beaten by a guest .,full_sentence_processing,-4.799354553222656,-3.0780224800109863,1.72133207321167,-28.796127319335938,-24.62417984008789,4.171947479248047,6,8,passive,1,0,-1.72133207321167,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,1.72133207321167
1,processing_teacher_forced,filler,filler,The kettle whistled in the kitchen .,a student beats a teacher .,a teacher is beaten by a student .,The kettle whistled in the kitchen .,full_sentence_processing,-7.557712554931641,-5.5361762046813965,2.021536350250244,-45.34627532958984,-44.28940963745117,1.056865692138672,6,8,passive,1,0,-2.021536350250244,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,2.021536350250244
2,processing_teacher_forced,passive,passive,an author is killed by an aunt .,a mayor kills a minister .,a minister is killed by a mayor .,an author is killed by an aunt .,full_sentence_processing,-5.898699442545573,-4.26453161239624,1.634167830149333,-35.39219665527344,-34.11625289916992,1.2759437561035156,6,8,passive,1,0,-1.634167830149333,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,1.634167830149333
2,processing_teacher_forced,filler,filler,The sculpture stood in the hallway .,a mayor kills a minister .,a minister is killed by a mayor .,The sculpture stood in the hallway .,full_sentence_processing,-8.04637082417806,-6.57145881652832,1.4749120076497402,-48.27822494506836,-52.57167053222656,-4.293445587158203,6,8,passive,1,0,-1.4749120076497402,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,1.4749120076497402
3,processing_teacher_forced,passive,passive,a winner is hurried by a wife .,a hero hurries a husband .,a husband is hurried by a hero .,a winner is hurried by a wife .,full_sentence_processing,-5.877358572823661,-4.392377853393555,1.484980719430106,-41.141510009765625,-35.13902282714844,6.0024871826171875,7,8,passive,1,0,-1.484980719430106,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,1.484980719430106
3,processing_teacher_forced,filler,filler,The tourist wandered through the plaza .,a hero hurries a husband .,a husband is hurried by a hero .,The tourist wandered through the plaza .,full_sentence_processing,-8.030788966587611,-6.9840779304504395,1.0467110361371716,-56.21552276611328,-55.87262344360352,0.3428993225097656,7,8,passive,1,0,-1.0467110361371716,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,1.0467110361371716
4,processing_teacher_forced,passive,passive,a winner is judged by a wife .,a hero judges a husband .,a husband is judged by a hero .,a winner is judged by a wife .,full_sentence_processing,-6.877983729044597,-3.8868117332458496,2.991171995798747,-41.26790237426758,-31.094493865966797,10.17340850830078,6,8,passive,1,0,-2.991171995798747,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,2.991171995798747
4,processing_teacher_forced,filler,filler,The traveler rested beside the river .,a hero judges a husband .,a husband is judged by a hero .,The traveler rested beside the river .,full_sentence_processing,-8.555095036824545,-6.603030204772949,1.9520648320515956,-51.330570220947266,-52.824241638183594,-1.493671417236328,6,8,passive,1,0,-1.9520648320515956,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,1.9520648320515956
5,processing_teacher_forced,passive,passive,a priest is dragged by a president .,a champion drags a chief .,a chief is dragged by a champion .,a priest is dragged by a president .,full_sentence_processing,-6.033479963030134,-4.461123466491699,1.5723564965384345,-42.23435974121094,-35.688987731933594,6.545372009277344,7,8,passive,1,0,-1.5723564965384345,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,1.5723564965384345
5,processing_teacher_forced,filler,filler,The package arrived before noon .,a champion drags a chief .,a chief is dragged by a champion .,The package arrived before noon .,full_sentence_processing,-8.175597599574498,-7.711282253265381,0.4643153463091174,-57.22918319702149,-61.69025802612305,-4.4610748291015625,7,8,passive,1,0,-0.4643153463091174,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,0.4643153463091174
