dataset_id,dataset_label,analysis_id,analysis_group,measure,direction,question,reference_condition,target_condition,observed_reference,observed_target,observed_target_minus_reference,emmean_reference,emmean_target,emmean_reference_ci_low,emmean_reference_ci_high,emmean_target_ci_low,emmean_target_ci_high,fixed_effect_estimate,fixed_effect_ci_low,fixed_effect_ci_high,fixed_effect_statistic,fixed_effect_p,model_error
llama_overlap_core,LLaMA lexical-overlap CORE,overall_prime_active_vs_passive,overall_prime_contrast,choice,passive,Does a passive prime yield more passive preference than an active prime?,active,passive,0.7336538461538462,1,0.2663461538461538,0.7336538294395564,0.9999999986902318,0.7142313604338804,0.7522142010033821,7.709209147648867e-4,0.9999999999999998,19.44017520899418,-8.180306369245208,47.06065678723357,1.3794851170442821,0.16774523185527465,NA
llama_overlap_core,LLaMA lexical-overlap CORE,baseline_eos_vs_empty,baseline_bias,choice,passive,Is the empty baseline more passive-biased than the EOS baseline?,no_prime_eos,no_prime_empty,0.9653846153846155,0.96875,0.0033653846153844924,0.9999519447770215,0.9999691816349487,0.9998735432571042,0.9999817392719169,0.9999117128563716,0.9999892426455951,0.44425728568816414,-0.260020228872884,1.1485348002492124,1.2363425806104544,0.21633124973849993,NA
llama_overlap_core,LLaMA lexical-overlap CORE,baseline_eos_vs_filler,baseline_bias,choice,passive,Is the filler baseline more passive-biased than the EOS baseline?,no_prime_eos,filler,0.9653846153846155,0.9725961538461538,0.007211538461538325,0.9999042536421769,0.9999577027582448,0.9997686544298785,0.9999603768669241,0.9998815003754606,0.9999849031674799,0.8170341645480673,0.15032282346260217,1.4837455056335325,2.4018753514014506,0.0163112654121241,NA
llama_overlap_core,LLaMA lexical-overlap CORE,baseline_empty_vs_filler,baseline_bias,choice,passive,Is the filler baseline more passive-biased than the empty baseline?,no_prime_empty,filler,0.96875,0.9725961538461538,0.0038461538461538325,0.9999497164936804,0.9999706134435281,0.9998652624830544,0.9999812353885624,0.9999124826649479,0.9999901329678824,0.5371607080372505,-0.19022867295275803,1.264550089027259,1.4473893476835173,0.14778790751307566,NA
llama_overlap_core,LLaMA lexical-overlap CORE,active_priming_vs_no_prime_eos,active_priming,choice,active,Does an active prime increase active preference relative to the EOS baseline?,no_prime_eos,active,0.03461538461538449,0.26634615384615373,0.23173076923076924,1.456824996386702e-10,3.359747772014586e-5,1.4561363604477297e-10,1.4575139579953502e-10,3.357498043446276e-5,3.361999007987635e-5,12.34856555846689,12.348091144195944,12.349039972737835,51016.05334744313,0,NA
llama_overlap_core,LLaMA lexical-overlap CORE,active_priming_vs_no_prime_empty,active_priming,choice,active,Does an active prime increase active preference relative to the empty baseline?,no_prime_empty,active,0.03125,0.26634615384615373,0.23509615384615373,3.0336879026344523e-11,1.770578855818571e-5,1.5765477729398698e-11,5.837604447155367e-11,9.550759992038328e-6,3.282385546007508e-5,13.277055785183745,13.113249266368376,13.440862303999113,158.86151142141193,0,NA
llama_overlap_core,LLaMA lexical-overlap CORE,active_priming_vs_filler,active_priming,choice,active,Does an active prime increase active preference relative to the filler baseline?,filler,active,0.027403846153846143,0.26634615384615373,0.2389423076923076,2.709803870146628e-11,1.976455210052762e-5,2.706561628245572e-11,2.7130499959912215e-11,1.9731185456798903e-5,1.979797516817846e-5,13.499959005306241,13.49876637362951,13.501151636982973,22185.75437781306,0,NA
llama_overlap_core,LLaMA lexical-overlap CORE,passive_priming_vs_no_prime_eos,passive_priming,choice,passive,Does a passive prime increase passive preference relative to the EOS baseline?,no_prime_eos,passive,0.9653846153846155,1,0.03461538461538449,0.9653846087301461,0.9999999998360938,0.9565397349027394,0.9724811928737805,2.2204460492503126e-16,0.9999999999999998,19.203498442719535,-37.97634052279798,76.38333740823705,0.6582418909503944,0.5103827106986829,NA
llama_overlap_core,LLaMA lexical-overlap CORE,passive_priming_vs_no_prime_empty,passive_priming,choice,passive,Does a passive prime increase passive preference relative to the empty baseline?,no_prime_empty,passive,0.96875,1,0.03125,0.9687499991730352,0.9999999998365479,0.9603367709501133,0.975424311037473,2.1947190272220923e-12,0.9999999999999998,19.100513500339922,-30.27859789570965,68.4796248963895,0.7581407904776978,0.44836670260598477,NA
llama_overlap_core,LLaMA lexical-overlap CORE,passive_priming_vs_filler,passive_priming,choice,passive,Does a passive prime increase passive preference relative to the filler baseline?,filler,passive,0.9725961538461538,1,0.027403846153846168,0.9725961534559887,0.9999999998370863,0.964629000518591,0.9788081668813288,2.2204460492503126e-16,0.9999999999999998,18.968514805059925,-283.60099303891764,321.53802264903743,0.12287294289186335,0.9022077116855534,NA
