prompt_template,prime_condition,n_items,n_active_choice,n_passive_choice,active_choice_rate,passive_choice_rate,mean_passive_minus_active_logprob,sd_passive_minus_active_logprob
demo__involving_event__did_to__mary_answered,active,4,3,1,0.75,0.25,-1.3243756294250488,1.6576740624669708
demo__involving_event__did_to__mary_answered,filler,4,2,2,0.5,0.5,0.592133641242981,1.4186669943561339
demo__involving_event__did_to__mary_answered,no_demo,4,3,1,0.75,0.25,-0.5640287697315216,0.7489936195267073
demo__involving_event__did_to__mary_answered,passive,4,2,2,0.5,0.5,-0.19497227668762207,1.639149637806362
demo__involving_event__did_to__said_mary,active,4,3,1,0.75,0.25,-1.668186604976654,1.6491440516058427
demo__involving_event__did_to__said_mary,filler,4,2,2,0.5,0.5,0.2016221582889557,1.5464000096181927
demo__involving_event__did_to__said_mary,no_demo,4,4,0,1.0,0.0,-0.7443444132804871,0.5925284979827056
demo__involving_event__did_to__said_mary,passive,4,2,2,0.5,0.5,-0.501302495598793,1.5870315221438864
demo__involving_event__responsible_affected__mary_answered,active,4,3,1,0.75,0.25,-1.6015594154596329,1.529923636885731
demo__involving_event__responsible_affected__mary_answered,filler,4,2,2,0.5,0.5,0.6645179092884064,1.0791701486690821
demo__involving_event__responsible_affected__mary_answered,no_demo,4,3,1,0.75,0.25,-0.6239900290966034,0.6591486959721852
demo__involving_event__responsible_affected__mary_answered,passive,4,3,1,0.75,0.25,-0.25342583656311035,1.2647539972810564
demo__involving_event__responsible_affected__said_mary,active,4,3,1,0.75,0.25,-2.152313396334648,1.7369615190784238
demo__involving_event__responsible_affected__said_mary,filler,4,2,2,0.5,0.5,0.2957094609737396,1.1550292552245343
demo__involving_event__responsible_affected__said_mary,no_demo,4,4,0,1.0,0.0,-0.7773719131946564,0.5386701665797781
demo__involving_event__responsible_affected__said_mary,passive,4,3,1,0.75,0.25,-0.7790694236755371,1.3495145915953675
demo__there_was_event__did_to__mary_answered,active,4,3,1,0.75,0.25,-1.7597913146018982,2.1905728361104435
demo__there_was_event__did_to__mary_answered,filler,4,2,2,0.5,0.5,-0.19534343481063843,1.4111753966705707
demo__there_was_event__did_to__mary_answered,no_demo,4,4,0,1.0,0.0,-1.2822191715240479,0.9350135144077358
demo__there_was_event__did_to__mary_answered,passive,4,3,1,0.75,0.25,-1.0413861274719238,2.1494836588783555
demo__there_was_event__did_to__said_mary,active,4,3,1,0.75,0.25,-1.8174365162849426,2.065891805910333
demo__there_was_event__did_to__said_mary,filler,4,2,2,0.5,0.5,-0.6768031716346741,1.4662309270705065
demo__there_was_event__did_to__said_mary,no_demo,4,4,0,1.0,0.0,-1.264849305152893,0.8083482448692987
demo__there_was_event__did_to__said_mary,passive,4,3,1,0.75,0.25,-1.0408537685871124,1.9478823663762967
demo__there_was_event__responsible_affected__mary_answered,active,4,3,1,0.75,0.25,-1.93179452419281,1.972035692661647
demo__there_was_event__responsible_affected__mary_answered,filler,4,2,2,0.5,0.5,0.10574662685394287,0.947122424804215
demo__there_was_event__responsible_affected__mary_answered,no_demo,4,4,0,1.0,0.0,-1.2421151995658875,0.6364807316554808
demo__there_was_event__responsible_affected__mary_answered,passive,4,3,1,0.75,0.25,-1.0479753613471985,1.840973071214276
demo__there_was_event__responsible_affected__said_mary,active,4,3,1,0.75,0.25,-2.336479425430298,1.9267568373544117
demo__there_was_event__responsible_affected__said_mary,filler,4,2,2,0.5,0.5,-0.34351372718811035,0.9665625304093178
demo__there_was_event__responsible_affected__said_mary,no_demo,4,4,0,1.0,0.0,-1.2653700411319733,0.48480759152788294
demo__there_was_event__responsible_affected__said_mary,passive,4,3,1,0.75,0.25,-1.4383284151554108,1.7010017677114815
