item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,active,active,a soldier understands a son .,a girl drags a guest .,a guest is dragged by a girl .,a soldier understands a son .,full_sentence_processing,-6.300926753452846,-5.913431167602539,0.3874955858503073,-44.10648727416992,-47.30744934082031,-3.20096206665039,7,8,passive,1,0,-0.3874955858503073,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-0.3874955858503073
0,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a girl drags a guest .,a guest is dragged by a girl .,<|endoftext|>,full_sentence_processing,-6.704602377755301,-6.991374969482422,-0.28677259172712066,-46.93221664428711,-55.930999755859375,-8.998783111572266,7,8,active,0,1,0.28677259172712066,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_eos,1,0.28677259172712066
1,processing_teacher_forced,active,active,a daughter strikes a doctor .,a student beats a teacher .,a teacher is beaten by a student .,a daughter strikes a doctor .,full_sentence_processing,-4.8669735590616865,-3.774117946624756,1.0928556124369306,-29.201841354370117,-30.192943572998047,-0.9911022186279296,6,8,passive,1,0,-1.0928556124369306,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-1.0928556124369306
1,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a student beats a teacher .,a teacher is beaten by a student .,<|endoftext|>,full_sentence_processing,-6.848195393880208,-5.1280341148376465,1.7201612790425616,-41.08917236328125,-41.02427291870117,0.064899444580078125,6,8,passive,1,0,-1.7201612790425616,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_eos,0,-1.7201612790425616
2,processing_teacher_forced,active,active,an actor protects an actress .,a mayor kills a minister .,a minister is killed by a mayor .,an actor protects an actress .,full_sentence_processing,-6.407035827636719,-5.7937774658203125,0.61325836181640625,-38.44221496582031,-46.3502197265625,-7.9080047607421875,6,8,passive,1,0,-0.61325836181640625,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-0.61325836181640625
2,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a mayor kills a minister .,a minister is killed by a mayor .,<|endoftext|>,full_sentence_processing,-7.466146469116211,-6.367486953735352,1.0986595153808594,-44.796878814697266,-50.93989562988281,-6.143016815185547,6,8,passive,1,0,-1.0986595153808594,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_eos,0,-1.0986595153808594
3,processing_teacher_forced,active,active,a cop kills a cousin .,a hero hurries a husband .,a husband is hurried by a hero .,a cop kills a cousin .,full_sentence_processing,-6.918018341064453,-6.337217807769775,0.5808005332946777,-48.42612838745117,-50.6977424621582,-2.2716140747070312,7,8,passive,1,0,-0.5808005332946777,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-0.5808005332946777
3,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a hero hurries a husband .,a husband is hurried by a hero .,<|endoftext|>,full_sentence_processing,-8.32162584577288,-7.111637115478516,1.2099887302943646,-58.25138092041016,-56.893096923828125,1.3582839965820312,7,8,passive,1,0,-1.2099887302943646,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_eos,0,-1.2099887302943646
4,processing_teacher_forced,active,active,a lawyer bothers a leader .,a hero judges a husband .,a husband is judged by a hero .,a lawyer bothers a leader .,full_sentence_processing,-7.174279530843099,-5.8051300048828125,1.3691495259602862,-43.045677185058594,-46.4410400390625,-3.3953628540039062,6,8,passive,1,0,-1.3691495259602862,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-1.3691495259602862
4,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a hero judges a husband .,a husband is judged by a hero .,<|endoftext|>,full_sentence_processing,-8.721367518107096,-6.432563781738281,2.2888037363688145,-52.32820510864258,-51.46051025390625,0.8676948547363281,6,8,passive,1,0,-2.2888037363688145,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_eos,0,-2.2888037363688145
