item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,active,active,a soldier understands a son .,a girl drags a guest .,a guest is dragged by a girl .,a soldier understands a son .,full_sentence_processing,-6.300926753452846,-5.913431167602539,0.3874955858503073,-44.10648727416992,-47.30744934082031,-3.20096206665039,7,8,passive,1,0,-0.3874955858503073,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-0.3874955858503073
0,processing_teacher_forced,filler,filler,The witness paused near the doorway .,a girl drags a guest .,a guest is dragged by a girl .,The witness paused near the doorway .,full_sentence_processing,-6.9022047860281805,-6.229357719421387,0.6728470666067938,-48.315433502197266,-49.834861755371094,-1.519428253173828,7,8,passive,1,0,-0.6728470666067938,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,filler,0,-0.6728470666067938
1,processing_teacher_forced,active,active,a daughter strikes a doctor .,a student beats a teacher .,a teacher is beaten by a student .,a daughter strikes a doctor .,full_sentence_processing,-4.8669735590616865,-3.774117946624756,1.0928556124369306,-29.201841354370117,-30.192943572998047,-0.9911022186279296,6,8,passive,1,0,-1.0928556124369306,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-1.0928556124369306
1,processing_teacher_forced,filler,filler,The kettle whistled in the kitchen .,a student beats a teacher .,a teacher is beaten by a student .,The kettle whistled in the kitchen .,full_sentence_processing,-7.557680765787761,-5.536145210266113,2.021535555521647,-45.34608459472656,-44.289161682128906,1.0569229125976562,6,8,passive,1,0,-2.021535555521647,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,filler,0,-2.021535555521647
2,processing_teacher_forced,active,active,an actor protects an actress .,a mayor kills a minister .,a minister is killed by a mayor .,an actor protects an actress .,full_sentence_processing,-6.407035827636719,-5.7937774658203125,0.61325836181640625,-38.44221496582031,-46.3502197265625,-7.9080047607421875,6,8,passive,1,0,-0.61325836181640625,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-0.61325836181640625
2,processing_teacher_forced,filler,filler,The sculpture stood in the hallway .,a mayor kills a minister .,a minister is killed by a mayor .,The sculpture stood in the hallway .,full_sentence_processing,-8.046345392862955,-6.571434020996094,1.4749113718668614,-48.278072357177734,-52.57147216796875,-4.293399810791016,6,8,passive,1,0,-1.4749113718668614,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,filler,0,-1.4749113718668614
3,processing_teacher_forced,active,active,a cop kills a cousin .,a hero hurries a husband .,a husband is hurried by a hero .,a cop kills a cousin .,full_sentence_processing,-6.918018341064453,-6.337217807769775,0.5808005332946777,-48.42612838745117,-50.6977424621582,-2.2716140747070312,7,8,passive,1,0,-0.5808005332946777,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-0.5808005332946777
3,processing_teacher_forced,filler,filler,The tourist wandered through the plaza .,a hero hurries a husband .,a husband is hurried by a hero .,The tourist wandered through the plaza .,full_sentence_processing,-8.030757359095983,-6.984044075012207,1.0467132840837756,-56.215301513671875,-55.872352600097656,0.34294891357421875,7,8,passive,1,0,-1.0467132840837756,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,filler,0,-1.0467132840837756
4,processing_teacher_forced,active,active,a lawyer bothers a leader .,a hero judges a husband .,a husband is judged by a hero .,a lawyer bothers a leader .,full_sentence_processing,-7.174279530843099,-5.8051300048828125,1.3691495259602862,-43.045677185058594,-46.4410400390625,-3.3953628540039062,6,8,passive,1,0,-1.3691495259602862,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-1.3691495259602862
4,processing_teacher_forced,filler,filler,The traveler rested beside the river .,a hero judges a husband .,a husband is judged by a hero .,The traveler rested beside the river .,full_sentence_processing,-8.555065155029297,-6.602991580963135,1.952073574066162,-51.33039093017578,-52.82393264770508,-1.4935417175292969,6,8,passive,1,0,-1.952073574066162,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,filler,0,-1.952073574066162
5,processing_teacher_forced,active,active,a parent hurries a partner .,a champion drags a chief .,a chief is dragged by a champion .,a parent hurries a partner .,full_sentence_processing,-6.520263671875,-6.060039043426514,0.46022462844848633,-45.641845703125,-48.48031234741211,-2.83846664428711,7,8,passive,1,0,-0.46022462844848633,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-0.46022462844848633
5,processing_teacher_forced,filler,filler,The package arrived before noon .,a champion drags a chief .,a chief is dragged by a champion .,The package arrived before noon .,full_sentence_processing,-8.175581795828682,-7.711258888244629,0.46432290758405337,-57.22907257080078,-61.69007110595703,-4.46099853515625,7,8,passive,1,0,-0.46432290758405337,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,filler,0,-0.46432290758405337
6,processing_teacher_forced,active,active,a champion forgives a chief .,a parent destroys a partner .,a partner is destroyed by a parent .,a champion forgives a chief .,full_sentence_processing,-6.923974990844727,-5.720637321472168,1.2033376693725586,-41.54384994506836,-45.765098571777344,-4.221248626708984,6,8,passive,1,0,-1.2033376693725586,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-1.2033376693725586
6,processing_teacher_forced,filler,filler,The package arrived before noon .,a parent destroys a partner .,a partner is destroyed by a parent .,The package arrived before noon .,full_sentence_processing,-9.215466181437174,-7.068740367889404,2.1467258135477696,-55.29279708862305,-56.549922943115234,-1.2571258544921875,6,8,passive,1,0,-2.1467258135477696,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,filler,0,-2.1467258135477696
7,processing_teacher_forced,active,active,a cop strikes a cousin .,a nurse discovers an opponent .,an opponent is discovered by a nurse .,a cop strikes a cousin .,full_sentence_processing,-7.268992741902669,-5.835004806518555,1.4339879353841145,-43.613956451416016,-46.68003845214844,-3.066082000732422,6,8,passive,1,0,-1.4339879353841145,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-1.4339879353841145
7,processing_teacher_forced,filler,filler,The blanket dried on the line .,a nurse discovers an opponent .,an opponent is discovered by a nurse .,The blanket dried on the line .,full_sentence_processing,-8.943867365519205,-6.719616889953613,2.224250475565592,-53.663204193115234,-53.756935119628906,-0.093730926513671875,6,8,passive,1,0,-2.224250475565592,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,filler,0,-2.224250475565592
8,processing_teacher_forced,active,active,a cousin asks a daughter .,a leader chases a man .,a man is chased by a leader .,a cousin asks a daughter .,full_sentence_processing,-5.84446770804269,-5.366015434265137,0.4784522737775534,-40.91127395629883,-42.928123474121094,-2.0168495178222656,7,8,passive,1,0,-0.4784522737775534,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,active,0,-0.4784522737775534
8,processing_teacher_forced,filler,filler,The teacher listened during assembly .,a leader chases a man .,a man is chased by a leader .,The teacher listened during assembly .,full_sentence_processing,-6.5291034153529575,-5.959966659545898,0.569136755807059,-45.7037239074707,-47.67973327636719,-1.9760093688964844,7,8,passive,1,0,-0.569136755807059,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,filler,0,-0.569136755807059
