s_cong_DO,s_inc_DO,w_cong_DO,w_inc_DO,s_cong_PO,s_inc_PO,w_cong_PO,w_inc_PO,s_PE_DO,s_PE_PO
-88.0,-89.9375,-3.16015625,-4.3046875,-92.25,-92.25,-5.60546875,-5.88671875,1.9375,0.0
-78.125,-78.875,-4.95703125,-6.265625,-79.3125,-81.5,-3.73046875,-4.42578125,0.75,2.1875
-87.5,-88.9375,-4.5234375,-4.80859375,-88.3125,-88.75,-4.66015625,-5.1484375,1.4375,0.4375
-87.5625,-89.0,-3.853515625,-4.19140625,-88.6875,-88.3125,-6.765625,-6.88671875,1.4375,-0.375
-81.3125,-80.0,-3.154296875,-3.669921875,-82.9375,-84.25,-3.296875,-3.783203125,-1.3125,1.3125
-74.3125,-77.3125,-3.90625,-4.47265625,-79.5625,-77.4375,-4.66796875,-5.328125,3.0,-2.125
-72.75,-73.5,-3.03125,-3.77734375,-77.25,-76.9375,-4.72265625,-5.02734375,0.75,-0.3125
-71.0,-74.6875,-3.19140625,-4.0859375,-75.375,-73.4375,-3.474609375,-3.943359375,3.6875,-1.9375
-77.875,-81.0,-3.189453125,-3.818359375,-81.9375,-80.9375,-5.34765625,-5.7421875,3.125,-1.0
-76.375,-78.0625,-3.06640625,-3.94140625,-78.0,-79.75,-4.109375,-4.95703125,1.6875,1.75
-75.6875,-75.5625,-7.36328125,-7.93359375,-76.0625,-77.875,-5.0078125,-5.65625,-0.125,1.8125
-72.1875,-75.6875,-5.09375,-5.8359375,-76.125,-73.875,-3.7578125,-4.2265625,3.5,-2.25
-72.0,-71.3125,-4.40625,-4.78515625,-74.1875,-75.375,-5.53125,-6.0703125,-0.6875,1.1875
-81.1875,-82.5625,-4.640625,-4.77734375,-85.9375,-85.0,-6.44140625,-6.92578125,1.375,-0.9375
-79.5,-81.125,-3.294921875,-4.671875,-81.0625,-80.6875,-6.71484375,-6.91015625,1.625,-0.375
-91.4375,-94.5625,-7.0234375,-7.48046875,-97.125,-95.75,-3.458984375,-3.8515625,3.125,-1.375
-69.75,-73.0625,-4.5078125,-4.875,-72.0,-70.0625,-3.970703125,-4.48828125,3.3125,-1.9375
-66.375,-67.8125,-3.87109375,-4.34765625,-69.5,-69.875,-5.46875,-5.875,1.4375,0.375
-82.375,-85.5,-2.01953125,-4.59375,-87.375,-86.875,-3.943359375,-4.5234375,3.125,-0.5
-85.25,-89.0,-2.689453125,-4.0,-92.4375,-90.5,-5.1796875,-5.58984375,3.75,-1.9375
-76.4375,-78.25,-3.525390625,-4.22265625,-79.625,-79.25,-3.873046875,-4.640625,1.8125,-0.375
-78.5,-83.5625,-2.935546875,-4.31640625,-85.9375,-83.3125,-3.845703125,-4.9296875,5.0625,-2.625
-80.75,-83.3125,-6.7734375,-7.23828125,-84.25,-82.5625,-5.4375,-6.046875,2.5625,-1.6875
-85.9375,-89.3125,-3.720703125,-4.390625,-88.5,-88.25,-4.31640625,-5.3203125,3.375,-0.25
-78.125,-81.5625,-3.05859375,-4.15625,-82.4375,-81.875,-5.9296875,-6.296875,3.4375,-0.5625
-79.25,-81.4375,-3.64453125,-4.62890625,-83.5625,-83.3125,-5.4609375,-5.953125,2.1875,-0.25
-78.3125,-79.625,-3.1328125,-3.87890625,-81.625,-81.875,-5.32421875,-5.5234375,1.3125,0.25
-84.25,-84.625,-2.78515625,-3.544921875,-84.9375,-84.4375,-6.78515625,-7.37109375,0.375,-0.5
-79.625,-79.9375,-4.91796875,-4.859375,-83.9375,-84.75,-6.77734375,-6.86328125,0.3125,0.8125
-81.375,-81.375,-2.44921875,-2.890625,-82.9375,-85.625,-5.3515625,-5.76953125,0.0,2.6875
-68.4375,-69.125,-3.0234375,-3.951171875,-70.5625,-70.875,-3.705078125,-4.06640625,0.6875,0.3125
-93.0625,-94.375,-3.20703125,-4.109375,-98.5625,-98.125,-3.5546875,-3.88671875,1.3125,-0.4375
-68.625,-71.4375,-2.306640625,-3.41015625,-75.5625,-73.4375,-6.109375,-6.421875,2.8125,-2.125
-77.1875,-76.8125,-3.923828125,-4.6328125,-77.125,-77.9375,-6.109375,-6.45703125,-0.375,0.8125
-96.875,-98.25,-5.87890625,-6.3125,-100.1875,-98.75,-4.52734375,-4.79296875,1.375,-1.4375
-77.4375,-78.625,-2.341796875,-3.001953125,-81.5625,-80.6875,-4.6796875,-4.83984375,1.1875,-0.875
-86.125,-87.1875,-3.833984375,-4.87109375,-86.3125,-86.9375,-3.85546875,-4.1953125,1.0625,0.625
-75.8125,-76.6875,-3.095703125,-4.26953125,-79.4375,-79.875,-5.75390625,-6.453125,0.875,0.4375
-77.4375,-77.6875,-3.6953125,-4.203125,-79.8125,-81.1875,-3.244140625,-4.00390625,0.25,1.375
-83.5625,-84.9375,-2.994140625,-3.814453125,-85.9375,-87.0625,-5.37109375,-5.95703125,1.375,1.125
-73.875,-74.5,-4.0234375,-4.984375,-75.9375,-76.0,-4.76953125,-5.01953125,0.625,0.0625
-72.6875,-72.375,-4.4609375,-5.10546875,-76.75,-77.25,-6.3828125,-6.9765625,-0.3125,0.5
-68.1875,-71.3125,-3.666015625,-4.734375,-70.5625,-69.3125,-4.15234375,-4.45703125,3.125,-1.25
-79.9375,-82.25,-2.873046875,-3.966796875,-84.375,-83.9375,-3.662109375,-4.55078125,2.3125,-0.4375
-82.5625,-84.25,-2.78125,-3.6328125,-90.6875,-90.1875,-6.5546875,-6.68359375,1.6875,-0.5
