item_index,prime_active_sentence,prime_passive_sentence,target_active,target_passive,filler_sentence,event_style,role_style,quote_style,role_order,prompt_active,prompt_passive,prompt_no_prime,prompt_filler
0,a mur s a dir .,a dir is ed by a mur .,the actor asked the actress .,the actress was asked by the actor .,The bri ed near dil .,involving_event,did_to,mary_answered,agent_first,"There was an event involving a mur and a dir.
The one who did it was a mur.
The one it happened to was a dir.

Bridget asked, ""What happened?""
Mary answered, ""A mur s a dir.""

There was an asking event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a mur and a dir.
The one who did it was a mur.
The one it happened to was a dir.

Bridget asked, ""What happened?""
Mary answered, ""A dir is ed by a mur.""

There was an asking event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The bri ed near dil.""

There was an asking event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The"
1,a mul ed a nav .,a nav was ed by a mul .,the actress asks the adult .,the adult is asked by the actress .,The dru ed beside the gri .,involving_event,did_to,mary_answered,agent_first,"There was an event involving a mul and a nav.
The one who did it was a mul.
The one it happened to was a nav.

Bridget asked, ""What happened?""
Mary answered, ""A mul ed a nav.""

There was an asking event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a mul and a nav.
The one who did it was a mul.
The one it happened to was a nav.

Bridget asked, ""What happened?""
Mary answered, ""A nav was ed by a mul.""

There was an asking event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The dru ed beside the gri.""

There was an asking event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The"
2,the rav s the rom .,the rom is ed by the rav .,an adult asked an attorney .,an attorney was asked by an adult .,The mur ed on the dir .,involving_event,did_to,mary_answered,agent_first,"There was an event involving the rav and the rom.
The one who did it was the rav.
The one it happened to was the rom.

Bridget asked, ""What happened?""
Mary answered, ""The rav s the rom.""

There was an asking event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the rav and the rom.
The one who did it was the rav.
The one it happened to was the rom.

Bridget asked, ""What happened?""
Mary answered, ""The rom is ed by the rav.""

There was an asking event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The mur ed on the dir.""

There was an asking event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"
3,the rom ed the sav .,the sav was ed by the rom .,an attorney asks an aunt .,an aunt is asked by an attorney .,The dur ed during the fab .,involving_event,did_to,mary_answered,agent_first,"There was an event involving the rom and the sav.
The one who did it was the rom.
The one it happened to was the sav.

Bridget asked, ""What happened?""
Mary answered, ""The rom ed the sav.""

There was an asking event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the rom and the sav.
The one who did it was the rom.
The one it happened to was the sav.

Bridget asked, ""What happened?""
Mary answered, ""The sav was ed by the rom.""

There was an asking event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The dur ed during the fab.""

There was an asking event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The"
4,a sav s a som .,a som is ed by a sav .,the aunt asked the author .,the author was asked by the aunt .,The fav ed after fel .,involving_event,did_to,mary_answered,patient_first,"There was an event involving a sav and a som.
The one it happened to was a som.
The one who did it was a sav.

Bridget asked, ""What happened?""
Mary answered, ""A sav s a som.""

There was an asking event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a sav and a som.
The one it happened to was a som.
The one who did it was a sav.

Bridget asked, ""What happened?""
Mary answered, ""A som is ed by a sav.""

There was an asking event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The fav ed after fel.""

There was an asking event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The"
5,a gir ed a lav .,a lav was ed by a gir .,the author asks the bishop .,the bishop is asked by the author .,The fil ed near the fol .,involving_event,did_to,mary_answered,patient_first,"There was an event involving a gir and a lav.
The one it happened to was a lav.
The one who did it was a gir.

Bridget asked, ""What happened?""
Mary answered, ""A gir ed a lav.""

There was an asking event involving the author and the bishop.
The one it happened to was the bishop.
The one who did it was the author.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a gir and a lav.
The one it happened to was a lav.
The one who did it was a gir.

Bridget asked, ""What happened?""
Mary answered, ""A lav was ed by a gir.""

There was an asking event involving the author and the bishop.
The one it happened to was the bishop.
The one who did it was the author.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving the author and the bishop.
The one it happened to was the bishop.
The one who did it was the author.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The fil ed near the fol.""

There was an asking event involving the author and the bishop.
The one it happened to was the bishop.
The one who did it was the author.

Bridget asked, ""What happened?""
Mary answered, ""The"
6,the dru s the gri .,the gri is ed by the dru .,a bishop asked a boy .,a boy was asked by a bishop .,The ful ed before gir .,involving_event,did_to,mary_answered,patient_first,"There was an event involving the dru and the gri.
The one it happened to was the gri.
The one who did it was the dru.

Bridget asked, ""What happened?""
Mary answered, ""The dru s the gri.""

There was an asking event involving a bishop and a boy.
The one it happened to was a boy.
The one who did it was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the dru and the gri.
The one it happened to was the gri.
The one who did it was the dru.

Bridget asked, ""What happened?""
Mary answered, ""The gri is ed by the dru.""

There was an asking event involving a bishop and a boy.
The one it happened to was a boy.
The one who did it was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving a bishop and a boy.
The one it happened to was a boy.
The one who did it was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The ful ed before gir.""

There was an asking event involving a bishop and a boy.
The one it happened to was a boy.
The one who did it was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The"
7,the fol ed the ful .,the ful was ed by the fol .,a boy asks a brother .,a brother is asked by a boy .,The lav ed after lil .,involving_event,did_to,mary_answered,patient_first,"There was an event involving the fol and the ful.
The one it happened to was the ful.
The one who did it was the fol.

Bridget asked, ""What happened?""
Mary answered, ""The fol ed the ful.""

There was an asking event involving a boy and a brother.
The one it happened to was a brother.
The one who did it was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving the fol and the ful.
The one it happened to was the ful.
The one who did it was the fol.

Bridget asked, ""What happened?""
Mary answered, ""The ful was ed by the fol.""

There was an asking event involving a boy and a brother.
The one it happened to was a brother.
The one who did it was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving a boy and a brother.
The one it happened to was a brother.
The one who did it was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The lav ed after lil.""

There was an asking event involving a boy and a brother.
The one it happened to was a brother.
The one who did it was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The"
8,a mur s a dir .,a dir is ed by a mur .,the brother asked the buddy .,the buddy was asked by the brother .,The mol ed on the mul .,involving_event,did_to,mary_answered,agent_first,"There was an event involving a mur and a dir.
The one who did it was a mur.
The one it happened to was a dir.

Bridget asked, ""What happened?""
Mary answered, ""A mur s a dir.""

There was an asking event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a mur and a dir.
The one who did it was a mur.
The one it happened to was a dir.

Bridget asked, ""What happened?""
Mary answered, ""A dir is ed by a mur.""

There was an asking event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The mol ed on the mul.""

There was an asking event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The"
9,a nud ed a pav .,a pav was ed by a nud .,the buddy asks the candidate .,the candidate is asked by the buddy .,The nav ed above the nin .,involving_event,did_to,mary_answered,agent_first,"There was an event involving a nud and a pav.
The one who did it was a nud.
The one it happened to was a pav.

Bridget asked, ""What happened?""
Mary answered, ""A nud ed a pav.""

There was an asking event involving the buddy and the candidate.
The one who did it was the buddy.
The one it happened to was the candidate.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an event involving a nud and a pav.
The one who did it was a nud.
The one it happened to was a pav.

Bridget asked, ""What happened?""
Mary answered, ""A pav was ed by a nud.""

There was an asking event involving the buddy and the candidate.
The one who did it was the buddy.
The one it happened to was the candidate.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving the buddy and the candidate.
The one who did it was the buddy.
The one it happened to was the candidate.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The nav ed above the nin.""

There was an asking event involving the buddy and the candidate.
The one who did it was the buddy.
The one it happened to was the candidate.

Bridget asked, ""What happened?""
Mary answered, ""The"
