prompt_column,prime_condition,generation_class_detailed_final,n_items,total_items,share
prompt_active,active,active_other,1,2048,0.00048828125
prompt_active,active,active_progressive_intransitive,1,2048,0.00048828125
prompt_active,active,active_progressive_transitive,1,2048,0.00048828125
prompt_active,active,active_target_transitive_like,892,2048,0.435546875
prompt_active,active,active_transitive,253,2048,0.12353515625
prompt_active,active,copular_nominal,11,2048,0.00537109375
prompt_active,active,other_prepositional_misc,20,2048,0.009765625
prompt_active,active,other_unclassified,702,2048,0.3427734375
prompt_active,active,passive_by,17,2048,0.00830078125
prompt_active,active,passive_target_by,150,2048,0.0732421875
prompt_filler,filler,active_ditransitive_prepositional,1,2048,0.00048828125
prompt_filler,filler,active_intransitive_prepositional,2,2048,0.0009765625
prompt_filler,filler,active_progressive_intransitive,3,2048,0.00146484375
prompt_filler,filler,active_progressive_intransitive_pp,1,2048,0.00048828125
prompt_filler,filler,active_progressive_transitive,6,2048,0.0029296875
prompt_filler,filler,active_target_ditransitive_like,1,2048,0.00048828125
prompt_filler,filler,active_target_transitive_like,301,2048,0.14697265625
prompt_filler,filler,active_transitive,68,2048,0.033203125
prompt_filler,filler,active_transitive_with_pp,3,2048,0.00146484375
prompt_filler,filler,copular_nominal,30,2048,0.0146484375
prompt_filler,filler,copular_participial,2,2048,0.0009765625
prompt_filler,filler,copular_prepositional,2,2048,0.0009765625
prompt_filler,filler,other_prepositional_misc,1247,2048,0.60888671875
prompt_filler,filler,other_relative_identity_clause,5,2048,0.00244140625
prompt_filler,filler,other_unclassified,253,2048,0.12353515625
prompt_filler,filler,passive_by,19,2048,0.00927734375
prompt_filler,filler,passive_short,8,2048,0.00390625
prompt_filler,filler,passive_target_by,96,2048,0.046875
prompt_no_prime,no_prime,active_ditransitive_prepositional,35,2048,0.01708984375
prompt_no_prime,no_prime,active_intransitive,14,2048,0.0068359375
prompt_no_prime,no_prime,active_other,4,2048,0.001953125
prompt_no_prime,no_prime,active_progressive_ditransitive,8,2048,0.00390625
prompt_no_prime,no_prime,active_progressive_intransitive,13,2048,0.00634765625
prompt_no_prime,no_prime,active_progressive_intransitive_pp,39,2048,0.01904296875
prompt_no_prime,no_prime,active_progressive_transitive,47,2048,0.02294921875
prompt_no_prime,no_prime,active_target_ditransitive_like,25,2048,0.01220703125
prompt_no_prime,no_prime,active_target_transitive_like,607,2048,0.29638671875
prompt_no_prime,no_prime,active_transitive,248,2048,0.12109375
prompt_no_prime,no_prime,active_transitive_with_pp,7,2048,0.00341796875
prompt_no_prime,no_prime,copular_adjectival,13,2048,0.00634765625
prompt_no_prime,no_prime,copular_nominal,88,2048,0.04296875
prompt_no_prime,no_prime,copular_participial,1,2048,0.00048828125
prompt_no_prime,no_prime,copular_prepositional,54,2048,0.0263671875
prompt_no_prime,no_prime,other_coordinate_multiclause,139,2048,0.06787109375
prompt_no_prime,no_prime,other_prepositional_misc,263,2048,0.12841796875
prompt_no_prime,no_prime,other_relative_identity_clause,73,2048,0.03564453125
prompt_no_prime,no_prime,other_unclassified,341,2048,0.16650390625
prompt_no_prime,no_prime,passive_by,4,2048,0.001953125
prompt_no_prime,no_prime,passive_short,11,2048,0.00537109375
prompt_no_prime,no_prime,passive_target_by,14,2048,0.0068359375
prompt_passive,passive,active_progressive_intransitive_pp,2,2048,0.0009765625
prompt_passive,passive,active_target_transitive_like,220,2048,0.107421875
prompt_passive,passive,active_transitive,35,2048,0.01708984375
prompt_passive,passive,copular_prepositional,10,2048,0.0048828125
prompt_passive,passive,other_prepositional_misc,1128,2048,0.55078125
prompt_passive,passive,other_unclassified,98,2048,0.0478515625
prompt_passive,passive,passive_by,83,2048,0.04052734375
prompt_passive,passive,passive_target_by,472,2048,0.23046875
