condition,target_structure,word_index,n_items,word,mean_word_pe,sd_word_pe,mean_word_pe_mean,sd_word_pe_mean,critical_word_rate
CORE,active,0,15000,a,-0.2602071919441223,0.5677815584632558,-0.2602071919441223,0.5677815584632558,0.0
CORE,active,1,15000,candidate,-0.0226631501833597,0.6070667827100003,-0.0226631501833597,0.6070667827100003,0.0
CORE,active,2,15000,leads,0.1436829871920248,0.6891709133523957,0.1304019283983856,0.6582221213718242,1.0
CORE,active,3,15000,a,0.0131428430899977,0.3514611134735441,0.0131428430899977,0.3514611134735441,0.0
CORE,active,4,15000,company,0.0823987749735514,0.4876736389220137,0.0823987749735514,0.4876736389220137,0.0
CORE,active,5,15000,.,0.2343762355486552,0.5155149574347561,0.2343762355486552,0.5155149574347561,0.0
CORE,passive,0,15000,a,0.2592123693466187,0.5678387516807979,0.2592123693466187,0.5678387516807979,0.0
CORE,passive,1,15000,company,-0.0044445344289143,0.5769525705339463,-0.0044445344289143,0.5769525705339463,0.0
CORE,passive,2,15000,is,0.1757483731031418,0.5164937159624164,0.1757483731031418,0.5164937159624164,1.0
CORE,passive,3,15000,led,0.2502598795372682,0.5926895117050678,0.2487911887545604,0.589414646806475,0.0
CORE,passive,4,15000,by,0.3707760229484488,0.3630431648599809,0.3707760229484488,0.3630431648599809,0.0
CORE,passive,5,15000,a,-0.0423358549396196,0.2321930338260227,-0.0423358549396196,0.2321930338260227,0.0
CORE,passive,6,15000,candidate,0.0232647016207377,0.5050323419611482,0.0232647016207377,0.5050323419611482,0.0
CORE,passive,7,15000,.,0.3659980322480202,0.4463414288940878,0.3659980322480202,0.4463414288940878,0.0
jabberwocky,active,0,15000,a,-0.8599499413808187,0.7892717877446116,-0.8599499413808187,0.7892717877446116,0.0
jabberwocky,active,1,15000,tlunelsel,-0.2830739730070035,1.3057162094906225,-0.0650597315702959,0.2962749084813719,0.0
jabberwocky,active,2,15000,klosorveked,0.2195990909640987,1.3152050748241242,0.0447443909651537,0.2808306789837449,1.0
jabberwocky,active,3,15000,a,-0.8150538341045379,1.0051788875382914,-0.8150538341045379,1.0051788875382914,0.0
jabberwocky,active,4,15000,skozebsel,-0.0248587334260344,0.8425341932945568,-0.0059254683892304,0.1915808016089236,0.0
jabberwocky,active,5,15000,.,-0.0929064489285151,0.5985111667444256,-0.0929064489285151,0.5985111667444256,0.0
jabberwocky,passive,0,15000,a,0.8599499413808187,0.7892717877446116,0.8599499413808187,0.7892717877446116,0.0
jabberwocky,passive,1,15000,skozebsel,0.2839217183803518,1.307828491332428,0.0655799588075404,0.2967230292741929,0.0
jabberwocky,passive,2,15000,was,0.80820420738856,0.8657835825497524,0.80820420738856,0.8657835825497524,1.0
jabberwocky,passive,3,15000,klosorveked,1.672678226753076,1.5037625512599233,0.3655098795784016,0.3309321874228122,0.0
jabberwocky,passive,4,15000,by,2.366354204399387,0.6668319560507648,2.366354204399387,0.6668319560507648,0.0
jabberwocky,passive,5,15000,a,-0.7185016542315483,0.5703257976992897,-0.7185016542315483,0.5703257976992897,0.0
jabberwocky,passive,6,15000,tlunelsel,0.7579050028947493,0.9854687024413948,0.1729953294416889,0.2241024410693799,0.0
jabberwocky,passive,7,15000,.,1.1071286728103955,0.5352866523617318,1.1071286728103955,0.5352866523617318,0.0
