item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator
0,processing_teacher_forced,active,active,a student drags a teacher .,a girl drags a guest .,a guest is dragged by a girl .,a student drags a teacher . ,full_sentence_processing,-4.360829762050083,-4.5010786056518555,-0.14024884360177214,-30.525808334350586,-36.008628845214844,-5.482820510864258,7,8,active,0.0
0,processing_teacher_forced,passive,passive,a teacher is dragged by a student .,a girl drags a guest .,a guest is dragged by a girl .,a teacher is dragged by a student . ,full_sentence_processing,-5.103272029331753,-4.052603721618652,1.0506683077131003,-35.722904205322266,-32.42082977294922,3.302074432373047,7,8,passive,1.0
0,processing_teacher_forced,no_prime,no_prime,,a girl drags a guest .,a guest is dragged by a girl .,<|endoftext|> ,full_sentence_processing,-6.704627990722656,-6.991400718688965,-0.2867727279663086,-46.932395935058594,-55.93120574951172,-8.998809814453125,7,8,active,0.0
0,processing_teacher_forced,filler,filler,The witness paused near the doorway .,a girl drags a guest .,a guest is dragged by a girl .,The witness paused near the doorway . ,full_sentence_processing,-6.902230398995536,-6.2293853759765625,0.6728450230189731,-48.31561279296875,-49.8350830078125,-1.51947021484375,7,8,passive,1.0
1,processing_teacher_forced,active,active,a guest beats a guy .,a student beats a teacher .,a teacher is beaten by a student .,a guest beats a guy . ,full_sentence_processing,-4.353532473246257,-3.9471349716186523,0.40639750162760446,-26.12119483947754,-31.57707977294922,-5.45588493347168,6,8,passive,1.0
1,processing_teacher_forced,passive,passive,a guy is beaten by a guest .,a student beats a teacher .,a teacher is beaten by a student .,a guy is beaten by a guest . ,full_sentence_processing,-4.799354553222656,-3.0780224800109863,1.72133207321167,-28.796127319335938,-24.62417984008789,4.171947479248047,6,8,passive,1.0
1,processing_teacher_forced,no_prime,no_prime,,a student beats a teacher .,a teacher is beaten by a student .,<|endoftext|> ,full_sentence_processing,-6.8482100168863935,-5.128057479858398,1.720152537027995,-41.08926010131836,-41.02445983886719,0.06480026245117188,6,8,passive,1.0
1,processing_teacher_forced,filler,filler,The kettle whistled in the kitchen .,a student beats a teacher .,a teacher is beaten by a student .,The kettle whistled in the kitchen . ,full_sentence_processing,-7.557712554931641,-5.5361762046813965,2.021536350250244,-45.346275329589844,-44.28940963745117,1.0568656921386719,6,8,passive,1.0
2,processing_teacher_forced,active,active,an aunt kills an author .,a mayor kills a minister .,a minister is killed by a mayor .,an aunt kills an author . ,full_sentence_processing,-5.514424006144206,-4.90871000289917,0.6057140032450361,-33.086544036865234,-39.26968002319336,-6.183135986328125,6,8,passive,1.0
2,processing_teacher_forced,passive,passive,an author is killed by an aunt .,a mayor kills a minister .,a minister is killed by a mayor .,an author is killed by an aunt . ,full_sentence_processing,-5.898699442545573,-4.26453161239624,1.634167830149333,-35.39219665527344,-34.11625289916992,1.2759437561035156,6,8,passive,1.0
2,processing_teacher_forced,no_prime,no_prime,,a mayor kills a minister .,a minister is killed by a mayor .,<|endoftext|> ,full_sentence_processing,-7.466159184773763,-6.3675031661987305,1.0986560185750323,-44.79695510864258,-50.940025329589844,-6.143070220947266,6,8,passive,1.0
2,processing_teacher_forced,filler,filler,The sculpture stood in the hallway .,a mayor kills a minister .,a minister is killed by a mayor .,The sculpture stood in the hallway . ,full_sentence_processing,-8.04637082417806,-6.57145881652832,1.4749120076497402,-48.27822494506836,-52.57167053222656,-4.293445587158203,6,8,passive,1.0
3,processing_teacher_forced,active,active,a wife hurries a winner .,a hero hurries a husband .,a husband is hurried by a hero .,a wife hurries a winner . ,full_sentence_processing,-4.789584568568638,-4.738839626312256,0.05074494225638215,-33.52709197998047,-37.91071701049805,-4.383625030517578,7,8,passive,1.0
3,processing_teacher_forced,passive,passive,a winner is hurried by a wife .,a hero hurries a husband .,a husband is hurried by a hero .,a winner is hurried by a wife . ,full_sentence_processing,-5.877358572823661,-4.392377853393555,1.484980719430106,-41.141510009765625,-35.13902282714844,6.0024871826171875,7,8,passive,1.0
