item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,active,active,a student drags a teacher .,a girl drags a guest .,a guest is dragged by a girl .,a student drags a teacher .,full_sentence_processing,-3.993303571428571,-4.36328125,-0.3699776785714284,-27.953125,-34.90625,-6.953125,7,8,active,0,1,0.3699776785714284,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,active,1,0.3699776785714284
0,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a girl drags a guest .,a guest is dragged by a girl .,<|eot_id|>,full_sentence_processing,-6.785714285714286,-6.71484375,0.07087053571428559,-47.5,-53.71875,-6.21875,7,8,passive,1,0,-0.07087053571428559,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,no_prime_eos,0,-0.07087053571428559
1,processing_teacher_forced,active,active,a guest beats a guy .,a student beats a teacher .,a teacher is beaten by a student .,a guest beats a guy .,full_sentence_processing,-2.8880208333333335,-2.673828125,0.21419270833333348,-17.328125,-21.390625,-4.0625,6,8,passive,1,0,-0.21419270833333348,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,active,0,-0.21419270833333348
1,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a student beats a teacher .,a teacher is beaten by a student .,<|eot_id|>,full_sentence_processing,-7.270833333333333,-5.38671875,1.884114583333333,-43.625,-43.09375,0.53125,6,8,passive,1,0,-1.884114583333333,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,no_prime_eos,0,-1.884114583333333
2,processing_teacher_forced,active,active,an aunt kills an author .,a mayor kills a minister .,a minister is killed by a mayor .,an aunt kills an author .,full_sentence_processing,-3.8723958333333335,-3.720703125,0.15169270833333348,-23.234375,-29.765625,-6.53125,6,8,passive,1,0,-0.15169270833333348,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,active,0,-0.15169270833333348
2,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a mayor kills a minister .,a minister is killed by a mayor .,<|eot_id|>,full_sentence_processing,-7.723958333333333,-6.59375,1.130208333333333,-46.34375,-52.75,-6.40625,6,8,passive,1,0,-1.130208333333333,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,no_prime_eos,0,-1.130208333333333
3,processing_teacher_forced,active,active,a wife hurries a winner .,a hero hurries a husband .,a husband is hurried by a hero .,a wife hurries a winner .,full_sentence_processing,-3.7857142857142856,-4.125,-0.3392857142857144,-26.5,-33,-6.5,7,8,active,0,1,0.3392857142857144,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,active,1,0.3392857142857144
3,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a hero hurries a husband .,a husband is hurried by a hero .,<|eot_id|>,full_sentence_processing,-8.044642857142858,-7.59375,0.4508928571428577,-56.3125,-60.75,-4.4375,7,8,passive,1,0,-0.4508928571428577,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,no_prime_eos,0,-0.4508928571428577
4,processing_teacher_forced,active,active,a wife judges a winner .,a hero judges a husband .,a husband is judged by a hero .,a wife judges a winner .,full_sentence_processing,-4.515625,-3.45703125,1.05859375,-27.09375,-27.65625,-0.5625,6,8,passive,1,0,-1.05859375,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,active,0,-1.05859375
4,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a hero judges a husband .,a husband is judged by a hero .,<|eot_id|>,full_sentence_processing,-8.859375,-6.76171875,2.09765625,-53.15625,-54.09375,-0.9375,6,8,passive,1,0,-2.09765625,llama_overlap_core,LLaMA lexical-overlap CORE,llama,lexical_overlap,core_core,no_prime_eos,0,-2.09765625
