prompt_column,prime_condition,generation_class_detailed_final,n_items,total_items,share
prompt_active,active,active_progressive_intransitive,1,2048,0.00048828125
prompt_active,active,active_target_transitive_like,1413,2048,0.68994140625
prompt_active,active,active_transitive,443,2048,0.21630859375
prompt_active,active,other_unclassified,83,2048,0.04052734375
prompt_active,active,passive_by,6,2048,0.0029296875
prompt_active,active,passive_target_by,102,2048,0.0498046875
prompt_filler,filler,active_ditransitive_prepositional,4,2048,0.001953125
prompt_filler,filler,active_intransitive_prepositional,1176,2048,0.57421875
prompt_filler,filler,active_other,185,2048,0.09033203125
prompt_filler,filler,active_progressive_intransitive,19,2048,0.00927734375
prompt_filler,filler,active_progressive_intransitive_pp,5,2048,0.00244140625
prompt_filler,filler,active_progressive_transitive,5,2048,0.00244140625
prompt_filler,filler,active_target_progressive_like,1,2048,0.00048828125
prompt_filler,filler,active_target_transitive_like,284,2048,0.138671875
prompt_filler,filler,active_transitive,84,2048,0.041015625
prompt_filler,filler,active_transitive_with_pp,3,2048,0.00146484375
prompt_filler,filler,copular_adjectival,1,2048,0.00048828125
prompt_filler,filler,copular_nominal,28,2048,0.013671875
prompt_filler,filler,copular_prepositional,6,2048,0.0029296875
prompt_filler,filler,other_prepositional_misc,77,2048,0.03759765625
prompt_filler,filler,other_relative_identity_clause,1,2048,0.00048828125
prompt_filler,filler,other_unclassified,54,2048,0.0263671875
prompt_filler,filler,passive_by,21,2048,0.01025390625
prompt_filler,filler,passive_short,17,2048,0.00830078125
prompt_filler,filler,passive_target_by,77,2048,0.03759765625
prompt_no_prime,no_prime,active_ditransitive_prepositional,37,2048,0.01806640625
prompt_no_prime,no_prime,active_intransitive,14,2048,0.0068359375
prompt_no_prime,no_prime,active_other,4,2048,0.001953125
prompt_no_prime,no_prime,active_progressive_ditransitive,8,2048,0.00390625
prompt_no_prime,no_prime,active_progressive_intransitive,13,2048,0.00634765625
prompt_no_prime,no_prime,active_progressive_intransitive_pp,39,2048,0.01904296875
prompt_no_prime,no_prime,active_progressive_transitive,47,2048,0.02294921875
prompt_no_prime,no_prime,active_target_ditransitive_like,24,2048,0.01171875
prompt_no_prime,no_prime,active_target_transitive_like,609,2048,0.29736328125
prompt_no_prime,no_prime,active_transitive,246,2048,0.1201171875
prompt_no_prime,no_prime,active_transitive_with_pp,8,2048,0.00390625
prompt_no_prime,no_prime,copular_adjectival,13,2048,0.00634765625
prompt_no_prime,no_prime,copular_nominal,86,2048,0.0419921875
prompt_no_prime,no_prime,copular_participial,1,2048,0.00048828125
prompt_no_prime,no_prime,copular_prepositional,54,2048,0.0263671875
prompt_no_prime,no_prime,other_coordinate_multiclause,141,2048,0.06884765625
prompt_no_prime,no_prime,other_prepositional_misc,263,2048,0.12841796875
prompt_no_prime,no_prime,other_relative_identity_clause,73,2048,0.03564453125
prompt_no_prime,no_prime,other_unclassified,339,2048,0.16552734375
prompt_no_prime,no_prime,passive_by,4,2048,0.001953125
prompt_no_prime,no_prime,passive_short,12,2048,0.005859375
prompt_no_prime,no_prime,passive_target_by,13,2048,0.00634765625
prompt_passive,passive,active_intransitive_prepositional,1,2048,0.00048828125
prompt_passive,passive,active_progressive_intransitive,1,2048,0.00048828125
prompt_passive,passive,active_progressive_intransitive_pp,10,2048,0.0048828125
prompt_passive,passive,active_progressive_transitive,3,2048,0.00146484375
prompt_passive,passive,active_target_transitive_like,444,2048,0.216796875
prompt_passive,passive,active_transitive,35,2048,0.01708984375
prompt_passive,passive,other_prepositional_misc,5,2048,0.00244140625
prompt_passive,passive,other_unclassified,31,2048,0.01513671875
prompt_passive,passive,passive_by,111,2048,0.05419921875
prompt_passive,passive,passive_target_by,1407,2048,0.68701171875
