item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a girl drags a guest .,a guest is dragged by a girl .,NA,full_sentence_processing,-5.704661778041294,-5.366915702819824,0.33774607522147004,-39.93263244628906,-42.935325622558594,-3.0026931762695312,7,8,passive,1,0,-0.33774607522147004,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_empty,1,0.33774607522147004
0,processing_teacher_forced,filler,filler,The witness paused near the doorway .,a girl drags a guest .,a guest is dragged by a girl .,The witness paused near the doorway .,full_sentence_processing,-6.902230398995536,-6.2293853759765625,0.6728450230189731,-48.31561279296875,-49.8350830078125,-1.51947021484375,7,8,passive,1,0,-0.6728450230189731,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,0.6728450230189731
1,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a student beats a teacher .,a teacher is beaten by a student .,NA,full_sentence_processing,-5.325255076090495,-4.094405174255371,1.230849901835124,-31.95153045654297,-32.75524139404297,-0.8037109375,6,8,passive,1,0,-1.230849901835124,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_empty,1,1.230849901835124
1,processing_teacher_forced,filler,filler,The kettle whistled in the kitchen .,a student beats a teacher .,a teacher is beaten by a student .,The kettle whistled in the kitchen .,full_sentence_processing,-7.557712554931641,-5.5361762046813965,2.021536350250244,-45.34627532958984,-44.28940963745117,1.056865692138672,6,8,passive,1,0,-2.021536350250244,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,2.021536350250244
2,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a mayor kills a minister .,a minister is killed by a mayor .,NA,full_sentence_processing,-6.136517842610677,-5.323587417602539,0.8129304250081377,-36.81910705566406,-42.58869934082031,-5.76959228515625,6,8,passive,1,0,-0.8129304250081377,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_empty,1,0.8129304250081377
2,processing_teacher_forced,filler,filler,The sculpture stood in the hallway .,a mayor kills a minister .,a minister is killed by a mayor .,The sculpture stood in the hallway .,full_sentence_processing,-8.04637082417806,-6.57145881652832,1.4749120076497402,-48.27822494506836,-52.57167053222656,-4.293445587158203,6,8,passive,1,0,-1.4749120076497402,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,1.4749120076497402
3,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a hero hurries a husband .,a husband is hurried by a hero .,NA,full_sentence_processing,-6.781905582972935,-5.851328372955322,0.9305772100176126,-47.47333908081055,-46.81062698364258,0.66271209716796875,7,8,passive,1,0,-0.9305772100176126,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_empty,1,0.9305772100176126
3,processing_teacher_forced,filler,filler,The tourist wandered through the plaza .,a hero hurries a husband .,a husband is hurried by a hero .,The tourist wandered through the plaza .,full_sentence_processing,-8.030788966587611,-6.9840779304504395,1.0467110361371716,-56.21552276611328,-55.87262344360352,0.3428993225097656,7,8,passive,1,0,-1.0467110361371716,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,1.0467110361371716
4,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a hero judges a husband .,a husband is judged by a hero .,NA,full_sentence_processing,-7.145727157592773,-5.344646453857422,1.8010807037353516,-42.87436294555664,-42.757171630859375,0.11719131469726562,6,8,passive,1,0,-1.8010807037353516,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_empty,1,1.8010807037353516
4,processing_teacher_forced,filler,filler,The traveler rested beside the river .,a hero judges a husband .,a husband is judged by a hero .,The traveler rested beside the river .,full_sentence_processing,-8.555095036824545,-6.603030204772949,1.9520648320515956,-51.330570220947266,-52.824241638183594,-1.493671417236328,6,8,passive,1,0,-1.9520648320515956,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,1.9520648320515956
5,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a champion drags a chief .,a chief is dragged by a champion .,NA,full_sentence_processing,-6.203144618443081,-5.987189292907715,0.2159553255353659,-43.42201232910156,-47.89751434326172,-4.475502014160156,7,8,passive,1,0,-0.2159553255353659,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_empty,1,0.2159553255353659
5,processing_teacher_forced,filler,filler,The package arrived before noon .,a champion drags a chief .,a chief is dragged by a champion .,The package arrived before noon .,full_sentence_processing,-8.175597599574498,-7.711282253265381,0.4643153463091174,-57.22918319702149,-61.69025802612305,-4.4610748291015625,7,8,passive,1,0,-0.4643153463091174,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,0.4643153463091174
6,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a parent destroys a partner .,a partner is destroyed by a parent .,NA,full_sentence_processing,-6.392923990885417,-5.004758834838867,1.3881651560465498,-38.3575439453125,-40.03807067871094,-1.6805267333984375,6,8,passive,1,0,-1.3881651560465498,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_empty,1,1.3881651560465498
6,processing_teacher_forced,filler,filler,The package arrived before noon .,a parent destroys a partner .,a partner is destroyed by a parent .,The package arrived before noon .,full_sentence_processing,-9.215496063232422,-7.068758010864258,2.146738052368164,-55.29297637939453,-56.55006408691406,-1.2570877075195312,6,8,passive,1,0,-2.146738052368164,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,2.146738052368164
7,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a nurse discovers an opponent .,an opponent is discovered by a nurse .,NA,full_sentence_processing,-7.144114176432292,-5.109893798828125,2.034220377604167,-42.86468505859375,-40.879150390625,1.98553466796875,6,8,passive,1,0,-2.034220377604167,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_empty,1,2.034220377604167
7,processing_teacher_forced,filler,filler,The blanket dried on the line .,a nurse discovers an opponent .,an opponent is discovered by a nurse .,The blanket dried on the line .,full_sentence_processing,-8.943890253702799,-6.719635486602783,2.2242547671000157,-53.6633415222168,-53.757083892822266,-0.09374237060546876,6,8,passive,1,0,-2.2242547671000157,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,2.2242547671000157
8,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a leader chases a man .,a man is chased by a leader .,NA,full_sentence_processing,-5.033233097621372,-4.9742231369018555,0.05900996071951692,-35.23263168334961,-39.79378509521485,-4.561153411865234,7,8,passive,1,0,-0.05900996071951692,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_empty,1,0.05900996071951692
8,processing_teacher_forced,filler,filler,The teacher listened during assembly .,a leader chases a man .,a man is chased by a leader .,The teacher listened during assembly .,full_sentence_processing,-6.529122488839286,-5.959993362426758,0.5691291264125278,-45.703857421875,-47.67994689941406,-1.9760894775390625,7,8,passive,1,0,-0.5691291264125278,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,0.5691291264125278
9,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a president teaches a priest .,a priest is taught by a president .,NA,full_sentence_processing,-6.86648432413737,-5.074348449707031,1.7921358744303388,-41.19890594482422,-40.59478759765625,0.60411834716796875,6,8,passive,1,0,-1.7921358744303388,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_empty,1,1.7921358744303388
9,processing_teacher_forced,filler,filler,The lantern glowed near sunset .,a president teaches a priest .,a priest is taught by a president .,The lantern glowed near sunset .,full_sentence_processing,-8.253073374430338,-6.735771179199219,1.5173021952311192,-49.51844024658203,-53.88616943359375,-4.367729187011719,6,8,passive,1,0,-1.5173021952311192,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,1.5173021952311192
10,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a winner understands a woman .,a woman is understood by a winner .,NA,full_sentence_processing,-6.67532221476237,-5.605508804321289,1.069813410441081,-40.05193328857422,-44.84407043457031,-4.792137145996094,6,8,passive,1,0,-1.069813410441081,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_empty,1,1.069813410441081
10,processing_teacher_forced,filler,filler,The pillow rested on the sofa .,a winner understands a woman .,a woman is understood by a winner .,The pillow rested on the sofa .,full_sentence_processing,-8.231658299763998,-7.343199253082275,0.8884590466817226,-49.389949798583984,-58.7455940246582,-9.35564422607422,6,8,passive,1,0,-0.8884590466817226,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,0.8884590466817226
11,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a woman beats a worker .,a worker is beaten by a woman .,NA,full_sentence_processing,-5.950857798258464,-4.699954032897949,1.2509037653605146,-35.70514678955078,-37.599632263183594,-1.8944854736328125,6,8,passive,1,0,-1.2509037653605146,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_empty,1,1.2509037653605146
11,processing_teacher_forced,filler,filler,The lantern glowed near sunset .,a woman beats a worker .,a worker is beaten by a woman .,The lantern glowed near sunset .,full_sentence_processing,-7.8261769612630205,-6.016413688659668,1.8097632726033528,-46.957061767578125,-48.131309509277344,-1.1742477416992188,6,8,passive,1,0,-1.8097632726033528,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,1.8097632726033528
12,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a wife kisses a winner .,a winner is kissed by a wife .,NA,full_sentence_processing,-6.989960352579753,-5.33027458190918,1.6596857706705732,-41.93976211547851,-42.64219665527344,-0.7024345397949219,6,8,passive,1,0,-1.6596857706705732,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_empty,1,1.6596857706705732
12,processing_teacher_forced,filler,filler,The tourist wandered through the plaza .,a wife kisses a winner .,a winner is kissed by a wife .,The tourist wandered through the plaza .,full_sentence_processing,-8.336039861043295,-6.536244869232178,1.7997949918111171,-50.016239166259766,-52.28995895385742,-2.273719787597656,6,8,passive,1,0,-1.7997949918111171,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,1.7997949918111171
