prompt_column,prime_condition,generation_class,n_items,total_items,share
prompt_active,active,active_exact,208,2048,0.1015625
prompt_active,active,active_structural,1205,2048,0.58837890625
prompt_active,active,other,533,2048,0.26025390625
prompt_active,active,passive_exact,9,2048,0.00439453125
prompt_active,active,passive_structural,93,2048,0.04541015625
prompt_filler,filler,active_exact,97,2048,0.04736328125
prompt_filler,filler,active_structural,188,2048,0.091796875
prompt_filler,filler,other,1686,2048,0.8232421875
prompt_filler,filler,passive_exact,6,2048,0.0029296875
prompt_filler,filler,passive_structural,71,2048,0.03466796875
prompt_no_prime,no_prime,active_exact,164,2048,0.080078125
prompt_no_prime,no_prime,active_structural,469,2048,0.22900390625
prompt_no_prime,no_prime,other,1402,2048,0.6845703125
prompt_no_prime,no_prime,passive_exact,3,2048,0.00146484375
prompt_no_prime,no_prime,passive_structural,10,2048,0.0048828125
prompt_passive,passive,active_exact,152,2048,0.07421875
prompt_passive,passive,active_structural,292,2048,0.142578125
prompt_passive,passive,other,197,2048,0.09619140625
prompt_passive,passive,passive_exact,14,2048,0.0068359375
prompt_passive,passive,passive_structural,1393,2048,0.68017578125
