item_id,item_index,complexity_condition,source_label,target_cell,prime_cell,prime_active,prime_passive,target_active_simple,target_passive_simple,target_active_complex,target_passive_complex,agent_modifier_noun,patient_modifier_noun,agent_modifier_prep,patient_modifier_prep,prime_active_det_family,target_active_det_family,prime_passive_aux,target_passive_aux,prime_active_verb_or_fragment,target_active_verb_or_fragment,target_agent,target_patient
exp4_core_0000_agent_complex,0,agent_complex,core,def_past,indef_present,a doctor grabs an employee .,an employee is grabbed by a doctor .,the actor asked the actress .,the actress was asked by the actor .,the actor near the man asked the actress .,the actress was asked by the actor near the man .,man,,near,,indef,def,is,was,grabs,asked,actor,actress
exp4_core_0000_patient_complex,0,patient_complex,core,def_past,indef_present,a doctor grabs an employee .,an employee is grabbed by a doctor .,the actor asked the actress .,the actress was asked by the actor .,the actor asked the actress above the king .,the actress above the king was asked by the actor .,,king,,above,indef,def,is,was,grabs,asked,actor,actress
exp4_core_0000_both_complex,0,both_complex,core,def_past,indef_present,a doctor grabs an employee .,an employee is grabbed by a doctor .,the actor asked the actress .,the actress was asked by the actor .,the actor with the attorney asked the actress from the manager .,the actress from the manager was asked by the actor with the attorney .,attorney,manager,with,from,indef,def,is,was,grabs,asked,actor,actress
exp4_core_0001_agent_complex,1,agent_complex,core,def_present,indef_past,a soldier forgot a son .,a son was forgotten by a soldier .,the actress asks the adult .,the adult is asked by the actress .,the actress above the girl asks the adult .,the adult is asked by the actress above the girl .,girl,,above,,indef,def,was,is,forgot,asks,actress,adult
exp4_core_0001_patient_complex,1,patient_complex,core,def_present,indef_past,a soldier forgot a son .,a son was forgotten by a soldier .,the actress asks the adult .,the adult is asked by the actress .,the actress asks the adult with the doctor .,the adult with the doctor is asked by the actress .,,doctor,,with,indef,def,was,is,forgot,asks,actress,adult
exp4_core_0001_both_complex,1,both_complex,core,def_present,indef_past,a soldier forgot a son .,a son was forgotten by a soldier .,the actress asks the adult .,the adult is asked by the actress .,the actress from the minister asks the adult with the mayor .,the adult with the mayor is asked by the actress from the minister .,minister,mayor,from,with,indef,def,was,is,forgot,asks,actress,adult
exp4_core_0002_agent_complex,2,agent_complex,core,indef_past,def_present,the guest forgives the guy .,the guy is forgiven by the guest .,an adult asked an attorney .,an attorney was asked by an adult .,an adult with a husband asked an attorney .,an attorney was asked by an adult with a husband .,husband,,with,,def,indef,is,was,forgives,asked,adult,attorney
exp4_core_0002_patient_complex,2,patient_complex,core,indef_past,def_present,the guest forgives the guy .,the guy is forgiven by the guest .,an adult asked an attorney .,an attorney was asked by an adult .,an adult asked an attorney from a manager .,an attorney from a manager was asked by an adult .,,manager,,from,def,indef,is,was,forgives,asked,adult,attorney
exp4_core_0002_both_complex,2,both_complex,core,indef_past,def_present,the guest forgives the guy .,the guy is forgiven by the guest .,an adult asked an attorney .,an attorney was asked by an adult .,an adult in a buddy asked an attorney on a hero .,an attorney on a hero was asked by an adult in a buddy .,buddy,hero,in,on,def,indef,is,was,forgives,asked,adult,attorney
exp4_core_0003_agent_complex,3,agent_complex,core,indef_present,def_past,the girl beat the guest .,the guest was beaten by the girl .,an attorney asks an aunt .,an aunt is asked by an attorney .,an attorney from an author asks an aunt .,an aunt is asked by an attorney from an author .,author,,from,,def,indef,was,is,beat,asks,attorney,aunt
exp4_core_0003_patient_complex,3,patient_complex,core,indef_present,def_past,the girl beat the guest .,the guest was beaten by the girl .,an attorney asks an aunt .,an aunt is asked by an attorney .,an attorney asks an aunt in a mayor .,an aunt in a mayor is asked by an attorney .,,mayor,,in,def,indef,was,is,beat,asks,attorney,aunt
exp4_core_0003_both_complex,3,both_complex,core,indef_present,def_past,the girl beat the guest .,the guest was beaten by the girl .,an attorney asks an aunt .,an aunt is asked by an attorney .,an attorney on a pilot asks an aunt in a worker .,an aunt in a worker is asked by an attorney on a pilot .,pilot,worker,on,in,def,indef,was,is,beat,asks,attorney,aunt
exp4_core_0004_agent_complex,4,agent_complex,core,def_past,indef_present,a friend bothers a girl .,a girl is bothered by a friend .,the aunt asked the author .,the author was asked by the aunt .,the aunt in the candidate asked the author .,the author was asked by the aunt in the candidate .,candidate,,in,,indef,def,is,was,bothers,asked,aunt,author
exp4_core_0004_patient_complex,4,patient_complex,core,def_past,indef_present,a friend bothers a girl .,a girl is bothered by a friend .,the aunt asked the author .,the author was asked by the aunt .,the aunt asked the author on the hero .,the author on the hero was asked by the aunt .,,hero,,on,indef,def,is,was,bothers,asked,aunt,author
exp4_core_0004_both_complex,4,both_complex,core,def_past,indef_present,a friend bothers a girl .,a girl is bothered by a friend .,the aunt asked the author .,the author was asked by the aunt .,the aunt below the cousin asked the author near the scientist .,the author near the scientist was asked by the aunt below the cousin .,cousin,scientist,below,near,indef,def,is,was,bothers,asked,aunt,author
exp4_core_0005_agent_complex,5,agent_complex,core,def_present,indef_past,a prince surprised a princess .,a princess was surprised by a prince .,the author asks the bishop .,the bishop is asked by the author .,the author on the adult asks the bishop .,the bishop is asked by the author on the adult .,adult,,on,,indef,def,was,is,surprised,asks,author,bishop
exp4_core_0005_patient_complex,5,patient_complex,core,def_present,indef_past,a prince surprised a princess .,a princess was surprised by a prince .,the author asks the bishop .,the bishop is asked by the author .,the author asks the bishop below the worker .,the bishop below the worker is asked by the author .,,worker,,below,indef,def,was,is,surprised,asks,author,bishop
exp4_core_0005_both_complex,5,both_complex,core,def_present,indef_past,a prince surprised a princess .,a princess was surprised by a prince .,the author asks the bishop .,the bishop is asked by the author .,the author near the colonel asks the bishop below the physician .,the bishop below the physician is asked by the author near the colonel .,colonel,physician,near,below,indef,def,was,is,surprised,asks,author,bishop
exp4_core_0006_agent_complex,6,agent_complex,core,indef_past,def_present,the actress kills the adult .,the adult is killed by the actress .,a bishop asked a boy .,a boy was asked by a bishop .,a bishop below a winner asked a boy .,a boy was asked by a bishop below a winner .,winner,,below,,def,indef,is,was,kills,asked,bishop,boy
