item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,<|endoftext|>,full_sentence_processing,-8.067664651309743,-7.27067084061472,0.7969938106950227,-137.15029907226562,-138.1427459716797,-0.9924468994140624,17,19,passive,1,0,-0.7969938106950227,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.7969938106950227
0,processing_teacher_forced,filler,filler,The nasker plodded near hulven .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,The nasker plodded near hulven .,full_sentence_processing,-7.635900160845588,-7.054683484529194,0.5812166763163935,-129.810302734375,-134.0389862060547,-4.2286834716796875,17,19,passive,1,0,-0.5812166763163935,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,filler,1,0.5812166763163935
1,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,<|endoftext|>,full_sentence_processing,-8.027536728802849,-7.392055310701069,0.6354814181017794,-136.46812438964844,-140.4490509033203,-3.980926513671875,17,19,passive,1,0,-0.6354814181017794,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.6354814181017794
1,processing_teacher_forced,filler,filler,The drabble quisted in varlen .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,The drabble quisted in varlen .,full_sentence_processing,-7.458694009219899,-7.073372288754112,0.3853217204657868,-126.79779815673828,-134.39407348632812,-7.596275329589844,17,19,passive,1,0,-0.3853217204657868,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,filler,1,0.3853217204657868
2,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,<|endoftext|>,full_sentence_processing,-7.892572739545037,-7.224613390470806,0.6679593490742315,-134.17373657226562,-137.2676544189453,-3.0939178466796875,17,19,passive,1,0,-0.6679593490742315,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.6679593490742315
2,processing_teacher_forced,filler,filler,The plinter drossed in marven .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,The plinter drossed in marven .,full_sentence_processing,-7.840298820944393,-6.995319567228618,0.844979253715775,-133.2850799560547,-132.91107177734375,0.3740081787109375,17,19,passive,1,0,-0.844979253715775,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,filler,1,0.844979253715775
3,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,<|endoftext|>,full_sentence_processing,-8.313883781433105,-7.598125881618923,0.7157578998141823,-133.0221405029297,-136.76626586914062,-3.7441253662109375,16,18,passive,1,0,-0.7157578998141823,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.7157578998141823
3,processing_teacher_forced,filler,filler,The claven morged through selven .,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,The claven morged through selven .,full_sentence_processing,-7.54122257232666,-7.180004543728298,0.36121802859836194,-120.65956115722656,-129.24008178710938,-8.5805206298828125,16,18,passive,1,0,-0.36121802859836194,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,filler,1,0.36121802859836194
4,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,<|endoftext|>,full_sentence_processing,-7.743454933166504,-7.043464660644531,0.6999902725219727,-123.89527893066406,-126.78236389160156,-2.8870849609375,16,18,passive,1,0,-0.6999902725219727,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.6999902725219727
4,processing_teacher_forced,filler,filler,The trassel fented beside murven .,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,The trassel fented beside murven .,full_sentence_processing,-7.348359107971191,-6.731000264485677,0.6173588434855146,-117.57374572753906,-121.1580047607422,-3.584259033203125,16,18,passive,1,0,-0.6173588434855146,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,filler,1,0.6173588434855146
5,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the skozemdil smenelmurs the vrefimdil .,the vrefimdil is smenelmured by the skozemdil .,<|endoftext|>,full_sentence_processing,-6.31745105319553,-6.369729614257812,-0.05227856106228223,-113.71411895751952,-127.39459228515624,-13.68047332763672,18,20,active,0,1,0.05227856106228223,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,no_prime_eos,0,-0.05227856106228223
