item_index,prime_active_sentence,prime_passive_sentence,target_active,target_passive,filler_sentence,event_style,role_style,quote_style,prompt_active,prompt_passive,prompt_no_demo,prompt_filler
0,a soldier understands a son .,a son is understood by a soldier .,a girl drags a guest .,a guest is dragged by a girl .,The lantern glowed near sunset .,involving_event,did_to,mary_answered,"There was a understanding event involving a soldier and a son.
The one who did it was a soldier.
The one it happened to was a son.

Bridget asked, ""What happened?""
Mary answered, ""A soldier understands a son.""

There was a dragging event involving a girl and a guest.
The one who did it was a girl.
The one it happened to was a guest.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a understanding event involving a soldier and a son.
The one who did it was a soldier.
The one it happened to was a son.

Bridget asked, ""What happened?""
Mary answered, ""A son is understood by a soldier.""

There was a dragging event involving a girl and a guest.
The one who did it was a girl.
The one it happened to was a guest.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a dragging event involving a girl and a guest.
The one who did it was a girl.
The one it happened to was a guest.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The lantern glowed near sunset.""

There was a dragging event involving a girl and a guest.
The one who did it was a girl.
The one it happened to was a guest.

Bridget asked, ""What happened?""
Mary answered, ""The"
1,a daughter strikes a doctor .,a doctor is struck by a daughter .,a student beats a teacher .,a teacher is beaten by a student .,The traveler rested beside the river .,involving_event,did_to,mary_answered,"There was a striking event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""A daughter strikes a doctor.""

There was a beating event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a striking event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""A doctor is struck by a daughter.""

There was a beating event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a beating event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The traveler rested beside the river.""

There was a beating event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The"
2,an actor protects an actress .,an actress is protected by an actor .,a mayor kills a minister .,a minister is killed by a mayor .,The notebook stayed on the shelf .,involving_event,did_to,mary_answered,"There was a protecting event involving an actor and an actress.
The one who did it was an actor.
The one it happened to was an actress.

Bridget asked, ""What happened?""
Mary answered, ""An actor protects an actress.""

There was a killing event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a protecting event involving an actor and an actress.
The one who did it was an actor.
The one it happened to was an actress.

Bridget asked, ""What happened?""
Mary answered, ""An actress is protected by an actor.""

There was a killing event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a killing event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The notebook stayed on the shelf.""

There was a killing event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""The"
3,a cop kills a cousin .,a cousin is killed by a cop .,a hero hurries a husband .,a husband is hurried by a hero .,The window rattled during the storm .,involving_event,did_to,mary_answered,"There was a killing event involving a cop and a cousin.
The one who did it was a cop.
The one it happened to was a cousin.

Bridget asked, ""What happened?""
Mary answered, ""A cop kills a cousin.""

There was a hurrying event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a killing event involving a cop and a cousin.
The one who did it was a cop.
The one it happened to was a cousin.

Bridget asked, ""What happened?""
Mary answered, ""A cousin is killed by a cop.""

There was a hurrying event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a hurrying event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The window rattled during the storm.""

There was a hurrying event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"
4,a lawyer bothers a leader .,a leader is bothered by a lawyer .,a hero judges a husband .,a husband is judged by a hero .,The singer smiled after rehearsal .,involving_event,did_to,mary_answered,"There was a bothering event involving a lawyer and a leader.
The one who did it was a lawyer.
The one it happened to was a leader.

Bridget asked, ""What happened?""
Mary answered, ""A lawyer bothers a leader.""

There was a judging event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a bothering event involving a lawyer and a leader.
The one who did it was a lawyer.
The one it happened to was a leader.

Bridget asked, ""What happened?""
Mary answered, ""A leader is bothered by a lawyer.""

There was a judging event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a judging event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The singer smiled after rehearsal.""

There was a judging event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""The"
5,a parent hurries a partner .,a partner is hurried by a parent .,a champion drags a chief .,a chief is dragged by a champion .,The painter waited near the doorway .,involving_event,did_to,mary_answered,"There was a hurrying event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""A parent hurries a partner.""

There was a dragging event involving a champion and a chief.
The one who did it was a champion.
The one it happened to was a chief.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a hurrying event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""A partner is hurried by a parent.""

There was a dragging event involving a champion and a chief.
The one who did it was a champion.
The one it happened to was a chief.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a dragging event involving a champion and a chief.
The one who did it was a champion.
The one it happened to was a chief.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The painter waited near the doorway.""

There was a dragging event involving a champion and a chief.
The one who did it was a champion.
The one it happened to was a chief.

Bridget asked, ""What happened?""
Mary answered, ""The"
6,a champion forgives a chief .,a chief is forgiven by a champion .,a parent destroys a partner .,a partner is destroyed by a parent .,The engine cooled before dawn .,involving_event,did_to,mary_answered,"There was a forgiving event involving a champion and a chief.
The one who did it was a champion.
The one it happened to was a chief.

Bridget asked, ""What happened?""
Mary answered, ""A champion forgives a chief.""

There was a destroying event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a forgiving event involving a champion and a chief.
The one who did it was a champion.
The one it happened to was a chief.

Bridget asked, ""What happened?""
Mary answered, ""A chief is forgiven by a champion.""

There was a destroying event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a destroying event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The engine cooled before dawn.""

There was a destroying event involving a parent and a partner.
The one who did it was a parent.
The one it happened to was a partner.

Bridget asked, ""What happened?""
Mary answered, ""The"
7,a cop strikes a cousin .,a cousin is struck by a cop .,a nurse discovers an opponent .,an opponent is discovered by a nurse .,The market opened after sunrise .,involving_event,did_to,mary_answered,"There was a striking event involving a cop and a cousin.
The one who did it was a cop.
The one it happened to was a cousin.

Bridget asked, ""What happened?""
Mary answered, ""A cop strikes a cousin.""

There was a discovering event involving a nurse and an opponent.
The one who did it was a nurse.
The one it happened to was an opponent.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a striking event involving a cop and a cousin.
The one who did it was a cop.
The one it happened to was a cousin.

Bridget asked, ""What happened?""
Mary answered, ""A cousin is struck by a cop.""

There was a discovering event involving a nurse and an opponent.
The one who did it was a nurse.
The one it happened to was an opponent.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a discovering event involving a nurse and an opponent.
The one who did it was a nurse.
The one it happened to was an opponent.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The market opened after sunrise.""

There was a discovering event involving a nurse and an opponent.
The one who did it was a nurse.
The one it happened to was an opponent.

Bridget asked, ""What happened?""
Mary answered, ""The"
8,a cousin asks a daughter .,a daughter is asked by a cousin .,a leader chases a man .,a man is chased by a leader .,The blanket dried on the line .,involving_event,did_to,mary_answered,"There was a asking event involving a cousin and a daughter.
The one who did it was a cousin.
The one it happened to was a daughter.

Bridget asked, ""What happened?""
Mary answered, ""A cousin asks a daughter.""

There was a chasing event involving a leader and a man.
The one who did it was a leader.
The one it happened to was a man.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a asking event involving a cousin and a daughter.
The one who did it was a cousin.
The one it happened to was a daughter.

Bridget asked, ""What happened?""
Mary answered, ""A daughter is asked by a cousin.""

There was a chasing event involving a leader and a man.
The one who did it was a leader.
The one it happened to was a man.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a chasing event involving a leader and a man.
The one who did it was a leader.
The one it happened to was a man.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The blanket dried on the line.""

There was a chasing event involving a leader and a man.
The one who did it was a leader.
The one it happened to was a man.

Bridget asked, ""What happened?""
Mary answered, ""The"
9,a singer washes a soldier .,a soldier is washed by a singer .,a president teaches a priest .,a priest is taught by a president .,The planet shimmered above the valley .,involving_event,did_to,mary_answered,"There was a washing event involving a singer and a soldier.
The one who did it was a singer.
The one it happened to was a soldier.

Bridget asked, ""What happened?""
Mary answered, ""A singer washes a soldier.""

There was a teaching event involving a president and a priest.
The one who did it was a president.
The one it happened to was a priest.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a washing event involving a singer and a soldier.
The one who did it was a singer.
The one it happened to was a soldier.

Bridget asked, ""What happened?""
Mary answered, ""A soldier is washed by a singer.""

There was a teaching event involving a president and a priest.
The one who did it was a president.
The one it happened to was a priest.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a teaching event involving a president and a priest.
The one who did it was a president.
The one it happened to was a priest.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The planet shimmered above the valley.""

There was a teaching event involving a president and a priest.
The one who did it was a president.
The one it happened to was a priest.

Bridget asked, ""What happened?""
Mary answered, ""The"
