item_index,prompt_template,prime_structure,prime_sentence,target_active,target_passive,agent_noun,patient_noun,active_verb_form,passive_verb_form,prompt,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,chosen_structure
0,word_list,active,the grivarbav skotafruded the vratorrud .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: the grivarbav skotafruded the vratorrud .
Use these words in one sentence: pilot, man, embraced
Sentence: the",-4.921269416809082,-4.528694152832031,0.3925752639770508,passive
0,word_list,passive,the vratorrud was skotafruded by the grivarbav .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: the vratorrud was skotafruded by the grivarbav .
Use these words in one sentence: pilot, man, embraced
Sentence: the",-4.984336853027344,-5.008960247039795,-0.024623394012451172,active
0,role_labeled,active,the grivarbav skotafruded the vratorrud .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: the grivarbav skotafruded the vratorrud .
Event roles: AGENT=pilot; PATIENT=man; VERB=embraced
Sentence: the",-6.286250591278076,-5.361051559448242,0.925199031829834,passive
0,role_labeled,passive,the vratorrud was skotafruded by the grivarbav .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: the vratorrud was skotafruded by the grivarbav .
Event roles: AGENT=pilot; PATIENT=man; VERB=embraced
Sentence: the",-6.2057929039001465,-5.596741676330566,0.6090512275695801,passive
1,word_list,active,a kvesorrud zranorzirs a tlumoldil .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a kvesorrud zranorzirs a tlumoldil .
Use these words in one sentence: reader, tea, destroyed
Sentence: the",-4.45504903793335,-5.7329912185668945,-1.277942180633545,active
1,word_list,passive,a tlumoldil is zranorzired by a kvesorrud .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a tlumoldil is zranorzired by a kvesorrud .
Use these words in one sentence: reader, tea, destroyed
Sentence: the",-3.7158358097076416,-5.037793159484863,-1.3219573497772217,active
1,role_labeled,active,a kvesorrud zranorzirs a tlumoldil .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a kvesorrud zranorzirs a tlumoldil .
Event roles: AGENT=reader; PATIENT=tea; VERB=destroyed
Sentence: the",-7.127528190612793,-5.83139181137085,1.2961363792419434,passive
1,role_labeled,passive,a tlumoldil is zranorzired by a kvesorrud .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a tlumoldil is zranorzired by a kvesorrud .
Event roles: AGENT=reader; PATIENT=tea; VERB=destroyed
Sentence: the",-6.263569355010986,-4.842461585998535,1.4211077690124512,passive
2,word_list,active,the smekudlom smevarbaved the tlumoldil .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the smekudlom smevarbaved the tlumoldil .
Use these words in one sentence: employer, anchor, broke/broken
Sentence: the",-6.111085891723633,-6.8906354904174805,-0.7795495986938477,active
2,word_list,passive,the tlumoldil was smevarbaved by the smekudlom .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the tlumoldil was smevarbaved by the smekudlom .
Use these words in one sentence: employer, anchor, broke/broken
Sentence: the",-5.531373500823975,-5.632938861846924,-0.10156536102294922,active
2,role_labeled,active,the smekudlom smevarbaved the tlumoldil .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the smekudlom smevarbaved the tlumoldil .
Event roles: AGENT=employer; PATIENT=anchor; VERB=broke/broken
Sentence: the",-8.11577320098877,-9.387197494506836,-1.2714242935180664,active
2,role_labeled,passive,the tlumoldil was smevarbaved by the smekudlom .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the tlumoldil was smevarbaved by the smekudlom .
Event roles: AGENT=employer; PATIENT=anchor; VERB=broke/broken
Sentence: the",-6.910604476928711,-8.44713020324707,-1.5365257263183594,active
3,word_list,active,the skozemdil klonorruded the vravaknef .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the skozemdil klonorruded the vravaknef .
Use these words in one sentence: scientist, chicken, collected
Sentence: the",-4.199191093444824,-6.2717180252075195,-2.0725269317626953,active
3,word_list,passive,the vravaknef was klonorruded by the skozemdil .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the vravaknef was klonorruded by the skozemdil .
Use these words in one sentence: scientist, chicken, collected
Sentence: the",-4.04379940032959,-6.449244499206543,-2.405445098876953,active
3,role_labeled,active,the skozemdil klonorruded the vravaknef .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the skozemdil klonorruded the vravaknef .
Event roles: AGENT=scientist; PATIENT=chicken; VERB=collected
Sentence: the",-5.528645992279053,-6.18270206451416,-0.6540560722351074,active
3,role_labeled,passive,the vravaknef was klonorruded by the skozemdil .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the vravaknef was klonorruded by the skozemdil .
Event roles: AGENT=scientist; PATIENT=chicken; VERB=collected
Sentence: the",-5.254810810089111,-5.682975769042969,-0.4281649589538574,active
4,word_list,active,a vravaknef vregafvoled a vrasilvol .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a vravaknef vregafvoled a vrasilvol .
Use these words in one sentence: army, candy, kept
Sentence: the",-2.210367202758789,-6.71921968460083,-4.508852481842041,active
