prompt_template,prime_condition,generation_class,n_items,total_items,share
demo__involving_event__did_to__mary_answered,active,agent_start_other,2,4,0.5
demo__involving_event__did_to__mary_answered,active,other,1,4,0.25
demo__involving_event__did_to__mary_answered,active,patient_start_other,1,4,0.25
demo__involving_event__did_to__mary_answered,filler,other,3,4,0.75
demo__involving_event__did_to__mary_answered,filler,patient_start_other,1,4,0.25
demo__involving_event__did_to__mary_answered,no_demo,agent_start_other,3,4,0.75
demo__involving_event__did_to__mary_answered,no_demo,patient_start_other,1,4,0.25
demo__involving_event__did_to__mary_answered,passive,agent_start_other,2,4,0.5
demo__involving_event__did_to__mary_answered,passive,patient_start_other,2,4,0.5
demo__involving_event__did_to__said_mary,active,agent_start_other,3,4,0.75
demo__involving_event__did_to__said_mary,active,patient_start_other,1,4,0.25
demo__involving_event__did_to__said_mary,filler,other,3,4,0.75
demo__involving_event__did_to__said_mary,filler,patient_start_other,1,4,0.25
demo__involving_event__did_to__said_mary,no_demo,agent_start_other,4,4,1.0
demo__involving_event__did_to__said_mary,passive,agent_start_other,2,4,0.5
demo__involving_event__did_to__said_mary,passive,patient_start_other,2,4,0.5
demo__involving_event__responsible_affected__mary_answered,active,agent_start_other,2,4,0.5
demo__involving_event__responsible_affected__mary_answered,active,other,1,4,0.25
demo__involving_event__responsible_affected__mary_answered,active,patient_start_other,1,4,0.25
demo__involving_event__responsible_affected__mary_answered,filler,other,3,4,0.75
demo__involving_event__responsible_affected__mary_answered,filler,patient_start_other,1,4,0.25
demo__involving_event__responsible_affected__mary_answered,no_demo,agent_start_other,3,4,0.75
demo__involving_event__responsible_affected__mary_answered,no_demo,patient_start_other,1,4,0.25
demo__involving_event__responsible_affected__mary_answered,passive,agent_start_other,2,4,0.5
demo__involving_event__responsible_affected__mary_answered,passive,other,1,4,0.25
demo__involving_event__responsible_affected__mary_answered,passive,patient_start_other,1,4,0.25
demo__involving_event__responsible_affected__said_mary,active,agent_start_other,2,4,0.5
demo__involving_event__responsible_affected__said_mary,active,other,1,4,0.25
demo__involving_event__responsible_affected__said_mary,active,patient_start_other,1,4,0.25
demo__involving_event__responsible_affected__said_mary,filler,other,3,4,0.75
demo__involving_event__responsible_affected__said_mary,filler,patient_start_other,1,4,0.25
demo__involving_event__responsible_affected__said_mary,no_demo,agent_start_other,4,4,1.0
demo__involving_event__responsible_affected__said_mary,passive,agent_start_other,2,4,0.5
demo__involving_event__responsible_affected__said_mary,passive,other,1,4,0.25
demo__involving_event__responsible_affected__said_mary,passive,patient_start_other,1,4,0.25
demo__there_was_event__did_to__mary_answered,active,agent_start_other,1,4,0.25
demo__there_was_event__did_to__mary_answered,active,other,3,4,0.75
demo__there_was_event__did_to__mary_answered,filler,other,4,4,1.0
demo__there_was_event__did_to__mary_answered,no_demo,agent_start_other,3,4,0.75
demo__there_was_event__did_to__mary_answered,no_demo,other,1,4,0.25
demo__there_was_event__did_to__mary_answered,passive,agent_start_other,2,4,0.5
demo__there_was_event__did_to__mary_answered,passive,other,1,4,0.25
demo__there_was_event__did_to__mary_answered,passive,patient_start_other,1,4,0.25
demo__there_was_event__did_to__said_mary,active,agent_start_other,1,4,0.25
demo__there_was_event__did_to__said_mary,active,other,3,4,0.75
demo__there_was_event__did_to__said_mary,filler,other,4,4,1.0
demo__there_was_event__did_to__said_mary,no_demo,agent_start_other,3,4,0.75
demo__there_was_event__did_to__said_mary,no_demo,other,1,4,0.25
demo__there_was_event__did_to__said_mary,passive,agent_start_other,2,4,0.5
demo__there_was_event__did_to__said_mary,passive,other,1,4,0.25
demo__there_was_event__did_to__said_mary,passive,patient_start_other,1,4,0.25
demo__there_was_event__responsible_affected__mary_answered,active,other,4,4,1.0
demo__there_was_event__responsible_affected__mary_answered,filler,other,4,4,1.0
demo__there_was_event__responsible_affected__mary_answered,no_demo,agent_start_other,3,4,0.75
demo__there_was_event__responsible_affected__mary_answered,no_demo,other,1,4,0.25
demo__there_was_event__responsible_affected__mary_answered,passive,other,3,4,0.75
demo__there_was_event__responsible_affected__mary_answered,passive,patient_start_other,1,4,0.25
demo__there_was_event__responsible_affected__said_mary,active,other,4,4,1.0
demo__there_was_event__responsible_affected__said_mary,filler,other,4,4,1.0
demo__there_was_event__responsible_affected__said_mary,no_demo,agent_start_other,4,4,1.0
demo__there_was_event__responsible_affected__said_mary,passive,other,4,4,1.0
