condition,target_structure,token_index,n_items,mean_token_pe,sd_token_pe,mean_congruent_log_prob,mean_incongruent_log_prob,post_divergence_rate,structure_region_rate
ANOMALOUS,active,0,15000,-0.39493105363845826,0.6824151805954151,-8.041104893684388,-7.646173840045929,0.11066666666666666,0.0
ANOMALOUS,active,1,15000,-0.13622463998794557,0.6120117048454262,-8.940293612337113,-8.804068972349167,1.0,0.0
ANOMALOUS,active,2,15000,0.11334124646981557,0.6555653867716724,-10.6097355915308,-10.723076838000615,1.0,1.0
ANOMALOUS,active,3,15000,-0.02559173538386821,0.35735725458824147,-2.3956596268436563,-2.370067891459788,1.0,1.0
ANOMALOUS,active,4,15000,0.006440194786091646,0.473073633406528,-7.903846386558314,-7.910286581344406,1.0,1.0
ANOMALOUS,active,5,15000,0.078535934005181,0.5462714153933598,-4.339835656961799,-4.41837159096698,1.0,1.0
ANOMALOUS,active,6,1390,0.2164284348487854,0.4951660029208156,-3.808910022708152,-4.025338457556937,1.0,1.0
ANOMALOUS,passive,0,15000,0.39555558058420814,0.68212196975739,-7.65669422343572,-8.052249804019928,0.11066666666666666,0.0
ANOMALOUS,passive,1,15000,0.11830565713246663,0.6009022326188754,-9.066464273707071,-9.184769930839538,1.0,0.0
ANOMALOUS,passive,2,15000,0.15973442508379618,0.5231668325263378,-4.346068969011307,-4.5058033940951026,1.0,1.0
ANOMALOUS,passive,3,15000,0.29208656464417776,0.5925502116292742,-8.38026871810754,-8.672355282751719,1.0,1.0
ANOMALOUS,passive,4,15000,0.3840393379924819,0.3746525127523791,-1.9887237018415083,-2.3727630398339903,1.0,1.0
ANOMALOUS,passive,5,15000,-0.012026283099253972,0.23522880141133765,-1.7651469562510649,-1.753120673151811,1.0,1.0
ANOMALOUS,passive,6,15000,0.00857470962603887,0.4813050265557001,-8.054588027163346,-8.063162736789385,1.0,1.0
ANOMALOUS,passive,7,15000,0.20280582899252575,0.488430826819607,-3.25988774480025,-3.4626935737927753,1.0,1.0
ANOMALOUS,passive,8,330,0.2621826110464154,0.5978315286149436,-3.2240867668932136,-3.486269377939629,1.0,1.0
CORE,active,0,15000,-0.26020719194412234,0.5677815584632558,-8.396189588960011,-8.135982397015889,0.13533333333333333,0.0
CORE,active,1,15000,-0.022663150183359782,0.6070667827100003,-8.554383524767557,-8.531720374584198,1.0,0.0
CORE,active,2,15000,0.13759929989973704,0.6749297000461062,-10.858729306840896,-10.996328606740633,1.0,1.0
CORE,active,3,15000,0.02031815306072434,0.38609615506385764,-2.4032236497932424,-2.4235418028539666,1.0,1.0
CORE,active,4,15000,0.07488502275943756,0.48148003661923305,-7.928780445321401,-8.003665468080838,1.0,1.0
CORE,active,5,15000,0.2225413301706314,0.5175710669580124,-4.192324515954653,-4.414865846125285,1.0,1.0
CORE,active,6,1330,0.20590640880111466,0.4400006349300541,-3.7939089131534547,-3.9998153219545696,1.0,1.0
CORE,passive,0,15000,0.2592123693466187,0.5678387516807979,-8.119749384880066,-8.378961754226685,0.13533333333333333,0.0
CORE,passive,1,15000,-0.004444534428914388,0.5769525705339463,-9.222505499108632,-9.218060964679719,1.0,0.0
CORE,passive,2,15000,0.1757483731031418,0.5164937159624164,-4.317017687002818,-4.49276606010596,1.0,1.0
CORE,passive,3,15000,0.2500887640317281,0.5926692438335938,-8.458663374328614,-8.70875213836034,1.0,1.0
CORE,passive,4,15000,0.3689924590800889,0.36433433085204764,-1.9656383039869059,-2.3346307630669947,1.0,1.0
CORE,passive,5,15000,-0.03948973846038182,0.2320873899918291,-1.824610985866189,-1.7851212474058071,1.0,1.0
CORE,passive,6,15000,0.021777519651254018,0.5016479425436741,-7.984510749085744,-8.006288268736999,1.0,1.0
CORE,passive,7,15000,0.36099496888717014,0.4471577873048338,-3.0319137773394584,-3.3929087462266287,1.0,1.0
CORE,passive,8,250,0.33592849349975584,0.5631430748163992,-3.1306037669181825,-3.4665322604179383,1.0,1.0
jabberwocky,active,0,15000,-0.8599499413808187,0.7892717877446116,-6.692528136221568,-5.832578194840749,0.0,0.0
