prompt_template,item_index,logp_active_target_given_active_prime,logp_active_target_given_passive_prime,logp_passive_target_given_active_prime,logp_passive_target_given_passive_prime,pe_active_target_logprob_same_minus_other,pe_passive_target_logprob_same_minus_other,pe_logprob_imbalance_passive_minus_active,logp_sum_active_target_given_active_prime,logp_sum_active_target_given_passive_prime,logp_sum_passive_target_given_active_prime,logp_sum_passive_target_given_passive_prime,pe_active_target_logprob_sum_same_minus_other,pe_passive_target_logprob_sum_same_minus_other,pe_logprob_sum_imbalance_passive_minus_active
processing_teacher_forced,0,-5.555989583333333,-5.435546875,-4.49658203125,-4.2314453125,-0.12044270833333304,0.26513671875,0.38557942708333304,-33.3359375,-32.61328125,-35.97265625,-33.8515625,-0.72265625,2.12109375,2.84375
processing_teacher_forced,1,-7.535319010416667,-7.37939453125,-6.16015625,-5.9619140625,-0.15592447916666696,0.1982421875,0.35416666666666696,-45.2119140625,-44.2763671875,-49.28125,-47.6953125,-0.935546875,1.5859375,2.521484375
processing_teacher_forced,2,-7.2119140625,-7.142578125,-5.760986328125,-5.443603515625,-0.0693359375,0.3173828125,0.38671875,-43.271484375,-42.85546875,-46.087890625,-43.548828125,-0.416015625,2.5390625,2.955078125
processing_teacher_forced,3,-7.384440104166667,-7.447265625,-6.01904296875,-5.961181640625,0.06282552083333304,0.057861328125,-0.004964192708333037,-44.306640625,-44.68359375,-48.15234375,-47.689453125,0.376953125,0.462890625,0.0859375
processing_teacher_forced,4,-6.054036458333333,-5.834147135416667,-4.8974609375,-4.5880126953125,-0.21988932291666607,0.3094482421875,0.5293375651041661,-36.32421875,-35.0048828125,-39.1796875,-36.7041015625,-1.3193359375,2.4755859375,3.794921875
processing_teacher_forced,5,-6.889485677083333,-6.588541666666667,-5.90545654296875,-5.468994140625,-0.3009440104166661,0.43646240234375,0.7374064127604161,-41.3369140625,-39.53125,-47.24365234375,-43.751953125,-1.8056640625,3.49169921875,5.29736328125
processing_teacher_forced,6,-6.108072916666667,-6.5,-5.2357177734375,-5.3946533203125,0.39192708333333304,-0.158935546875,-0.550862630208333,-36.6484375,-39.0,-41.8857421875,-43.1572265625,2.3515625,-1.271484375,-3.623046875
processing_teacher_forced,7,-5.5146484375,-5.900716145833333,-4.404541015625,-4.497314453125,0.38606770833333304,-0.0927734375,-0.47884114583333304,-33.087890625,-35.404296875,-35.236328125,-35.978515625,2.31640625,-0.7421875,-3.05859375
processing_teacher_forced,8,-7.032877604166667,-6.9560546875,-6.09759521484375,-5.6923828125,-0.07682291666666696,0.40521240234375,0.48203531901041696,-42.197265625,-41.736328125,-48.78076171875,-45.5390625,-0.4609375,3.24169921875,3.70263671875
processing_teacher_forced,9,-7.221354166666667,-7.5546875,-5.7412109375,-5.8236083984375,0.33333333333333304,-0.0823974609375,-0.41573079427083304,-43.328125,-45.328125,-45.9296875,-46.5888671875,2.0,-0.6591796875,-2.6591796875
processing_teacher_forced,10,-7.148763020833333,-7.558919270833333,-5.9530029296875,-5.9283447265625,0.41015625,0.024658203125,-0.385498046875,-42.892578125,-45.353515625,-47.6240234375,-47.4267578125,2.4609375,0.197265625,-2.263671875
processing_teacher_forced,11,-7.179361979166667,-7.331705729166667,-5.8466796875,-5.4483642578125,0.15234375,0.3983154296875,0.2459716796875,-43.076171875,-43.990234375,-46.7734375,-43.5869140625,0.9140625,3.1865234375,2.2724609375
processing_teacher_forced,12,-6.685709635416667,-6.633463541666667,-5.665283203125,-5.2254638671875,-0.05224609375,0.4398193359375,0.4920654296875,-40.1142578125,-39.80078125,-45.322265625,-41.8037109375,-0.3134765625,3.5185546875,3.83203125
processing_teacher_forced,13,-6.001790364583333,-6.005533854166667,-5.017578125,-4.77490234375,0.0037434895833339255,0.24267578125,0.23893229166666607,-36.0107421875,-36.033203125,-40.140625,-38.19921875,0.0224609375,1.94140625,1.9189453125
processing_teacher_forced,14,-6.134172712053571,-5.903913225446429,-5.827582465277778,-4.94921875,-0.23025948660714235,0.8783637152777777,1.10862320188492,-42.939208984375,-41.327392578125,-52.4482421875,-44.54296875,-1.61181640625,7.9052734375,9.51708984375
processing_teacher_forced,15,-6.586635044642857,-6.482700892857143,-4.931304931640625,-4.576253255208333,-0.10393415178571352,0.35505167643229196,0.4589858282180055,-46.1064453125,-45.37890625,-44.381744384765625,-41.186279296875,-0.7275390625,3.195465087890625,3.923004150390625
processing_teacher_forced,16,-6.914876302083333,-7.357747395833333,-5.5592041015625,-5.721435546875,0.44287109375,-0.1622314453125,-0.6051025390625,-41.4892578125,-44.146484375,-44.4736328125,-45.771484375,2.6572265625,-1.2978515625,-3.955078125
processing_teacher_forced,17,-6.243815104166667,-6.296223958333333,-5.387939453125,-5.1119384765625,0.052408854166666075,0.2760009765625,0.22359212239583393,-37.462890625,-37.77734375,-43.103515625,-40.8955078125,0.314453125,2.2080078125,1.8935546875
processing_teacher_forced,18,-6.488606770833333,-6.599934895833333,-5.66619873046875,-5.62841796875,0.111328125,0.03778076171875,-0.07354736328125,-38.931640625,-39.599609375,-45.32958984375,-45.02734375,0.66796875,0.30224609375,-0.36572265625
processing_teacher_forced,19,-6.1015625,-6.383463541666667,-5.3289794921875,-5.2510986328125,0.28190104166666696,0.077880859375,-0.20402018229166696,-36.609375,-38.30078125,-42.6318359375,-42.0087890625,1.69140625,0.623046875,-1.068359375
processing_teacher_forced,20,-6.4375,-6.183919270833333,-5.279541015625,-5.128662109375,-0.25358072916666696,0.15087890625,0.40445963541666696,-38.625,-37.103515625,-42.236328125,-41.029296875,-1.521484375,1.20703125,2.728515625
processing_teacher_forced,21,-6.493815104166667,-6.233072916666667,-5.3360595703125,-4.88641357421875,-0.2607421875,0.44964599609375,0.71038818359375,-38.962890625,-37.3984375,-42.6884765625,-39.09130859375,-1.564453125,3.59716796875,5.16162109375
