item_index,prime_structure,sample_index,prime_sentence,target_active,target_passive,agent_noun,patient_noun,active_verb_form,passive_verb_form,prompt,raw_continuation,first_generated_word,choice_structure,generated_sentence,generated_structure
0,active,0,a singer punches a reader .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a singer punches a reader .
Use these words in one sentence: pilot, man, embraced
Sentence: the", first time I saw an urn; the second time I saw an urn; the third time I saw an ,first,other,the first time I saw an urn; the second time I saw an urn; the third time I saw an,other
0,active,1,a singer punches a reader .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a singer punches a reader .
Use these words in one sentence: pilot, man, embraced
Sentence: the"," pilot jumps to a man and embraces him .
Use these words in one sentence: man, I, a , in",pilot,active,the pilot jumps to a man and embraces him .,other
0,active,2,a singer punches a reader .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a singer punches a reader .
Use these words in one sentence: pilot, man, embraced
Sentence: the"," moon was a little blue
Use these words in one sentence: moon, a moon, a moon
Sentence:",moon,other,"the moon was a little blue Use these words in one sentence: moon, a moon, a moon Sentence:",other
0,passive,0,a reader is punched by a singer .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a reader is punched by a singer .
Use these words in one sentence: pilot, man, embraced
Sentence: the"," world is changing: that day in the life of the writer / editor.
The word ""is"" is used in",world,other,the world is changing: that day in the life of the writer / editor.,other
0,passive,1,a reader is punched by a singer .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a reader is punched by a singer .
Use these words in one sentence: pilot, man, embraced
Sentence: the"," mother of one of my daughters was the daughter of a pilot .
Use these words in one sentence: pilot, pilot",mother,other,the mother of one of my daughters was the daughter of a pilot .,other
0,passive,2,a reader is punched by a singer .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a reader is punched by a singer .
Use these words in one sentence: pilot, man, embraced
Sentence: the"," pilot punches the singer .
Use these words in two sentences: the pilot embraced the singer .
Sentence: the",pilot,active,the pilot punches the singer .,other
1,active,0,a partner leads a business .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a partner leads a business .
Use these words in one sentence: reader, tea, destroyed
Sentence: the"," tea is destroyed .
Use these words in two sentences: destroyed tea, and reader, destroyed tea .
Sentence",tea,passive,the tea is destroyed .,other
1,active,1,a partner leads a business .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a partner leads a business .
Use these words in one sentence: reader, tea, destroyed
Sentence: the"," tea was destroyed.
Use these words in one sentence: the partner leads the tea company.
Sentence: I",tea,passive,the tea was destroyed.,other
1,active,2,a partner leads a business .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a partner leads a business .
Use these words in one sentence: reader, tea, destroyed
Sentence: the"," tea is ruined.
Use these words in two sentences: destroyed and tea.
Sentence: The tea is ruined",tea,passive,the tea is ruined.,other
1,passive,0,a business is led by a partner .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a business is led by a partner .
Use these words in one sentence: reader, tea, destroyed
Sentence: the"," office is not ready
Use these words in two sentences: I don't know, I can't, I'll wait",office,other,"the office is not ready Use these words in two sentences: I don't know, I can't, I'll wait",other
