model_name,model_condition,prompt_format_used,task,prime_condition,lexicality_condition,candidate_label,token_position,token_logprob_mean,token_logprob_std,n_tokens
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,active_completion,0,-0.8504652082920074,0.757028720718242,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,active_completion,1,-0.22377660870552063,0.2525560004003885,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,active_completion,2,-7.759294509887695,1.73904494161081,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,active_completion,3,-0.8145028054714203,1.1070444034676483,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,active_completion,4,-0.010700146667659283,0.010722994542905435,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,active_completion,5,-3.944612503051758,0.2366634524371342,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_completion,0,-0.8504652082920074,0.757028720718242,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_completion,1,-2.8706588745117188,1.8343781510949728,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_completion,2,-3.56746768951416,2.191384080428425,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_completion,3,-6.664838790893555,3.67746428702427,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_completion,4,-0.23598691821098328,0.1897167139710776,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_completion,5,-0.029721083119511604,0.016593391754897015,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_completion,6,-0.014029251411557198,0.011553622299778153,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,passive_completion,7,-3.7722949981689453,0.22794236562998457,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,active_completion,0,-1.3316803574562073,1.0801119854470584,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,active_completion,1,-0.33573915902525187,0.36713558519580564,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,active_completion,2,-4.59907880256651,3.178233269613342,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,active_completion,3,-0.5402053510770202,1.3440863382831845,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,active_completion,4,-0.0468173970002681,0.2176369802210619,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,active_completion,5,-3.48771493480308,1.5086570199172833,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,active_completion,6,-4.096541007359822,0.7408722352983517,312
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,active_completion,7,-4.299560546875,0.4249958679254797,8
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_completion,0,-1.428554356098175,1.2629941130023037,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_completion,1,-2.0451972149312496,1.3975475077566373,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_completion,2,-3.8118706615641713,2.053379753356778,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_completion,3,-1.9622405171394348,1.887393432874661,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_completion,4,-0.2336935242637992,0.34159590680138746,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_completion,5,-0.1394364181905985,0.14057533080674617,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_completion,6,-0.019291730830445886,0.03763595293021317,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_completion,7,-3.6410210507456213,0.9815601157591671,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_completion,8,-3.9548991161679465,0.5972611832045847,126
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,passive_completion,9,-4.501953125,0.14086892906450751,2
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,active_completion,0,-1.3876637518405914,1.2272320165376325,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,active_completion,1,-1.313500463962555,0.7007377678097485,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,active_completion,2,-6.6746110916137695,1.5101793210242722,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,active_completion,3,-1.4024013578891754,0.8850785902191434,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,active_completion,4,-0.20913690514862537,0.25722647483585304,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,active_completion,5,-3.8703765869140625,0.26723471668359267,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,passive_completion,0,-1.3876637518405914,1.2272320165376325,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,passive_completion,1,-1.965883731842041,0.9905105052164841,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,passive_completion,2,-2.9568965435028076,1.7665977519883902,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,passive_completion,3,-8.760149002075195,1.1159130501904873,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,passive_completion,4,-0.7366507351398468,0.44711218642312495,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,passive_completion,5,-0.041528647765517235,0.024139625189514465,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,passive_completion,6,-0.12738408148288727,0.17700561010006452,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,passive_completion,7,-3.731433868408203,0.25702685486234067,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,active_completion,0,-1.3666809499263763,1.0460535544612148,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,active_completion,1,-1.4264172837138176,1.0808715686772636,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,active_completion,2,-4.920561323640868,3.6424758879992987,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,active_completion,3,-0.6877679720055312,1.2588589559028764,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,active_completion,4,-0.19268041290342808,0.3959299420630651,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,active_completion,5,-3.2611416212748736,1.3964827507350634,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,active_completion,6,-3.7784493259894543,0.6713332425908745,312
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,active_completion,7,-3.8447265625,0.3027676752998464,8
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,passive_completion,0,-1.404883712530136,1.1139040024659992,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,passive_completion,1,-2.0100682973861694,0.9913163759044216,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,passive_completion,2,-3.2256931419251487,1.8550287797454532,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,passive_completion,3,-4.4543046951293945,2.740777702519383,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,passive_completion,4,-0.8358434562105685,0.8089047852260685,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,passive_completion,5,-0.1609577015042305,0.18683206039390557,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,passive_completion,6,-0.07329795975238085,0.1324779623646471,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,passive_completion,7,-3.365424864226952,0.8805251862049417,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,passive_completion,8,-3.633063278500996,0.5043731415440229,126
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,passive_completion,9,-3.8681640625,0.11186650249240303,2
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,active_completion,0,-1.3656189441680908,0.41252424240637336,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,active_completion,1,-0.417995810508728,0.22367138599012298,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,active_completion,2,-11.3001708984375,2.324018649365485,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,active_completion,3,-2.0319111943244934,2.046100967624364,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,active_completion,4,-0.41824393160641193,0.6333360380799918,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,active_completion,5,-3.5683059692382812,0.3400181277639432,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,passive_completion,0,-1.3656189441680908,0.41252424240637336,2048
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,passive_completion,1,-2.280626058578491,1.092692282629853,2048
