s_PE_DO,s_PE_PO,w_PE_DO,w_PE_PO
1.9375,0.0,1.14453125,0.28125
0.75,2.1875,1.30859375,0.6953125
1.4375,0.4375,0.28515625,0.48828125
1.4375,-0.375,0.337890625,0.12109375
-1.3125,1.3125,0.515625,0.486328125
3.0,-2.125,0.56640625,0.66015625
0.75,-0.3125,0.74609375,0.3046875
3.6875,-1.9375,0.89453125,0.46875
3.125,-1.0,0.62890625,0.39453125
1.6875,1.75,0.875,0.84765625
-0.125,1.8125,0.5703125,0.6484375
3.5,-2.25,0.7421875,0.46875
-0.6875,1.1875,0.37890625,0.5390625
1.375,-0.9375,0.13671875,0.484375
1.625,-0.375,1.376953125,0.1953125
3.125,-1.375,0.45703125,0.392578125
3.3125,-1.9375,0.3671875,0.517578125
1.4375,0.375,0.4765625,0.40625
3.125,-0.5,2.57421875,0.580078125
3.75,-1.9375,1.310546875,0.41015625
1.8125,-0.375,0.697265625,0.767578125
5.0625,-2.625,1.380859375,1.083984375
2.5625,-1.6875,0.46484375,0.609375
3.375,-0.25,0.669921875,1.00390625
3.4375,-0.5625,1.09765625,0.3671875
2.1875,-0.25,0.984375,0.4921875
1.3125,0.25,0.74609375,0.19921875
0.375,-0.5,0.759765625,0.5859375
0.3125,0.8125,-0.05859375,0.0859375
0.0,2.6875,0.44140625,0.41796875
0.6875,0.3125,0.927734375,0.361328125
1.3125,-0.4375,0.90234375,0.33203125
2.8125,-2.125,1.103515625,0.3125
-0.375,0.8125,0.708984375,0.34765625
1.375,-1.4375,0.43359375,0.265625
1.1875,-0.875,0.66015625,0.16015625
1.0625,0.625,1.037109375,0.33984375
0.875,0.4375,1.173828125,0.69921875
0.25,1.375,0.5078125,0.759765625
1.375,1.125,0.8203125,0.5859375
0.625,0.0625,0.9609375,0.25
-0.3125,0.5,0.64453125,0.59375
3.125,-1.25,1.068359375,0.3046875
2.3125,-0.4375,1.09375,0.888671875
1.6875,-0.5,0.8515625,0.12890625
3.0,-1.6875,1.15625,0.21875
1.5,1.125,1.107421875,0.55078125
0.3125,1.125,0.873046875,0.2578125
0.0625,2.0625,-0.1015625,0.380859375
4.8125,-2.25,1.58984375,0.765625
1.4375,-1.375,0.078125,0.412109375
0.6875,0.4375,0.18359375,0.6171875
3.75,-1.0,1.431640625,0.5625
0.5625,0.1875,0.513671875,0.33203125
0.5,0.25,0.40234375,0.359375
2.0,0.25,1.26953125,0.8671875
1.1875,-1.25,0.38671875,0.0859375
5.1875,-1.6875,1.4609375,1.32421875
4.28125,-2.75,1.064453125,0.3984375
-0.125,1.0,0.3203125,0.44921875
1.75,-2.4375,0.10546875,0.51953125
1.1875,-3.1875,0.12890625,0.5
-2.0,1.9375,0.15625,0.33203125
0.25,-0.5,1.232421875,0.234375
2.375,-1.125,0.88671875,0.3828125
2.5625,-0.875,0.55078125,1.1484375
2.5,0.625,1.5,0.998046875
1.0,2.75,0.27734375,0.359375
1.375,1.8125,0.5,0.232421875
4.5625,-1.8125,1.23046875,0.380859375
-0.0625,1.1875,0.671875,0.625
3.4375,-3.6875,0.3203125,-0.28515625
1.5,0.0,0.234375,0.48046875
1.5,0.75,0.98046875,0.57421875
2.875,0.0,0.943359375,0.6875
1.375,0.4375,1.001953125,0.140625
0.1875,1.25,1.302734375,0.25390625
-0.6875,2.625,0.53515625,0.22265625
2.25,-1.4375,0.4140625,0.41796875
0.5625,0.4375,0.38671875,0.9296875
2.25,-0.8125,0.35546875,0.4609375
4.3125,-3.9375,0.4453125,0.21484375
-1.25,2.375,0.41015625,0.1796875
2.625,-0.9375,0.333984375,0.75390625
0.1875,2.25,1.220703125,1.10546875
4.3125,-3.8125,1.1328125,0.373046875
2.625,-1.5625,0.18359375,0.4375
0.75,0.75,0.484375,0.921875
1.125,1.125,0.6796875,0.59375
5.125,-1.8125,1.02734375,0.26171875
1.1875,0.4375,0.2734375,0.390625
3.4375,-3.3125,0.51953125,0.21875
0.875,1.625,0.28515625,0.4375
1.3125,0.1875,0.71484375,0.48828125
0.875,1.125,0.384765625,0.369140625
3.6875,-1.5,1.04296875,0.61328125
3.375,-2.3125,0.42578125,0.25390625
1.25,-0.375,0.39453125,0.79296875
2.1875,1.25,1.296875,0.83984375
0.8125,4.625,0.328125,0.57421875
4.4375,-2.9375,0.58984375,0.6171875
4.5,-0.1875,1.314453125,0.12109375
-0.75,2.0,0.546875,0.359375
1.9375,-0.1875,0.884765625,0.6015625
6.0,-4.25,1.115234375,0.34765625
2.4375,-2.5,0.140625,0.3203125
-0.25,0.0,-0.05078125,0.33203125
1.625,-0.625,0.4375,0.33984375
0.3125,2.0625,0.98828125,0.23046875
-0.4375,0.875,0.2578125,0.1796875
2.9375,-1.25,1.357421875,-0.171875
-0.4375,2.5,0.705078125,0.37109375
0.5,-0.0625,0.458984375,0.71875
1.75,-1.625,0.740234375,0.62890625
2.5625,0.0625,0.755859375,1.08984375
0.625,1.6875,0.931640625,0.533203125
-0.3125,0.6875,0.9609375,0.419921875
1.625,-1.5,0.5078125,0.2890625
0.3125,0.6875,-0.00390625,1.078125
0.5625,0.25,0.4140625,0.2421875
3.0625,0.875,0.9375,0.43359375
4.0625,-2.3125,1.0703125,0.4453125
1.25,0.0625,0.37109375,0.7421875
3.125,-1.625,0.77734375,0.640625
0.9375,0.625,0.4609375,0.29296875
0.75,0.8125,0.974609375,0.85546875
0.4375,0.25,0.443359375,-0.07421875
0.3125,1.25,0.39453125,0.125
0.3125,1.375,0.599609375,0.4375
0.0625,1.0625,0.26171875,0.6328125
2.6875,0.5625,1.392578125,0.0390625
1.1875,0.3125,0.974609375,0.3515625
2.6875,-1.625,0.26953125,0.60546875
0.4375,1.5625,0.57421875,0.6015625
0.9375,-0.625,0.8125,1.37890625
3.53125,-1.5,1.458984375,0.11328125
1.3125,-2.375,0.49609375,0.48828125
0.375,0.5,0.07421875,0.296875
4.125,-2.875,1.08984375,0.84375
1.0,-0.4375,0.46875,-0.04296875
0.0625,0.5625,-0.5234375,0.43359375
3.75,-2.75,0.537109375,0.560546875
1.8125,-0.5,1.28515625,0.4375
0.5625,-1.0,0.125,0.27734375
0.75,-0.125,0.3984375,0.55078125
5.0625,-2.9375,1.08203125,0.541015625
-1.25,1.1875,0.30078125,0.5546875
-0.375,2.0625,0.8125,0.9609375
2.5625,0.5625,0.978515625,0.33984375
0.5,1.3125,0.478515625,0.24609375
0.5625,1.0625,0.4375,0.212890625
5.125,-0.375,1.0546875,0.7734375
-0.6875,2.25,0.74609375,1.29296875
1.375,-0.8125,0.69140625,0.68359375
1.0625,0.0625,0.33984375,0.20703125
0.5625,1.4375,0.7578125,0.9140625
1.3125,-0.1875,0.759765625,0.240234375
2.0625,-1.4375,0.83984375,-0.390625
3.375,-3.5,0.421875,0.8671875
2.4375,-1.25,0.376953125,0.37109375
1.0,0.125,0.47265625,0.3515625
2.1875,0.3125,1.4453125,0.55078125
-0.9375,1.8125,-0.12109375,0.404296875
1.4375,0.75,0.759765625,1.17578125
1.25,0.3125,1.162109375,0.78125
1.0625,1.0,1.166015625,0.3046875
8.25,-3.375,1.615234375,-0.37890625
2.5,-0.375,0.35546875,0.6015625
2.125,0.0,0.919921875,0.875
0.6875,0.5625,0.359375,0.52734375
2.4375,0.0,0.71484375,0.626953125
1.25,1.6875,0.30859375,0.7265625
2.5,-1.3125,0.48046875,0.23828125
3.0,0.4375,0.46484375,0.62890625
1.6875,1.25,1.09765625,0.98046875
1.625,-0.8125,1.529296875,0.3828125
0.625,1.0625,0.658203125,0.60546875
1.0,-0.0625,0.36328125,0.22265625
3.8125,-2.9375,0.984375,0.521484375
2.9375,-4.1875,-0.0390625,0.14453125
2.5,-1.1875,0.619140625,0.541015625
3.3125,-2.75,0.51953125,0.44921875
1.5,1.0,1.1796875,1.05859375
-0.1875,0.5625,0.19140625,0.37890625
0.625,-0.1875,0.4375,0.140625
1.0625,-0.3125,0.763671875,0.3203125
3.3125,-1.0,1.091796875,-0.40234375
3.8125,-0.8125,1.16796875,0.4296875
2.5625,0.5625,0.94921875,0.546875
-0.3125,-0.625,0.61328125,0.24609375
2.8125,-2.0,1.21875,0.0703125
1.375,-0.25,0.201171875,0.140625
3.5,-0.875,1.060546875,0.54296875
1.25,1.1875,0.94921875,0.3984375
2.4375,-1.375,0.90625,0.65625
1.25,0.75,0.48046875,0.5234375
1.0625,1.75,0.7734375,0.37890625
2.375,-3.375,0.5390625,0.6171875
0.625,0.6875,0.35546875,0.12890625
0.4375,0.0,0.357421875,0.40625
1.0625,1.8125,0.974609375,0.07421875
1.875,-1.0,0.5234375,0.353515625
-0.0625,0.5,-0.0703125,0.2109375
0.8125,0.8125,0.73046875,-0.12109375
1.375,0.3125,0.453125,-0.0546875
