item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,agent_det,agent_noun,patient_det,patient_noun,verb_lemma,active_verb_form,passive_verb_form,message_role_order_json,prompt,sentence_stub,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,chosen_structure,passive_choice_indicator
0,role_labeled,active,active,a student drags a teacher .,a girl drags a guest .,a guest is dragged by a girl .,a,girl,a,guest,drag,drags,dragged,"[""AGENT=girl"", ""VERB=drag"", ""PATIENT=guest""]","Prime sentence: a student drags a teacher .
Event roles: AGENT=girl; VERB=drag; PATIENT=guest
Sentence: the",Sentence: the,first_noun,-1.9329338073730469,-6.353037357330322,-4.420103549957275,active,0.0
0,role_labeled,passive,passive,a teacher is dragged by a student .,a girl drags a guest .,a guest is dragged by a girl .,a,girl,a,guest,drag,drags,dragged,"[""AGENT=girl"", ""VERB=drag"", ""PATIENT=guest""]","Prime sentence: a teacher is dragged by a student .
Event roles: AGENT=girl; VERB=drag; PATIENT=guest
Sentence: the",Sentence: the,first_noun,-2.0691092014312744,-6.406189918518066,-4.337080717086792,active,0.0
0,role_labeled,no_prime_eos,no_prime_eos,,a girl drags a guest .,a guest is dragged by a girl .,a,girl,a,guest,drag,drags,dragged,"[""AGENT=girl"", ""VERB=drag"", ""PATIENT=guest""]","Event roles: AGENT=girl; VERB=drag; PATIENT=guest
Sentence: the",Sentence: the,first_noun,-2.0062100887298584,-5.067277908325195,-3.061067819595337,active,0.0
0,role_labeled,filler,filler,The witness paused near the doorway .,a girl drags a guest .,a guest is dragged by a girl .,a,girl,a,guest,drag,drags,dragged,"[""AGENT=girl"", ""VERB=drag"", ""PATIENT=guest""]","Prime sentence: The witness paused near the doorway .
Event roles: AGENT=girl; VERB=drag; PATIENT=guest
Sentence: the",Sentence: the,first_noun,-1.5145776271820068,-6.024588584899902,-4.5100109577178955,active,0.0
1,role_labeled,active,active,a guest beats a guy .,a student beats a teacher .,a teacher is beaten by a student .,a,student,a,teacher,beat,beats,beaten,"[""AGENT=student"", ""VERB=beat"", ""PATIENT=teacher""]","Prime sentence: a guest beats a guy .
Event roles: AGENT=student; VERB=beat; PATIENT=teacher
Sentence: the",Sentence: the,first_noun,-1.935882806777954,-2.9728004932403564,-1.0369176864624023,active,0.0
1,role_labeled,passive,passive,a guy is beaten by a guest .,a student beats a teacher .,a teacher is beaten by a student .,a,student,a,teacher,beat,beats,beaten,"[""AGENT=student"", ""VERB=beat"", ""PATIENT=teacher""]","Prime sentence: a guy is beaten by a guest .
Event roles: AGENT=student; VERB=beat; PATIENT=teacher
Sentence: the",Sentence: the,first_noun,-2.4554390907287598,-2.898470401763916,-0.44303131103515625,active,0.0
1,role_labeled,no_prime_eos,no_prime_eos,,a student beats a teacher .,a teacher is beaten by a student .,a,student,a,teacher,beat,beats,beaten,"[""AGENT=student"", ""VERB=beat"", ""PATIENT=teacher""]","Event roles: AGENT=student; VERB=beat; PATIENT=teacher
Sentence: the",Sentence: the,first_noun,-2.515270233154297,-3.2328553199768066,-0.7175850868225098,active,0.0
1,role_labeled,filler,filler,The kettle whistled in the kitchen .,a student beats a teacher .,a teacher is beaten by a student .,a,student,a,teacher,beat,beats,beaten,"[""AGENT=student"", ""VERB=beat"", ""PATIENT=teacher""]","Prime sentence: The kettle whistled in the kitchen .
Event roles: AGENT=student; VERB=beat; PATIENT=teacher
Sentence: the",Sentence: the,first_noun,-3.8274199962615967,-3.6131532192230225,0.21426677703857422,passive,1.0
2,role_labeled,active,active,an aunt kills an author .,a mayor kills a minister .,a minister is killed by a mayor .,a,mayor,a,minister,kill,kills,killed,"[""VERB=kill"", ""AGENT=mayor"", ""PATIENT=minister""]","Prime sentence: an aunt kills an author .
Event roles: VERB=kill; AGENT=mayor; PATIENT=minister
Sentence: the",Sentence: the,first_noun,-2.7528791427612305,-4.745199680328369,-1.9923205375671387,active,0.0
2,role_labeled,passive,passive,an author is killed by an aunt .,a mayor kills a minister .,a minister is killed by a mayor .,a,mayor,a,minister,kill,kills,killed,"[""VERB=kill"", ""AGENT=mayor"", ""PATIENT=minister""]","Prime sentence: an author is killed by an aunt .
Event roles: VERB=kill; AGENT=mayor; PATIENT=minister
Sentence: the",Sentence: the,first_noun,-2.5691614151000977,-5.222960472106934,-2.653799057006836,active,0.0
