prompt_column,prime_condition,role_frame_inferred_final,n_items,total_items,share
prompt_active,active,agent>patient,1796,2048,0.876953125
prompt_active,active,agent>theme,73,2048,0.03564453125
prompt_active,active,single_core_argument(+oblique),13,2048,0.00634765625
prompt_active,active,theme>predicate,3,2048,0.00146484375
prompt_active,active,unknown,163,2048,0.07958984375
prompt_filler,filler,agent>patient,629,2048,0.30712890625
prompt_filler,filler,agent>theme,12,2048,0.005859375
prompt_filler,filler,agent>theme>recipient,1,2048,0.00048828125
prompt_filler,filler,patient>(agent),760,2048,0.37109375
prompt_filler,filler,single_core_argument(+oblique),418,2048,0.2041015625
prompt_filler,filler,theme>predicate,19,2048,0.00927734375
prompt_filler,filler,unknown,209,2048,0.10205078125
prompt_no_prime,no_prime,agent>patient,595,2048,0.29052734375
prompt_no_prime,no_prime,agent>theme,19,2048,0.00927734375
prompt_no_prime,no_prime,agent>theme>recipient,16,2048,0.0078125
prompt_no_prime,no_prime,mixed,24,2048,0.01171875
prompt_no_prime,no_prime,patient>(agent),437,2048,0.21337890625
prompt_no_prime,no_prime,single_core_argument(+oblique),17,2048,0.00830078125
prompt_no_prime,no_prime,theme>predicate,323,2048,0.15771484375
prompt_no_prime,no_prime,unknown,617,2048,0.30126953125
prompt_passive,passive,agent>patient,338,2048,0.1650390625
prompt_passive,passive,agent>theme,13,2048,0.00634765625
prompt_passive,passive,agent>theme>recipient,1,2048,0.00048828125
prompt_passive,passive,patient>(agent),1637,2048,0.79931640625
prompt_passive,passive,single_core_argument(+oblique),10,2048,0.0048828125
prompt_passive,passive,theme>predicate,3,2048,0.00146484375
prompt_passive,passive,unknown,46,2048,0.0224609375
