item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,passive,passive,the smesilrab is zraruklomed by the skozemdil .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,the smesilrab is zraruklomed by the skozemdil .,full_sentence_processing,-6.705863503848805,-6.174752084832442,0.531111419016363,-113.99967956542967,-117.3202896118164,-3.3206100463867188,17,19,passive,1,0,-0.531111419016363,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,passive,1,0.531111419016363
0,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,<|endoftext|>,full_sentence_processing,-8.067663753733916,-7.270670037520559,0.7969937162133567,-137.15028381347656,-138.14273071289062,-0.9924468994140624,17,19,passive,1,0,-0.7969937162133567,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,0.7969937162133567
1,processing_teacher_forced,passive,passive,a klosilfin was vragafmured by a brikudtas .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,a klosilfin was vragafmured by a brikudtas .,full_sentence_processing,-6.918629365808823,-6.366352683619449,0.5522766821893743,-117.61669921875,-120.96070098876952,-3.3440017700195312,17,19,passive,1,0,-0.5522766821893743,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,passive,1,0.5522766821893743
1,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,<|endoftext|>,full_sentence_processing,-8.027536728802849,-7.39205611379523,0.6354806150076184,-136.46812438964844,-140.44906616210938,-3.9809417724609375,17,19,passive,1,0,-0.6354806150076184,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,0.6354806150076184
2,processing_teacher_forced,passive,passive,a vrefimdil is frafimvoled by a fravaksel .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,a vrefimdil is frafimvoled by a fravaksel .,full_sentence_processing,-7.40159023509306,-6.589069165681538,0.8125210694115221,-125.82703399658205,-125.19231414794922,0.6347198486328125,17,19,passive,1,0,-0.8125210694115221,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,passive,1,0.8125210694115221
2,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,<|endoftext|>,full_sentence_processing,-7.892572739545037,-7.224611784282484,0.6679609552625534,-134.17373657226562,-137.2676239013672,-3.0938873291015625,17,19,passive,1,0,-0.6679609552625534,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,0.6679609552625534
3,processing_teacher_forced,passive,passive,a kvesorrud was kvevarmured by a klogafrud .,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,a kvesorrud was kvevarmured by a klogafrud .,full_sentence_processing,-7.180228233337402,-6.493015713161892,0.6872125201755104,-114.88365173339844,-116.87428283691406,-1.990631103515625,16,18,passive,1,0,-0.6872125201755104,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,passive,1,0.6872125201755104
3,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,<|endoftext|>,full_sentence_processing,-8.313882827758789,-7.5981250339084205,0.7157577938503685,-133.02212524414062,-136.76625061035156,-3.7441253662109375,16,18,passive,1,0,-0.7157577938503685,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,0.7157577938503685
4,processing_teacher_forced,passive,passive,a zlosillom is kvesornefed by a vratorrud .,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,a zlosillom is kvesornefed by a vratorrud .,full_sentence_processing,-6.523859024047852,-5.729713439941406,0.7941455841064453,-104.38174438476562,-103.13484191894533,1.2469024658203125,16,18,passive,1,0,-0.7941455841064453,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,passive,1,0.7941455841064453
4,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,<|endoftext|>,full_sentence_processing,-7.743454933166504,-7.043464660644531,0.6999902725219727,-123.89527893066406,-126.78236389160156,-2.8870849609375,16,18,passive,1,0,-0.6999902725219727,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,0.6999902725219727
