item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a girl drags a guest .,a guest is dragged by a girl .,<|endoftext|>,full_sentence_processing,-6.704627990722656,-6.991400718688965,-0.2867727279663086,-46.932395935058594,-55.93120574951172,-8.998809814453125,7,8,active,0,1,0.2867727279663086,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_eos,0,-0.2867727279663086
0,processing_teacher_forced,filler,filler,The witness paused near the doorway .,a girl drags a guest .,a guest is dragged by a girl .,The witness paused near the doorway .,full_sentence_processing,-6.902230398995536,-6.2293853759765625,0.6728450230189731,-48.31561279296875,-49.8350830078125,-1.51947021484375,7,8,passive,1,0,-0.6728450230189731,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,0.6728450230189731
1,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a student beats a teacher .,a teacher is beaten by a student .,<|endoftext|>,full_sentence_processing,-6.8482100168863935,-5.128057479858398,1.720152537027995,-41.08926010131836,-41.02445983886719,0.064800262451171875,6,8,passive,1,0,-1.720152537027995,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_eos,1,1.720152537027995
1,processing_teacher_forced,filler,filler,The kettle whistled in the kitchen .,a student beats a teacher .,a teacher is beaten by a student .,The kettle whistled in the kitchen .,full_sentence_processing,-7.557712554931641,-5.5361762046813965,2.021536350250244,-45.34627532958984,-44.28940963745117,1.056865692138672,6,8,passive,1,0,-2.021536350250244,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,2.021536350250244
2,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a mayor kills a minister .,a minister is killed by a mayor .,<|endoftext|>,full_sentence_processing,-7.466159184773763,-6.3675031661987305,1.0986560185750325,-44.79695510864258,-50.94002532958984,-6.143070220947266,6,8,passive,1,0,-1.0986560185750325,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_eos,1,1.0986560185750325
2,processing_teacher_forced,filler,filler,The sculpture stood in the hallway .,a mayor kills a minister .,a minister is killed by a mayor .,The sculpture stood in the hallway .,full_sentence_processing,-8.04637082417806,-6.57145881652832,1.4749120076497402,-48.27822494506836,-52.57167053222656,-4.293445587158203,6,8,passive,1,0,-1.4749120076497402,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,1.4749120076497402
3,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a hero hurries a husband .,a husband is hurried by a hero .,<|endoftext|>,full_sentence_processing,-8.321653093610491,-7.111660957336426,1.2099921362740655,-58.25157165527344,-56.893287658691406,1.3582839965820312,7,8,passive,1,0,-1.2099921362740655,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_eos,1,1.2099921362740655
3,processing_teacher_forced,filler,filler,The tourist wandered through the plaza .,a hero hurries a husband .,a husband is hurried by a hero .,The tourist wandered through the plaza .,full_sentence_processing,-8.030788966587611,-6.9840779304504395,1.0467110361371716,-56.21552276611328,-55.87262344360352,0.3428993225097656,7,8,passive,1,0,-1.0467110361371716,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,1.0467110361371716
4,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a hero judges a husband .,a husband is judged by a hero .,<|endoftext|>,full_sentence_processing,-8.721384684244791,-6.432587146759033,2.288797537485758,-52.32830810546875,-51.460697174072266,0.8676109313964844,6,8,passive,1,0,-2.288797537485758,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_eos,1,2.288797537485758
4,processing_teacher_forced,filler,filler,The traveler rested beside the river .,a hero judges a husband .,a husband is judged by a hero .,The traveler rested beside the river .,full_sentence_processing,-8.555095036824545,-6.603030204772949,1.9520648320515956,-51.330570220947266,-52.824241638183594,-1.493671417236328,6,8,passive,1,0,-1.9520648320515956,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,1.9520648320515956
5,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a champion drags a chief .,a chief is dragged by a champion .,<|endoftext|>,full_sentence_processing,-7.372302464076451,-7.271271705627441,0.1010307584490091,-51.60611724853515,-58.17017364501953,-6.564056396484375,7,8,passive,1,0,-0.1010307584490091,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,no_prime_eos,1,0.1010307584490091
5,processing_teacher_forced,filler,filler,The package arrived before noon .,a champion drags a chief .,a chief is dragged by a champion .,The package arrived before noon .,full_sentence_processing,-8.175597599574498,-7.711282253265381,0.4643153463091174,-57.22918319702149,-61.69025802612305,-4.4610748291015625,7,8,passive,1,0,-0.4643153463091174,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,1,0.4643153463091174
