prompt_column,prime_condition,generation_class_strict,n_items,total_items,share
prompt_active,active,active,1856,2048,0.90625
prompt_active,active,other,84,2048,0.041015625
prompt_active,active,passive,108,2048,0.052734375
prompt_filler,filler,active,377,2048,0.18408203125
prompt_filler,filler,other,1573,2048,0.76806640625
prompt_filler,filler,passive,98,2048,0.0478515625
prompt_no_prime,no_prime,active,948,2048,0.462890625
prompt_no_prime,no_prime,other,1083,2048,0.52880859375
prompt_no_prime,no_prime,passive,17,2048,0.00830078125
prompt_passive,passive,active,482,2048,0.2353515625
prompt_passive,passive,other,48,2048,0.0234375
prompt_passive,passive,passive,1518,2048,0.7412109375
