item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,<|eot_id|>,full_sentence_processing,-7.89453125,-7.972222222222222,-0.07769097222222232,-126.3125,-143.5,-17.1875,16,18,active,0,1,0.07769097222222232,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_eos,0,-0.07769097222222232
0,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,NA,full_sentence_processing,-7.453125,-7.375,0.078125,-119.25,-132.75,-13.5,16,18,passive,1,0,-0.078125,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_empty,1,0.078125
1,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,<|eot_id|>,full_sentence_processing,-8.816666666666666,-8.191176470588236,0.6254901960784309,-132.25,-139.25,-7,15,17,passive,1,0,-0.6254901960784309,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.6254901960784309
1,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,NA,full_sentence_processing,-8.4,-7.654411764705882,0.7455882352941181,-126,-130.125,-4.125,15,17,passive,1,0,-0.7455882352941181,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_empty,1,0.7455882352941181
2,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,<|eot_id|>,full_sentence_processing,-8.205882352941176,-7.776315789473684,0.42956656346749167,-139.5,-147.75,-8.25,17,19,passive,1,0,-0.42956656346749167,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.42956656346749167
2,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,NA,full_sentence_processing,-7.610294117647059,-7.381578947368421,0.22871517027863764,-129.375,-140.25,-10.875,17,19,passive,1,0,-0.22871517027863764,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_empty,1,0.22871517027863764
3,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,<|eot_id|>,full_sentence_processing,-8.65,-7.838235294117647,0.8117647058823536,-129.75,-133.25,-3.5,15,17,passive,1,0,-0.8117647058823536,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.8117647058823536
3,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,NA,full_sentence_processing,-8.383333333333333,-7.595588235294118,0.7877450980392151,-125.75,-129.125,-3.375,15,17,passive,1,0,-0.7877450980392151,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_empty,1,0.7877450980392151
4,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,<|eot_id|>,full_sentence_processing,-8.641666666666667,-7.8088235294117645,0.832843137254903,-129.625,-132.75,-3.125,15,17,passive,1,0,-0.832843137254903,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.832843137254903
4,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,NA,full_sentence_processing,-8.204166666666667,-7.444852941176471,0.7593137254901965,-123.0625,-126.5625,-3.5,15,17,passive,1,0,-0.7593137254901965,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_empty,1,0.7593137254901965
5,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the skozemdil smenelmurs the vrefimdil .,the vrefimdil is smenelmured by the skozemdil .,<|eot_id|>,full_sentence_processing,-8.75,-8.191176470588236,0.5588235294117645,-131.25,-139.25,-8,15,17,passive,1,0,-0.5588235294117645,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.5588235294117645
5,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,the skozemdil smenelmurs the vrefimdil .,the vrefimdil is smenelmured by the skozemdil .,NA,full_sentence_processing,-8.0125,-7.470588235294118,0.5419117647058815,-120.1875,-127,-6.8125,15,17,passive,1,0,-0.5419117647058815,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_empty,1,0.5419117647058815
