item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,active,active,a student drags a teacher .,a girl drags a guest .,a guest is dragged by a girl .,a student drags a teacher .,full_sentence_processing,-4.360829762050083,-4.5010786056518555,-0.14024884360177214,-30.525808334350582,-36.008628845214844,-5.482820510864258,7,8,active,0,1,0.14024884360177214,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,0,-0.14024884360177214
0,processing_teacher_forced,passive,passive,a teacher is dragged by a student .,a girl drags a guest .,a guest is dragged by a girl .,a teacher is dragged by a student .,full_sentence_processing,-5.103272029331753,-4.052603721618652,1.0506683077131005,-35.722904205322266,-32.42082977294922,3.302074432373047,7,8,passive,1,0,-1.0506683077131005,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,1.0506683077131005
1,processing_teacher_forced,active,active,a guest beats a guy .,a student beats a teacher .,a teacher is beaten by a student .,a guest beats a guy .,full_sentence_processing,-4.353532473246257,-3.947134971618652,0.40639750162760446,-26.12119483947754,-31.57707977294922,-5.45588493347168,6,8,passive,1,0,-0.40639750162760446,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,1,0.40639750162760446
1,processing_teacher_forced,passive,passive,a guy is beaten by a guest .,a student beats a teacher .,a teacher is beaten by a student .,a guy is beaten by a guest .,full_sentence_processing,-4.799354553222656,-3.0780224800109863,1.72133207321167,-28.796127319335938,-24.62417984008789,4.171947479248047,6,8,passive,1,0,-1.72133207321167,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,1.72133207321167
2,processing_teacher_forced,active,active,an aunt kills an author .,a mayor kills a minister .,a minister is killed by a mayor .,an aunt kills an author .,full_sentence_processing,-5.514424006144206,-4.90871000289917,0.6057140032450361,-33.086544036865234,-39.26968002319336,-6.183135986328125,6,8,passive,1,0,-0.6057140032450361,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,1,0.6057140032450361
2,processing_teacher_forced,passive,passive,an author is killed by an aunt .,a mayor kills a minister .,a minister is killed by a mayor .,an author is killed by an aunt .,full_sentence_processing,-5.898699442545573,-4.26453161239624,1.634167830149333,-35.39219665527344,-34.11625289916992,1.2759437561035156,6,8,passive,1,0,-1.634167830149333,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,1.634167830149333
3,processing_teacher_forced,active,active,a wife hurries a winner .,a hero hurries a husband .,a husband is hurried by a hero .,a wife hurries a winner .,full_sentence_processing,-4.789584568568638,-4.738839626312256,0.05074494225638215,-33.52709197998047,-37.91071701049805,-4.383625030517578,7,8,passive,1,0,-0.05074494225638215,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,1,0.05074494225638215
3,processing_teacher_forced,passive,passive,a winner is hurried by a wife .,a hero hurries a husband .,a husband is hurried by a hero .,a winner is hurried by a wife .,full_sentence_processing,-5.877358572823661,-4.392377853393555,1.484980719430106,-41.141510009765625,-35.13902282714844,6.0024871826171875,7,8,passive,1,0,-1.484980719430106,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,1.484980719430106
4,processing_teacher_forced,active,active,a wife judges a winner .,a hero judges a husband .,a husband is judged by a hero .,a wife judges a winner .,full_sentence_processing,-5.965309778849284,-4.712291240692139,1.2530185381571457,-35.7918586730957,-37.69832992553711,-1.9064712524414065,6,8,passive,1,0,-1.2530185381571457,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,1,1.2530185381571457
4,processing_teacher_forced,passive,passive,a winner is judged by a wife .,a hero judges a husband .,a husband is judged by a hero .,a winner is judged by a wife .,full_sentence_processing,-6.877983729044597,-3.8868117332458496,2.991171995798747,-41.26790237426758,-31.094493865966797,10.17340850830078,6,8,passive,1,0,-2.991171995798747,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,passive,1,2.991171995798747
