row,column,core_text,jabber_text,core_tokens,jabber_tokens,jabber_minus_core
0,pa,an aunt catches an author .,the frasorgor pnegafloms the tlunelsel .,6,17,11
1,pa,the friend bothered the girl .,a vratafsel bripemlomed a druvarmur .,6,17,11
2,pa,a girl beats a guest .,a tlumolvek mninorkuls a smenelsel .,6,16,10
3,pa,the actress killed the adult .,a skozemdil drupemzired a plokudsel .,6,17,11
4,pa,a soldier forgets a son .,a zramolmur zrazemgors a drufimzom .,7,17,10
5,pa,the doctor grabbed the employee .,a vravaknef zrazemgored a plolodnef .,6,18,12
6,pa,a professor beats a reader .,the kvevarzom klonorruded the kvenorvek .,6,17,11
7,pa,the boy hurried the brother .,a vravaknef zrazemgors a kvelodzom .,6,18,12
8,pa,a husband surprises a kid .,a tlumoldil vrasorkuled a mnikudpav .,6,17,11
9,pa,the secretary protected the sheriff .,a zramolmur kvezemrabed a vrepimpav .,6,16,10
10,pa,a prince surprises a princess .,the klogafrud zlodulfins the vretafzir .,6,18,12
11,pa,the minister forgave the mother .,a brikudtas zrazemgors a franorbav .,7,17,10
12,pa,an actor hurts an actress .,a vrefimdil zrazemgored a zramolmur .,6,17,11
13,pa,the doctor forgot the employee .,a brisilsel skotafruded a smevakrab .,6,16,10
14,pa,a daughter drags a doctor .,a kvezemzom smevarbaved a vretafzir .,7,17,10
15,pa,the wife hurt the winner .,a vrasilvol klonorruded a fradulvek .,6,16,10
16,pa,an uncle selects a wife .,a vratorrud kvenelfins a zramolmur .,6,15,9
17,pa,the manager protected the mayor .,the plokudsel grifimloms the kvelodzom .,6,17,11
18,pa,a father surprises a friend .,a kvesorrud grifimloms a tlumolvek .,6,17,11
19,pa,the nurse bothered the parent .,the brisilsel smedulpavs the franorbav .,6,16,10
20,pa,a daughter grabs a doctor .,a kvedulrab grifimloms a smekudlom .,6,17,11
21,pa,the chief hurried the child .,a mnidulzom drupemzired a vramolsim .,6,17,11
22,pa,a king grabs a lady .,the fradullom klosorveked the vrepimpav .,6,16,10
23,pa,the guest forgave the guy .,a smepemgor zrazemgored a tlumolvek .,7,17,10
24,pa,a mother surprises a nurse .,a smepimzir skotafruded a pnezebkul .,6,18,12
25,pa,the woman grabbed the worker .,the pnesillom zrazemgored the frataflom .,6,16,10
26,pa,an actor kills an actress .,the grivarbav vrezebzoms the skozemdil .,6,17,11
27,pa,the attorney understood the aunt .,the smekudlom drupemzirs the zlosillom .,6,17,11
28,pa,a husband washes a kid .,the tlumolvek kvenelfined the drutorked .,7,16,9
29,pa,the colonel hurt the cop .,the kveruknef zlorukruds the smezemlom .,6,18,12
30,pa,an actor raises an actress .,a grivarbav drusilfins a grisortas .,6,16,10
31,pa,the lady beat the lawyer .,a vretafzir kvevarmured a drufimzom .,6,18,12
32,pa,a professor surprises a reader .,a skozemdil klonorruds a skozebsel .,6,16,10
33,pa,the secretary struck the sheriff .,the smevakrab smegafdils the klotafdil .,6,17,11
34,pa,a girl carries a guest .,the smekudlom vregafvols the klosilfin .,6,17,11
35,pa,the chief protected the child .,a kvesorrud grineldils a britorkul .,6,15,9
36,pa,an actor chases an actress .,the tlunelsel skopemkuls the smekudlom .,7,18,11
37,pa,the colonel selected the cop .,the vretortas grinelloms the kvedulrab .,6,15,9
38,pa,a worker destroys a writer .,a fravaksel skopemkuls a zraduldil .,6,16,10
