item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,passive,passive,the smesilrab is zraruklomed by the skozemdil .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,the smesilrab is zraruklomed by the skozemdil .,full_sentence_processing,-7.1484375,-6.392361111111111,0.7560763888888893,-114.375,-115.0625,-0.6875,16,18,passive,1,0,-0.7560763888888893,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,passive,1,0.7560763888888893
0,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,<|eot_id|>,full_sentence_processing,-7.89453125,-7.972222222222222,-0.07769097222222232,-126.3125,-143.5,-17.1875,16,18,active,0,1,0.07769097222222232,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_eos,0,-0.07769097222222232
1,processing_teacher_forced,passive,passive,a klosilfin was vragafmured by a brikudtas .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,a klosilfin was vragafmured by a brikudtas .,full_sentence_processing,-7.454166666666667,-7.011029411764706,0.443137254901961,-111.8125,-119.1875,-7.375,15,17,passive,1,0,-0.443137254901961,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,passive,1,0.443137254901961
1,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,<|eot_id|>,full_sentence_processing,-8.816666666666666,-8.191176470588236,0.6254901960784309,-132.25,-139.25,-7,15,17,passive,1,0,-0.6254901960784309,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.6254901960784309
2,processing_teacher_forced,passive,passive,a vrefimdil is frafimvoled by a fravaksel .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,a vrefimdil is frafimvoled by a fravaksel .,full_sentence_processing,-6.841911764705882,-6.082236842105263,0.7596749226006194,-116.3125,-115.5625,0.75,17,19,passive,1,0,-0.7596749226006194,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,passive,1,0.7596749226006194
2,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,<|eot_id|>,full_sentence_processing,-8.205882352941176,-7.776315789473684,0.42956656346749167,-139.5,-147.75,-8.25,17,19,passive,1,0,-0.42956656346749167,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.42956656346749167
3,processing_teacher_forced,passive,passive,a kvesorrud was kvevarmured by a klogafrud .,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,a kvesorrud was kvevarmured by a klogafrud .,full_sentence_processing,-7.579166666666667,-6.636029411764706,0.943137254901961,-113.6875,-112.8125,0.875,15,17,passive,1,0,-0.943137254901961,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,passive,1,0.943137254901961
3,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,<|eot_id|>,full_sentence_processing,-8.65,-7.838235294117647,0.8117647058823536,-129.75,-133.25,-3.5,15,17,passive,1,0,-0.8117647058823536,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.8117647058823536
4,processing_teacher_forced,passive,passive,a zlosillom is kvesornefed by a vratorrud .,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,a zlosillom is kvesornefed by a vratorrud .,full_sentence_processing,-6.920833333333333,-6.033088235294118,0.8877450980392156,-103.8125,-102.5625,1.25,15,17,passive,1,0,-0.8877450980392156,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,passive,1,0.8877450980392156
4,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,<|eot_id|>,full_sentence_processing,-8.641666666666667,-7.8088235294117645,0.832843137254903,-129.625,-132.75,-3.125,15,17,passive,1,0,-0.832843137254903,llama_strict_jabberwocky,LLaMA lexically controlled Jabberwocky,llama,strict_control,jabberwocky_jabberwocky,no_prime_eos,1,0.832843137254903
