prompt_column,prime_condition,generation_class_lax_final,n_items,total_items,share
prompt_active,active,active,2044,2080,0.9826923076923076
prompt_active,active,other,20,2080,0.009615384615384616
prompt_active,active,passive,16,2080,0.007692307692307693
prompt_filler,filler,active,1190,2080,0.5721153846153846
prompt_filler,filler,other,310,2080,0.14903846153846154
prompt_filler,filler,passive,580,2080,0.27884615384615385
prompt_no_demo,no_demo,active,1221,2080,0.5870192307692308
prompt_no_demo,no_demo,other,522,2080,0.25096153846153846
prompt_no_demo,no_demo,passive,337,2080,0.16201923076923078
prompt_passive,passive,active,224,2080,0.1076923076923077
prompt_passive,passive,other,79,2080,0.03798076923076923
prompt_passive,passive,passive,1777,2080,0.854326923076923
