item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,passive,passive,the smesilrab is zraruklomed by the skozemdil .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,the smesilrab is zraruklomed by the skozemdil .,full_sentence_processing,-6.705863503848805,-6.174752084832442,0.531111419016363,-113.99967956542967,-117.3202896118164,-3.3206100463867188,17,19,passive,1,0,-0.531111419016363,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,passive,1,0.531111419016363
0,processing_teacher_forced,filler,filler,The nasker plodded near hulven .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,The nasker plodded near hulven .,full_sentence_processing,-7.635900160845588,-7.054683484529194,0.5812166763163935,-129.810302734375,-134.0389862060547,-4.2286834716796875,17,19,passive,1,0,-0.5812166763163935,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,filler,1,0.5812166763163935
1,processing_teacher_forced,passive,passive,a klosilfin was vragafmured by a brikudtas .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,a klosilfin was vragafmured by a brikudtas .,full_sentence_processing,-6.91862891702091,-6.36635308516653,0.5522758318543799,-117.61669158935548,-120.96070861816406,-3.3440170288085938,17,19,passive,1,0,-0.5522758318543799,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,passive,1,0.5522758318543799
1,processing_teacher_forced,filler,filler,The drabble quisted in varlen .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,The drabble quisted in varlen .,full_sentence_processing,-7.458694009219899,-7.073372288754112,0.3853217204657868,-126.79779815673828,-134.39407348632812,-7.596275329589844,17,19,passive,1,0,-0.3853217204657868,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,filler,1,0.3853217204657868
2,processing_teacher_forced,passive,passive,a vrefimdil is frafimvoled by a fravaksel .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,a vrefimdil is frafimvoled by a fravaksel .,full_sentence_processing,-7.401591581456802,-6.58907037032278,0.8125212111340216,-125.82705688476562,-125.1923370361328,0.6347198486328125,17,19,passive,1,0,-0.8125212111340216,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,passive,1,0.8125212111340216
2,processing_teacher_forced,filler,filler,The plinter drossed in marven .,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,The plinter drossed in marven .,full_sentence_processing,-7.840298820944393,-6.995319567228618,0.844979253715775,-133.2850799560547,-132.91107177734375,0.3740081787109375,17,19,passive,1,0,-0.844979253715775,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,filler,1,0.844979253715775
3,processing_teacher_forced,passive,passive,a kvesorrud was kvevarmured by a klogafrud .,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,a kvesorrud was kvevarmured by a klogafrud .,full_sentence_processing,-7.180226802825928,-6.493015713161892,0.6872110896640358,-114.88362884521484,-116.87428283691406,-1.9906539916992188,16,18,passive,1,0,-0.6872110896640358,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,passive,1,0.6872110896640358
3,processing_teacher_forced,filler,filler,The claven morged through selven .,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,The claven morged through selven .,full_sentence_processing,-7.54122257232666,-7.180004543728298,0.36121802859836194,-120.65956115722656,-129.24008178710938,-8.5805206298828125,16,18,passive,1,0,-0.36121802859836194,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,filler,1,0.36121802859836194
4,processing_teacher_forced,passive,passive,a zlosillom is kvesornefed by a vratorrud .,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,a zlosillom is kvesornefed by a vratorrud .,full_sentence_processing,-6.523859024047852,-5.729712592230903,0.7941464318169489,-104.38174438476562,-103.13482666015624,1.246917724609375,16,18,passive,1,0,-0.7941464318169489,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,passive,1,0.7941464318169489
4,processing_teacher_forced,filler,filler,The trassel fented beside murven .,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,The trassel fented beside murven .,full_sentence_processing,-7.348359107971191,-6.731000264485677,0.6173588434855146,-117.57374572753906,-121.1580047607422,-3.584259033203125,16,18,passive,1,0,-0.6173588434855146,gpt2_strict_jabberwocky,GPT-2 strict-control Jabberwocky,gpt2-large,strict_control,jabberwocky_jabberwocky,filler,1,0.6173588434855146
