p_do,p_po,t_do,t_po
the uffish fazzed them the frabjous .,the uffish fazzed the frabjous to them .,a jubjub burbled you a crunk .,a jubjub burbled a crunk for you .
the uffish yomped you the frob .,the uffish yomped the frob to you .,a slithy fazzed them a bandersnatch .,a slithy fazzed a bandersnatch for them .
the narp gimbled you the glorp .,the narp gimbled the glorp to you .,a uffish yomped him a tulgey .,a uffish yomped a tulgey for him .
the bandersnatch quilliged her the frabjous .,the bandersnatch quilliged the frabjous for her .,a bouba galumphed us a frob .,a bouba galumphed a frob to us .
a boojum gimbled us a uffish .,a boojum gimbled a uffish to us .,the bouba gorped her the snark .,the bouba gorped the snark for her .
the jubjub galumphed us the vorpal .,the jubjub galumphed the vorpal to us .,a dax outgrabed them a bandersnatch .,a dax outgrabed a bandersnatch for them .
a bandersnatch gimbled you a bouba .,a bandersnatch gimbled a bouba for you .,the frob glorked them the frabjous .,the frob glorked the frabjous to them .
a rath gimbled me a jubjub .,a rath gimbled a jubjub to me .,the tumtum quilliged us the manxome .,the tumtum quilliged the manxome for us .
the vorpal galumphed you the tulgey .,the vorpal galumphed the tulgey for you .,a bandersnatch strugged them a dax .,a bandersnatch strugged a dax to them .
a zorp gorped us a mome .,a zorp gorped a mome for us .,the wug quilliged me the crunk .,the wug quilliged the crunk to me .
the vlim fazzed us the glorp .,the vlim fazzed the glorp to us .,a kiki galumphed her a mome .,a kiki galumphed a mome for her .
a frabjous yomped him a manxome .,a frabjous yomped a manxome for him .,the zib strugged us the slithy .,the zib strugged the slithy to us .
a uffish glorked her a blicket .,a uffish glorked a blicket to her .,the zorp yomped us the manxome .,the zorp yomped the manxome for us .
the borogove strugged us the fep .,the borogove strugged the fep to us .,a zorp whiffled them a mome .,a zorp whiffled a mome for them .
the uffish snickered you the manxome .,the uffish snickered the manxome to you .,a blicket crinked me a bouba .,a blicket crinked a bouba for me .
a frabjous gorped them a vlim .,a frabjous gorped a vlim to them .,the zorp blemed you the dril .,the zorp blemed the dril for you .
the glorp snickered her the wug .,the glorp snickered the wug for her .,a slithy glorked you a manxome .,a slithy glorked a manxome to you .
a frob strugged him a crunk .,a frob strugged a crunk to him .,the narp gorped her the fep .,the narp gorped the fep for her .
the wug gimbled us the narp .,the wug gimbled the narp to us .,a vlim blemed him a frob .,a vlim blemed a frob for him .
the boojum quilliged you the slithy .,the boojum quilliged the slithy for you .,a kiki blemed us a rath .,a kiki blemed a rath to us .
a bandersnatch gimbled them a glorp .,a bandersnatch gimbled a glorp for them .,the snark burbled me the quib .,the snark burbled the quib to me .
the zorp gorped us the jubjub .,the zorp gorped the jubjub to us .,a glorp burbled them a tove .,a glorp burbled a tove for them .
the tumtum whiffled her the vorpal .,the tumtum whiffled the vorpal to her .,a glorp pilked them a tove .,a glorp pilked a tove for them .
a tulgey gimbled them a jubjub .,a tulgey gimbled a jubjub to them .,the kiki blemed me the dax .,the kiki blemed the dax for me .
a vorpal pilked you a blicket .,a vorpal pilked a blicket for you .,the tove yomped us the manxome .,the tove yomped the manxome to us .
the blicket blemed me the bouba .,the blicket blemed the bouba to me .,a vlim gorped her a crunk .,a vlim gorped a crunk for her .
the frabjous galumphed him the zib .,the frabjous galumphed the zib to him .,a tulgey burbled her a frob .,a tulgey burbled a frob for her .
a borogove strugged you a frob .,a borogove strugged a frob to you .,the blicket gorped him the kiki .,the blicket gorped the kiki for him .
a snark quilliged her a slithy .,a snark quilliged a slithy for her .,the vorpal blemed us the tove .,the vorpal blemed the tove to us .
a frabjous snickered her a quib .,a frabjous snickered a quib to her .,the kiki galumphed him the zorp .,the kiki galumphed the zorp for him .
a crunk galumphed her a tumtum .,a crunk galumphed a tumtum for her .,the rath gorped me the boojum .,the rath gorped the boojum to me .
the rath glorked him the tumtum .,the rath glorked the tumtum for him .,a wug pilked us a quib .,a wug pilked a quib to us .
a crunk strugged her a snark .,a crunk strugged a snark for her .,the dril glorked him the blicket .,the dril glorked the blicket to him .
a tulgey blemed them a blicket .,a tulgey blemed a blicket for them .,the boojum crinked me the kiki .,the boojum crinked the kiki to me .
the snark burbled you the rath .,the snark burbled the rath to you .,a quib chortled them a slithy .,a quib chortled a slithy for them .
