prompt_column,prime_condition,generation_class_detailed_final,n_items,total_items,share
prompt_active,active,active_ditransitive_prepositional,1,2080,0.0004807692307692308
prompt_active,active,active_intransitive,11,2080,0.005288461538461539
prompt_active,active,active_intransitive_prepositional,9,2080,0.004326923076923077
prompt_active,active,active_other,1,2080,0.0004807692307692308
prompt_active,active,active_progressive_intransitive,6,2080,0.0028846153846153848
prompt_active,active,active_target_ditransitive_like,1,2080,0.0004807692307692308
prompt_active,active,active_target_transitive_like,1632,2080,0.7846153846153846
prompt_active,active,active_transitive,146,2080,0.07019230769230769
prompt_active,active,active_transitive_with_pp,1,2080,0.0004807692307692308
prompt_active,active,copular_nominal,9,2080,0.004326923076923077
prompt_active,active,other_prepositional_misc,5,2080,0.002403846153846154
prompt_active,active,other_relative_clause_misc,1,2080,0.0004807692307692308
prompt_active,active,other_relative_identity_clause,3,2080,0.0014423076923076924
prompt_active,active,other_unclassified,60,2080,0.028846153846153848
prompt_active,active,passive_by,25,2080,0.01201923076923077
prompt_active,active,passive_progressive_by,1,2080,0.0004807692307692308
prompt_active,active,passive_progressive_short,3,2080,0.0014423076923076924
prompt_active,active,passive_short,38,2080,0.01826923076923077
prompt_active,active,passive_target_by,122,2080,0.058653846153846154
prompt_active,active,passive_target_progressive_by,5,2080,0.002403846153846154
prompt_filler,filler,active_ditransitive_prepositional,1,2080,0.0004807692307692308
prompt_filler,filler,active_intransitive,26,2080,0.0125
prompt_filler,filler,active_intransitive_prepositional,225,2080,0.10817307692307693
prompt_filler,filler,active_other,26,2080,0.0125
prompt_filler,filler,active_progressive_intransitive,8,2080,0.0038461538461538464
prompt_filler,filler,active_progressive_intransitive_pp,1,2080,0.0004807692307692308
prompt_filler,filler,active_progressive_transitive,3,2080,0.0014423076923076924
prompt_filler,filler,active_target_ditransitive_like,3,2080,0.0014423076923076924
prompt_filler,filler,active_target_transitive_like,418,2080,0.20096153846153847
prompt_filler,filler,active_transitive,319,2080,0.15336538461538463
prompt_filler,filler,active_transitive_with_pp,5,2080,0.002403846153846154
prompt_filler,filler,copular_adjectival,2,2080,0.0009615384615384616
prompt_filler,filler,copular_nominal,7,2080,0.0033653846153846156
prompt_filler,filler,copular_participial,4,2080,0.0019230769230769232
prompt_filler,filler,copular_prepositional,5,2080,0.002403846153846154
prompt_filler,filler,other_prepositional_misc,51,2080,0.02451923076923077
prompt_filler,filler,other_unclassified,135,2080,0.06490384615384616
prompt_filler,filler,passive_by,208,2080,0.1
prompt_filler,filler,passive_short,579,2080,0.2783653846153846
prompt_filler,filler,passive_target_by,54,2080,0.025961538461538463
prompt_no_demo,no_demo,active_ditransitive_prepositional,6,2080,0.0028846153846153848
prompt_no_demo,no_demo,active_other,4,2080,0.0019230769230769232
prompt_no_demo,no_demo,active_progressive_ditransitive,6,2080,0.0028846153846153848
prompt_no_demo,no_demo,active_progressive_intransitive,22,2080,0.010576923076923078
prompt_no_demo,no_demo,active_progressive_intransitive_pp,13,2080,0.00625
prompt_no_demo,no_demo,active_progressive_transitive,40,2080,0.019230769230769232
prompt_no_demo,no_demo,active_target_ditransitive_like,34,2080,0.016346153846153847
prompt_no_demo,no_demo,active_target_transitive_like,672,2080,0.3230769230769231
prompt_no_demo,no_demo,active_transitive,114,2080,0.05480769230769231
prompt_no_demo,no_demo,active_transitive_with_pp,1,2080,0.0004807692307692308
prompt_no_demo,no_demo,copular_adjectival,17,2080,0.008173076923076924
prompt_no_demo,no_demo,copular_nominal,98,2080,0.047115384615384615
prompt_no_demo,no_demo,copular_participial,27,2080,0.012980769230769231
prompt_no_demo,no_demo,copular_prepositional,34,2080,0.016346153846153847
prompt_no_demo,no_demo,other_coordinate_multiclause,138,2080,0.06634615384615385
prompt_no_demo,no_demo,other_prepositional_misc,148,2080,0.07115384615384615
prompt_no_demo,no_demo,other_relative_identity_clause,173,2080,0.08317307692307692
prompt_no_demo,no_demo,other_unclassified,200,2080,0.09615384615384616
prompt_no_demo,no_demo,passive_by,203,2080,0.09759615384615385
prompt_no_demo,no_demo,passive_short,74,2080,0.035576923076923075
prompt_no_demo,no_demo,passive_target_by,56,2080,0.026923076923076925
prompt_passive,passive,active_intransitive,4,2080,0.0019230769230769232
prompt_passive,passive,active_intransitive_prepositional,1,2080,0.0004807692307692308
prompt_passive,passive,active_other,9,2080,0.004326923076923077
prompt_passive,passive,active_progressive_intransitive,17,2080,0.008173076923076924
prompt_passive,passive,active_progressive_intransitive_pp,4,2080,0.0019230769230769232
prompt_passive,passive,active_progressive_transitive,5,2080,0.002403846153846154
prompt_passive,passive,active_target_ditransitive_like,4,2080,0.0019230769230769232
prompt_passive,passive,active_target_transitive_like,515,2080,0.24759615384615385
prompt_passive,passive,active_transitive,89,2080,0.04278846153846154
prompt_passive,passive,copular_nominal,26,2080,0.0125
prompt_passive,passive,copular_prepositional,1,2080,0.0004807692307692308
prompt_passive,passive,other_prepositional_misc,4,2080,0.0019230769230769232
prompt_passive,passive,other_relative_identity_clause,42,2080,0.020192307692307693
prompt_passive,passive,other_unclassified,58,2080,0.027884615384615386
prompt_passive,passive,passive_by,170,2080,0.08173076923076923
prompt_passive,passive,passive_progressive_by,4,2080,0.0019230769230769232
prompt_passive,passive,passive_short,19,2080,0.009134615384615385
prompt_passive,passive,passive_target_by,1098,2080,0.5278846153846154
prompt_passive,passive,passive_target_progressive_by,10,2080,0.004807692307692308
