item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,passive,passive,a son is understood by a soldier .,a girl drags a guest .,a guest is dragged by a girl .,a son is understood by a soldier .,full_sentence_processing,-6.252943856375558,-5.550713539123535,0.702230317252023,-43.770606994628906,-44.40570831298828,-0.635101318359375,7,8,passive,1,0,-0.702230317252023,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,0.702230317252023
0,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a girl drags a guest .,a guest is dragged by a girl .,NA,full_sentence_processing,-5.7046372549874445,-5.366898059844971,0.33773919514247375,-39.93246078491211,-42.935184478759766,-3.002723693847656,7,8,passive,1,0,-0.33773919514247375,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,0.33773919514247375
1,processing_teacher_forced,passive,passive,a doctor is struck by a daughter .,a student beats a teacher .,a teacher is beaten by a student .,a doctor is struck by a daughter .,full_sentence_processing,-5.359774271647136,-3.667673587799072,1.6921006838480634,-32.15864562988281,-29.341388702392575,2.8172569274902344,6,8,passive,1,0,-1.6921006838480634,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,1.6921006838480634
1,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a student beats a teacher .,a teacher is beaten by a student .,NA,full_sentence_processing,-5.325238545735677,-4.0943827629089355,1.2308557828267412,-31.951431274414062,-32.755062103271484,-0.8036308288574219,6,8,passive,1,0,-1.2308557828267412,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,1.2308557828267412
2,processing_teacher_forced,passive,passive,an actress is protected by an actor .,a mayor kills a minister .,a minister is killed by a mayor .,an actress is protected by an actor .,full_sentence_processing,-7.354860941569011,-5.648684501647949,1.7061764399210615,-44.12916564941406,-45.189476013183594,-1.0603103637695312,6,8,passive,1,0,-1.7061764399210615,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,1.7061764399210615
2,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a mayor kills a minister .,a minister is killed by a mayor .,NA,full_sentence_processing,-6.1365006764729815,-5.323565483093262,0.8129351933797198,-36.81900405883789,-42.588523864746094,-5.769519805908203,6,8,passive,1,0,-0.8129351933797198,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,0.8129351933797198
3,processing_teacher_forced,passive,passive,a cousin is killed by a cop .,a hero hurries a husband .,a husband is hurried by a hero .,a cousin is killed by a cop .,full_sentence_processing,-7.393090929303851,-6.1836700439453125,1.2094208853585382,-51.75163650512695,-49.4693603515625,2.282276153564453,7,8,passive,1,0,-1.2094208853585382,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,1.2094208853585382
3,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a hero hurries a husband .,a husband is hurried by a hero .,NA,full_sentence_processing,-6.781883784702846,-5.851307392120361,0.930576392582485,-47.47318649291992,-46.81045913696289,0.66272735595703125,7,8,passive,1,0,-0.930576392582485,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,0.930576392582485
4,processing_teacher_forced,passive,passive,a leader is bothered by a lawyer .,a hero judges a husband .,a husband is judged by a hero .,a leader is bothered by a lawyer .,full_sentence_processing,-7.368540445963542,-5.6090545654296875,1.7594858805338545,-44.21124267578125,-44.8724365234375,-0.66119384765625,6,8,passive,1,0,-1.7594858805338545,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,1.7594858805338545
4,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a hero judges a husband .,a husband is judged by a hero .,NA,full_sentence_processing,-7.145708719889323,-5.344622611999512,1.8010861078898115,-42.87425231933594,-42.756980895996094,0.11727142333984376,6,8,passive,1,0,-1.8010861078898115,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,1.8010861078898115
5,processing_teacher_forced,passive,passive,a partner is hurried by a parent .,a champion drags a chief .,a chief is dragged by a champion .,a partner is hurried by a parent .,full_sentence_processing,-6.975256783621652,-5.365286827087402,1.6099699565342496,-48.82679748535156,-42.92229461669922,5.904502868652344,7,8,passive,1,0,-1.6099699565342496,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,1.6099699565342496
5,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a champion drags a chief .,a chief is dragged by a champion .,NA,full_sentence_processing,-6.203134264264788,-5.987170219421387,0.21596404484340148,-43.42193984985352,-47.897361755371094,-4.475421905517578,7,8,passive,1,0,-0.21596404484340148,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,0.21596404484340148
6,processing_teacher_forced,passive,passive,a chief is forgiven by a champion .,a parent destroys a partner .,a partner is destroyed by a parent .,a chief is forgiven by a champion .,full_sentence_processing,-7.230681737263997,-5.152109146118164,2.078572591145833,-43.384090423583984,-41.21687316894531,2.167217254638672,6,8,passive,1,0,-2.078572591145833,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,2.078572591145833
6,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a parent destroys a partner .,a partner is destroyed by a parent .,NA,full_sentence_processing,-6.392905553181966,-5.0047430992126465,1.3881624539693194,-38.3574333190918,-40.03794479370117,-1.680511474609375,6,8,passive,1,0,-1.3881624539693194,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,1.3881624539693194
7,processing_teacher_forced,passive,passive,a cousin is struck by a cop .,a nurse discovers an opponent .,an opponent is discovered by a nurse .,a cousin is struck by a cop .,full_sentence_processing,-7.488344828287761,-5.641137599945068,1.8472072283426924,-44.93006896972656,-45.12910079956055,-0.1990318298339844,6,8,passive,1,0,-1.8472072283426924,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,1.8472072283426924
7,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a nurse discovers an opponent .,an opponent is discovered by a nurse .,NA,full_sentence_processing,-7.144100189208984,-5.10987663269043,2.0342235565185547,-42.864601135253906,-40.87901306152344,1.9855880737304688,6,8,passive,1,0,-2.0342235565185547,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,2.0342235565185547
8,processing_teacher_forced,passive,passive,a daughter is asked by a cousin .,a leader chases a man .,a man is chased by a leader .,a daughter is asked by a cousin .,full_sentence_processing,-6.011011941092355,-5.03329610824585,0.9777158328465054,-42.07708358764648,-40.2663688659668,1.8107147216796875,7,8,passive,1,0,-0.9777158328465054,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,0.9777158328465054
8,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a leader chases a man .,a man is chased by a leader .,NA,full_sentence_processing,-5.0332183837890625,-4.97420072555542,0.05901765823364258,-35.23252868652344,-39.79360580444336,-4.561077117919922,7,8,passive,1,0,-0.05901765823364258,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,0.05901765823364258
9,processing_teacher_forced,passive,passive,a soldier is washed by a singer .,a president teaches a priest .,a priest is taught by a president .,a soldier is washed by a singer .,full_sentence_processing,-7.024330139160156,-4.540699481964111,2.483630657196045,-42.14598083496094,-36.32559585571289,5.820384979248047,6,8,passive,1,0,-2.483630657196045,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,2.483630657196045
9,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a president teaches a priest .,a priest is taught by a president .,NA,full_sentence_processing,-6.866461435953776,-5.0743303298950195,1.7921311060587568,-41.198768615722656,-40.59464263916016,0.6041259765625,6,8,passive,1,0,-1.7921311060587568,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,1.7921311060587568
10,processing_teacher_forced,passive,passive,a brother is bothered by a boy .,a winner understands a woman .,a woman is understood by a winner .,a brother is bothered by a boy .,full_sentence_processing,-7.01498285929362,-5.721604347229004,1.2933785120646162,-42.08989715576172,-45.77283477783203,-3.682937622070313,6,8,passive,1,0,-1.2933785120646162,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,1.2933785120646162
10,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a winner understands a woman .,a woman is understood by a winner .,NA,full_sentence_processing,-6.675301233927409,-5.605484962463379,1.0698162714640302,-40.05180740356445,-44.84387969970703,-4.792072296142578,6,8,passive,1,0,-1.0698162714640302,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,1.0698162714640302
11,processing_teacher_forced,passive,passive,a manager is washed by a man .,a woman beats a worker .,a worker is beaten by a woman .,a manager is washed by a man .,full_sentence_processing,-6.017506917317708,-3.6755690574646,2.3419378598531084,-36.10504150390625,-29.404552459716797,6.700489044189453,6,8,passive,1,0,-2.3419378598531084,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,2.3419378598531084
11,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a woman beats a worker .,a worker is beaten by a woman .,NA,full_sentence_processing,-5.95083745320638,-4.699933052062988,1.2509044011433916,-35.70502471923828,-37.599464416503906,-1.894439697265625,6,8,passive,1,0,-1.2509044011433916,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,1.2509044011433916
12,processing_teacher_forced,passive,passive,a teacher is described by a student .,a wife kisses a winner .,a winner is kissed by a wife .,a teacher is described by a student .,full_sentence_processing,-7.859174728393555,-5.681305885314941,2.1778688430786133,-47.15504837036133,-45.45044708251953,1.7046012878417969,6,8,passive,1,0,-2.1778688430786133,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,2.1778688430786133
12,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a wife kisses a winner .,a winner is kissed by a wife .,NA,full_sentence_processing,-6.989943186442058,-5.330256938934326,1.6596862475077314,-41.939659118652344,-42.64205551147461,-0.7023963928222656,6,8,passive,1,0,-1.6596862475077314,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,1.6596862475077314
13,processing_teacher_forced,passive,passive,a hero is raised by a guy .,a professor asks a reader .,a reader is asked by a professor .,a hero is raised by a guy .,full_sentence_processing,-7.202284495035808,-5.280417442321777,1.9218670527140305,-43.21370697021485,-42.24333953857422,0.970367431640625,6,8,passive,1,0,-1.9218670527140305,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,1.9218670527140305
13,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a professor asks a reader .,a reader is asked by a professor .,NA,full_sentence_processing,-6.528815587361653,-4.9149274826049805,1.6138881047566729,-39.17289352416992,-39.31941986083984,-0.14652633666992188,6,8,passive,1,0,-1.6138881047566729,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,1.6138881047566729
14,processing_teacher_forced,passive,passive,a mother is surprised by a minister .,a daughter describes a doctor .,a doctor is described by a daughter .,a mother is surprised by a minister .,full_sentence_processing,-6.150246302286784,-4.963742256164551,1.1865040461222334,-36.9014778137207,-39.709938049316406,-2.808460235595703,6,8,passive,1,0,-1.1865040461222334,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,1.1865040461222334
14,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a daughter describes a doctor .,a doctor is described by a daughter .,NA,full_sentence_processing,-6.486674626668294,-5.112560749053955,1.374113877614339,-38.920047760009766,-40.90048599243164,-1.980438232421875,6,8,passive,1,0,-1.374113877614339,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,no_prime_empty,1,1.374113877614339
15,processing_teacher_forced,passive,passive,a candidate is comforted by a buddy .,an author carries a bishop .,a bishop is carried by an author .,a candidate is comforted by a buddy .,full_sentence_processing,-7.592039744059245,-5.856339931488037,1.735699812571208,-45.55223846435547,-46.8507194519043,-1.298480987548828,6,8,passive,1,0,-1.735699812571208,gpt2_strict_core,GPT-2 strict-control CORE,gpt2-large,strict_control,core_core,passive,1,1.735699812571208
