prompt_column,prime_condition,generation_class_detailed_final,n_items,total_items,share
prompt_active,active,active_ditransitive_prepositional,2,2080,0.0009615384615384616
prompt_active,active,active_intransitive,5,2080,0.002403846153846154
prompt_active,active,active_intransitive_prepositional,11,2080,0.005288461538461539
prompt_active,active,active_other,5,2080,0.002403846153846154
prompt_active,active,active_target_ditransitive_like,1,2080,0.0004807692307692308
prompt_active,active,active_target_transitive_like,1770,2080,0.8509615384615384
prompt_active,active,active_transitive,135,2080,0.06490384615384616
prompt_active,active,other_prepositional_misc,14,2080,0.006730769230769231
prompt_active,active,other_unclassified,121,2080,0.058173076923076925
prompt_active,active,passive_short,1,2080,0.0004807692307692308
prompt_active,active,passive_target_by,15,2080,0.007211538461538462
prompt_filler,filler,active_intransitive,6,2080,0.0028846153846153848
prompt_filler,filler,active_intransitive_prepositional,254,2080,0.12211538461538461
prompt_filler,filler,active_other,25,2080,0.01201923076923077
prompt_filler,filler,active_progressive_intransitive,3,2080,0.0014423076923076924
prompt_filler,filler,active_progressive_intransitive_pp,4,2080,0.0019230769230769232
prompt_filler,filler,active_progressive_transitive,1,2080,0.0004807692307692308
prompt_filler,filler,active_target_ditransitive_like,9,2080,0.004326923076923077
prompt_filler,filler,active_target_transitive_like,531,2080,0.2552884615384615
prompt_filler,filler,active_transitive,343,2080,0.16490384615384615
prompt_filler,filler,active_transitive_with_pp,2,2080,0.0009615384615384616
prompt_filler,filler,copular_nominal,6,2080,0.0028846153846153848
prompt_filler,filler,copular_participial,2,2080,0.0009615384615384616
prompt_filler,filler,copular_prepositional,2,2080,0.0009615384615384616
prompt_filler,filler,other_coordinate_multiclause,3,2080,0.0014423076923076924
prompt_filler,filler,other_prepositional_misc,165,2080,0.07932692307692307
prompt_filler,filler,other_relative_identity_clause,7,2080,0.0033653846153846156
prompt_filler,filler,other_unclassified,137,2080,0.06586538461538462
prompt_filler,filler,passive_by,324,2080,0.15576923076923077
prompt_filler,filler,passive_short,201,2080,0.09663461538461539
prompt_filler,filler,passive_target_by,55,2080,0.026442307692307692
prompt_no_demo,no_demo,active_ditransitive_prepositional,6,2080,0.0028846153846153848
prompt_no_demo,no_demo,active_other,4,2080,0.0019230769230769232
prompt_no_demo,no_demo,active_progressive_ditransitive,6,2080,0.0028846153846153848
prompt_no_demo,no_demo,active_progressive_intransitive,22,2080,0.010576923076923078
prompt_no_demo,no_demo,active_progressive_intransitive_pp,14,2080,0.006730769230769231
prompt_no_demo,no_demo,active_progressive_transitive,40,2080,0.019230769230769232
prompt_no_demo,no_demo,active_target_ditransitive_like,34,2080,0.016346153846153847
prompt_no_demo,no_demo,active_target_transitive_like,670,2080,0.32211538461538464
prompt_no_demo,no_demo,active_transitive,114,2080,0.05480769230769231
prompt_no_demo,no_demo,active_transitive_with_pp,1,2080,0.0004807692307692308
prompt_no_demo,no_demo,copular_adjectival,17,2080,0.008173076923076924
prompt_no_demo,no_demo,copular_nominal,98,2080,0.047115384615384615
prompt_no_demo,no_demo,copular_participial,26,2080,0.0125
prompt_no_demo,no_demo,copular_prepositional,34,2080,0.016346153846153847
prompt_no_demo,no_demo,other_coordinate_multiclause,136,2080,0.06538461538461539
prompt_no_demo,no_demo,other_prepositional_misc,149,2080,0.07163461538461538
prompt_no_demo,no_demo,other_relative_identity_clause,174,2080,0.08365384615384615
prompt_no_demo,no_demo,other_unclassified,198,2080,0.09519230769230769
prompt_no_demo,no_demo,passive_by,207,2080,0.09951923076923076
prompt_no_demo,no_demo,passive_short,74,2080,0.035576923076923075
prompt_no_demo,no_demo,passive_target_by,56,2080,0.026923076923076925
prompt_passive,passive,active_intransitive,8,2080,0.0038461538461538464
prompt_passive,passive,active_intransitive_prepositional,2,2080,0.0009615384615384616
prompt_passive,passive,active_other,1,2080,0.0004807692307692308
prompt_passive,passive,active_progressive_intransitive,11,2080,0.005288461538461539
prompt_passive,passive,active_progressive_intransitive_pp,26,2080,0.0125
prompt_passive,passive,active_progressive_transitive,12,2080,0.0057692307692307696
prompt_passive,passive,active_target_ditransitive_like,2,2080,0.0009615384615384616
prompt_passive,passive,active_target_transitive_like,173,2080,0.08317307692307692
prompt_passive,passive,active_transitive,12,2080,0.0057692307692307696
prompt_passive,passive,copular_adjectival,4,2080,0.0019230769230769232
prompt_passive,passive,copular_nominal,22,2080,0.010576923076923078
prompt_passive,passive,copular_participial,1,2080,0.0004807692307692308
prompt_passive,passive,other_prepositional_misc,15,2080,0.007211538461538462
prompt_passive,passive,other_relative_identity_clause,4,2080,0.0019230769230769232
prompt_passive,passive,other_unclassified,10,2080,0.004807692307692308
prompt_passive,passive,passive_by,191,2080,0.09182692307692308
prompt_passive,passive,passive_progressive_by,9,2080,0.004326923076923077
prompt_passive,passive,passive_short,3,2080,0.0014423076923076924
prompt_passive,passive,passive_target_by,1541,2080,0.7408653846153846
prompt_passive,passive,passive_target_progressive_by,33,2080,0.015865384615384615
