item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator
0,processing_teacher_forced,active,active,a soldier understands a son .,a girl drags a guest .,a guest is dragged by a girl .,a soldier understands a son . ,full_sentence_processing,-5.142857142857143,-5.265625,-0.12276785714285676,-36.0,-42.125,-6.125,7,8,active,0.0
0,processing_teacher_forced,passive,passive,a son is understood by a soldier .,a girl drags a guest .,a guest is dragged by a girl .,a son is understood by a soldier . ,full_sentence_processing,-5.428571428571429,-4.671875,0.7566964285714288,-38.0,-37.375,0.625,7,8,passive,1.0
0,processing_teacher_forced,no_prime_eos,no_prime_eos,,a girl drags a guest .,a guest is dragged by a girl .,<|eot_id|> ,full_sentence_processing,-6.785714285714286,-6.71484375,0.07087053571428559,-47.5,-53.71875,-6.21875,7,8,passive,1.0
0,processing_teacher_forced,no_prime_empty,no_prime_empty,,a girl drags a guest .,a guest is dragged by a girl .,,full_sentence_processing,-6.129464285714286,-6.05859375,0.07087053571428559,-42.90625,-48.46875,-5.5625,7,8,passive,1.0
0,processing_teacher_forced,filler,filler,The witness paused near the doorway .,a girl drags a guest .,a guest is dragged by a girl .,The witness paused near the doorway . ,full_sentence_processing,-5.915178571428571,-5.20703125,0.7081473214285712,-41.40625,-41.65625,-0.25,7,8,passive,1.0
1,processing_teacher_forced,active,active,a daughter strikes a doctor .,a student beats a teacher .,a teacher is beaten by a student .,a daughter strikes a doctor . ,full_sentence_processing,-3.15625,-2.47265625,0.68359375,-18.9375,-19.78125,-0.84375,6,8,passive,1.0
1,processing_teacher_forced,passive,passive,a doctor is struck by a daughter .,a student beats a teacher .,a teacher is beaten by a student .,a doctor is struck by a daughter . ,full_sentence_processing,-3.5572916666666665,-2.173828125,1.3834635416666665,-21.34375,-17.390625,3.953125,6,8,passive,1.0
1,processing_teacher_forced,no_prime_eos,no_prime_eos,,a student beats a teacher .,a teacher is beaten by a student .,<|eot_id|> ,full_sentence_processing,-7.270833333333333,-5.38671875,1.884114583333333,-43.625,-43.09375,0.53125,6,8,passive,1.0
1,processing_teacher_forced,no_prime_empty,no_prime_empty,,a student beats a teacher .,a teacher is beaten by a student .,,full_sentence_processing,-5.921875,-4.2890625,1.6328125,-35.53125,-34.3125,1.21875,6,8,passive,1.0
1,processing_teacher_forced,filler,filler,The kettle whistled in the kitchen .,a student beats a teacher .,a teacher is beaten by a student .,The kettle whistled in the kitchen . ,full_sentence_processing,-6.130208333333333,-4.1328125,1.997395833333333,-36.78125,-33.0625,3.71875,6,8,passive,1.0
