model_name,model_condition,prompt_format_used,task,prime_condition,lexicality_condition,token_position,preference_token_logprob_mean,preference_token_logprob_std,n_tokens
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,0,0.20747137069702148,0.9873872478524742,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,1,4.397227540612221,1.760677900985075,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,2,-4.704763054847717,3.738923988641228,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,3,6.352852083742619,4.650961167096413,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,4,0.6066957074217498,0.3271685623181679,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,nonce,5,-2.814893091097474,0.4151859280752757,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,0,0.14182186126708984,0.6807913662932985,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,1,3.1642545759677887,1.403854976812228,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,2,-1.3977015714044683,2.6349952919103186,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,3,1.554050185077358,2.3950389682689415,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,4,0.6378635192522779,0.7412706592809654,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,5,-2.002889880735893,1.0466883327456213,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,6,-2.473479770314999,0.5889698578735977,312
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,active,real,7,-2.4397030025720596,0.3776432364777378,8
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,0,0.06174182891845703,0.48753857477908147,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,1,1.6916627883911133,1.3364620706169659,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,2,-3.9587470293045044,1.951647214184217,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,3,6.026356890797615,1.6099000941140846,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,4,1.3083824906498194,1.029042356703118,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,nonce,5,-2.4479459524154663,0.3827033307028904,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,0,0.055352210998535156,0.30050850800382306,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,1,1.0053218975663185,1.2566955539438363,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,2,-2.690789686399512,3.004480253931419,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,3,3.5065393563127145,3.048805387224287,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,4,1.3259049693588167,1.1521297219467552,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,5,-1.6073464403743856,1.0333789099191213,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,6,-2.0542391492770267,0.5324962808273134,312
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,real,7,-2.101092204451561,0.2101877691956358,8
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,0,0.06728124618530273,0.42224018203591107,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,1,2.2348656058311462,1.1579787201714815,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,2,-8.44965398311615,3.2337551034581384,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,3,8.264641284942627,2.9804801552198192,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,4,0.6351206209510565,1.2658073710715412,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,nonce,5,-2.8239698261022568,0.5383351298681334,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,0,0.06966209411621094,0.3590256742512658,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,1,1.478639394044876,1.1126215569957032,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,2,-2.8680674850475043,2.728068399110584,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,3,3.2145818108692765,2.7937050083056807,2048
meta-llama/Llama-3.2-3B-Instruct,Llama_32_3B_Instruct_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,real,4,0.9031737124314532,1.1470598292685996,2048
