item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,active,active,a student drags a teacher .,a girl drags a guest .,a guest is dragged by a girl .,a student drags a teacher .,full_sentence_processing,-4.360829762050083,-4.5010786056518555,-0.14024884360177214,-30.525808334350582,-36.008628845214844,-5.482820510864258,7,8,active,0,1,0.14024884360177214,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,1,0.14024884360177214
0,processing_teacher_forced,filler,filler,The witness paused near the doorway .,a girl drags a guest .,a guest is dragged by a girl .,The witness paused near the doorway .,full_sentence_processing,-6.902230398995536,-6.2293853759765625,0.6728450230189731,-48.31561279296875,-49.8350830078125,-1.51947021484375,7,8,passive,1,0,-0.6728450230189731,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,0,-0.6728450230189731
1,processing_teacher_forced,active,active,a guest beats a guy .,a student beats a teacher .,a teacher is beaten by a student .,a guest beats a guy .,full_sentence_processing,-4.353532473246257,-3.947134971618652,0.40639750162760446,-26.12119483947754,-31.57707977294922,-5.45588493347168,6,8,passive,1,0,-0.40639750162760446,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,0,-0.40639750162760446
1,processing_teacher_forced,filler,filler,The kettle whistled in the kitchen .,a student beats a teacher .,a teacher is beaten by a student .,The kettle whistled in the kitchen .,full_sentence_processing,-7.557712554931641,-5.5361762046813965,2.021536350250244,-45.34627532958984,-44.28940963745117,1.056865692138672,6,8,passive,1,0,-2.021536350250244,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,0,-2.021536350250244
2,processing_teacher_forced,active,active,an aunt kills an author .,a mayor kills a minister .,a minister is killed by a mayor .,an aunt kills an author .,full_sentence_processing,-5.514424006144206,-4.90871000289917,0.6057140032450361,-33.086544036865234,-39.26968002319336,-6.183135986328125,6,8,passive,1,0,-0.6057140032450361,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,0,-0.6057140032450361
2,processing_teacher_forced,filler,filler,The sculpture stood in the hallway .,a mayor kills a minister .,a minister is killed by a mayor .,The sculpture stood in the hallway .,full_sentence_processing,-8.04637082417806,-6.57145881652832,1.4749120076497402,-48.27822494506836,-52.57167053222656,-4.293445587158203,6,8,passive,1,0,-1.4749120076497402,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,0,-1.4749120076497402
3,processing_teacher_forced,active,active,a wife hurries a winner .,a hero hurries a husband .,a husband is hurried by a hero .,a wife hurries a winner .,full_sentence_processing,-4.789584568568638,-4.738839626312256,0.05074494225638215,-33.52709197998047,-37.91071701049805,-4.383625030517578,7,8,passive,1,0,-0.05074494225638215,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,0,-0.05074494225638215
3,processing_teacher_forced,filler,filler,The tourist wandered through the plaza .,a hero hurries a husband .,a husband is hurried by a hero .,The tourist wandered through the plaza .,full_sentence_processing,-8.030788966587611,-6.9840779304504395,1.0467110361371716,-56.21552276611328,-55.87262344360352,0.3428993225097656,7,8,passive,1,0,-1.0467110361371716,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,0,-1.0467110361371716
4,processing_teacher_forced,active,active,a wife judges a winner .,a hero judges a husband .,a husband is judged by a hero .,a wife judges a winner .,full_sentence_processing,-5.965309778849284,-4.712291240692139,1.2530185381571457,-35.7918586730957,-37.69832992553711,-1.9064712524414065,6,8,passive,1,0,-1.2530185381571457,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,0,-1.2530185381571457
4,processing_teacher_forced,filler,filler,The traveler rested beside the river .,a hero judges a husband .,a husband is judged by a hero .,The traveler rested beside the river .,full_sentence_processing,-8.555095036824545,-6.603030204772949,1.9520648320515956,-51.330570220947266,-52.824241638183594,-1.493671417236328,6,8,passive,1,0,-1.9520648320515956,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,0,-1.9520648320515956
5,processing_teacher_forced,active,active,a president drags a priest .,a champion drags a chief .,a chief is dragged by a champion .,a president drags a priest .,full_sentence_processing,-5.112794058663504,-5.084874629974365,0.0279194286891391,-35.78955841064453,-40.67899703979492,-4.889438629150391,7,8,passive,1,0,-0.0279194286891391,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,0,-0.0279194286891391
5,processing_teacher_forced,filler,filler,The package arrived before noon .,a champion drags a chief .,a chief is dragged by a champion .,The package arrived before noon .,full_sentence_processing,-8.175597599574498,-7.711282253265381,0.4643153463091174,-57.22918319702149,-61.69025802612305,-4.4610748291015625,7,8,passive,1,0,-0.4643153463091174,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,0,-0.4643153463091174
6,processing_teacher_forced,active,active,a buddy destroys a candidate .,a parent destroys a partner .,a partner is destroyed by a parent .,a buddy destroys a candidate .,full_sentence_processing,-5.46005376180013,-4.757000923156738,0.7030528386433916,-32.76032257080078,-38.056007385253906,-5.295684814453125,6,8,passive,1,0,-0.7030528386433916,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,0,-0.7030528386433916
6,processing_teacher_forced,filler,filler,The package arrived before noon .,a parent destroys a partner .,a partner is destroyed by a parent .,The package arrived before noon .,full_sentence_processing,-9.215496063232422,-7.068758010864258,2.146738052368164,-55.29297637939453,-56.55006408691406,-1.2570877075195312,6,8,passive,1,0,-2.146738052368164,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,0,-2.146738052368164
7,processing_teacher_forced,active,active,a boy discovers a brother .,a nurse discovers an opponent .,an opponent is discovered by a nurse .,a boy discovers a brother .,full_sentence_processing,-5.900664647420247,-5.634629249572754,0.2660353978474932,-35.403987884521484,-45.07703399658203,-9.673046112060549,6,8,passive,1,0,-0.2660353978474932,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,0,-0.2660353978474932
7,processing_teacher_forced,filler,filler,The blanket dried on the line .,a nurse discovers an opponent .,an opponent is discovered by a nurse .,The blanket dried on the line .,full_sentence_processing,-8.943890253702799,-6.719635486602783,2.2242547671000157,-53.6633415222168,-53.757083892822266,-0.09374237060546876,6,8,passive,1,0,-2.2242547671000157,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,0,-2.2242547671000157
8,processing_teacher_forced,active,active,an actress chases an adult .,a leader chases a man .,a man is chased by a leader .,an actress chases an adult .,full_sentence_processing,-5.112964630126953,-4.954176902770996,0.15878772735595703,-35.79075241088867,-39.63341522216797,-3.842662811279297,7,8,passive,1,0,-0.15878772735595703,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,0,-0.15878772735595703
8,processing_teacher_forced,filler,filler,The teacher listened during assembly .,a leader chases a man .,a man is chased by a leader .,The teacher listened during assembly .,full_sentence_processing,-6.529122488839286,-5.959993362426758,0.5691291264125278,-45.703857421875,-47.67994689941406,-1.9760894775390625,7,8,passive,1,0,-0.5691291264125278,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,0,-0.5691291264125278
9,processing_teacher_forced,active,active,a chief teaches a child .,a president teaches a priest .,a priest is taught by a president .,a chief teaches a child .,full_sentence_processing,-5.769744873046875,-5.081370830535889,0.6883740425109863,-34.61846923828125,-40.65096664428711,-6.032497406005859,6,8,passive,1,0,-0.6883740425109863,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,0,-0.6883740425109863
9,processing_teacher_forced,filler,filler,The lantern glowed near sunset .,a president teaches a priest .,a priest is taught by a president .,The lantern glowed near sunset .,full_sentence_processing,-8.253073374430338,-6.735771179199219,1.5173021952311192,-49.51844024658203,-53.88616943359375,-4.367729187011719,6,8,passive,1,0,-1.5173021952311192,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,0,-1.5173021952311192
10,processing_teacher_forced,active,active,a kid understands a king .,a winner understands a woman .,a woman is understood by a winner .,a kid understands a king .,full_sentence_processing,-5.198091506958008,-5.33933162689209,-0.14124011993408203,-31.188549041748047,-42.71465301513672,-11.526103973388672,6,8,active,0,1,0.14124011993408203,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,1,0.14124011993408203
10,processing_teacher_forced,filler,filler,The pillow rested on the sofa .,a winner understands a woman .,a woman is understood by a winner .,The pillow rested on the sofa .,full_sentence_processing,-8.231658299763998,-7.343199253082275,0.8884590466817226,-49.389949798583984,-58.7455940246582,-9.35564422607422,6,8,passive,1,0,-0.8884590466817226,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,filler,0,-0.8884590466817226
11,processing_teacher_forced,active,active,a king beats a lady .,a woman beats a worker .,a worker is beaten by a woman .,a king beats a lady .,full_sentence_processing,-5.0009050369262695,-4.348451614379883,0.6524534225463867,-30.005430221557617,-34.78761291503906,-4.782182693481445,6,8,passive,1,0,-0.6524534225463867,gpt2_overlap_core,GPT-2 lexical-overlap CORE,gpt2-large,lexical_overlap,core_core,active,0,-0.6524534225463867
