prompt_column,prime_condition,generation_class_lax_final,n_items,total_items,share
prompt_active,active,active,1146,2048,0.5595703125
prompt_active,active,other,735,2048,0.35888671875
prompt_active,active,passive,167,2048,0.08154296875
prompt_filler,filler,active,380,2048,0.185546875
prompt_filler,filler,other,1545,2048,0.75439453125
prompt_filler,filler,passive,123,2048,0.06005859375
prompt_no_prime,no_prime,active,980,2048,0.478515625
prompt_no_prime,no_prime,other,1039,2048,0.50732421875
prompt_no_prime,no_prime,passive,29,2048,0.01416015625
prompt_passive,passive,active,255,2048,0.12451171875
prompt_passive,passive,other,1238,2048,0.6044921875
prompt_passive,passive,passive,555,2048,0.27099609375
