condition,target_structure,token_index,n_items,mean_token_pe,sd_token_pe,mean_congruent_log_prob,mean_incongruent_log_prob,post_divergence_rate,structure_region_rate
CORE,active,0,15000,-0.2602071919441223,0.5677815584632558,-8.396189588960011,-8.135982397015889,0.1353333333333333,0.0
CORE,active,1,15000,-0.0226631501833597,0.6070667827100003,-8.554383524767557,-8.531720374584198,1.0,0.0
CORE,active,2,15000,0.137599299899737,0.6749297000461062,-10.858729306840896,-10.996328606740631,1.0,1.0
CORE,active,3,15000,0.0203181530607243,0.3860961550638576,-2.4032236497932424,-2.4235418028539666,1.0,1.0
CORE,active,4,15000,0.0748850227594375,0.481480036619233,-7.928780445321401,-8.003665468080838,1.0,1.0
CORE,active,5,15000,0.2225413301706314,0.5175710669580124,-4.192324515954653,-4.414865846125285,1.0,1.0
CORE,active,6,1330,0.2059064088011146,0.4400006349300541,-3.793908913153455,-3.9998153219545696,1.0,1.0
CORE,passive,0,15000,0.2592123693466187,0.5678387516807979,-8.119749384880066,-8.378961754226685,0.1353333333333333,0.0
CORE,passive,1,15000,-0.0044445344289143,0.5769525705339463,-9.222505499108632,-9.21806096467972,1.0,0.0
CORE,passive,2,15000,0.1757483731031418,0.5164937159624164,-4.317017687002818,-4.49276606010596,1.0,1.0
CORE,passive,3,15000,0.2500887640317281,0.5926692438335938,-8.458663374328614,-8.70875213836034,1.0,1.0
CORE,passive,4,15000,0.3689924590800889,0.3643343308520476,-1.9656383039869056,-2.3346307630669947,1.0,1.0
CORE,passive,5,15000,-0.0394897384603818,0.2320873899918291,-1.824610985866189,-1.7851212474058071,1.0,1.0
CORE,passive,6,15000,0.021777519651254,0.5016479425436741,-7.984510749085744,-8.006288268736999,1.0,1.0
CORE,passive,7,15000,0.3609949688871701,0.4471577873048338,-3.0319137773394584,-3.3929087462266287,1.0,1.0
CORE,passive,8,250,0.3359284934997558,0.5631430748163992,-3.1306037669181825,-3.4665322604179383,1.0,1.0
jabberwocky,active,0,15000,-0.8599499413808187,0.7892717877446116,-6.692528136221568,-5.832578194840749,0.0,0.0
jabberwocky,active,1,15000,-0.2440208836158116,0.6050455855590042,-5.803490625031789,-5.5594697414159775,0.8992,0.0
jabberwocky,active,2,15000,0.0412645990553001,0.6525464481007818,-7.0497157010518015,-7.090980300107102,0.9932666666666666,0.0
jabberwocky,active,3,15000,-0.1394686160395542,0.6198613477556556,-7.433569054468721,-7.294100438429167,0.9981333333333332,0.0
jabberwocky,active,4,15000,0.0392074445486068,0.6203990091298478,-6.879722529522578,-6.918929974071185,1.0,0.0
jabberwocky,active,5,15000,0.2663358120379349,0.6442016093844958,-5.807230060616384,-6.073565872654319,1.0,0.5585333333333333
jabberwocky,active,6,15000,0.1995152104427417,0.5777982546950251,-6.991664106967052,-7.1911793174097935,1.0,1.0
jabberwocky,active,7,15000,-0.0081412627525627,0.4795719432723624,-7.219285456043234,-7.211144193290671,1.0,1.0
jabberwocky,active,8,15000,-0.042560707634439,0.5682288624396264,-7.181663891072572,-7.139103183438132,1.0,1.0
jabberwocky,active,9,15000,-0.2269055019021034,0.7785437647150809,-7.6862569044431055,-7.459351402541001,1.0,1.0
jabberwocky,active,10,15000,-0.487734395168225,0.9168183530636485,-6.215281478520234,-5.727547083352009,1.0,1.0
jabberwocky,active,11,15000,-0.2765898622165124,0.7844964678167623,-5.019644463766615,-4.743054601550102,1.0,1.0
jabberwocky,active,12,15000,0.0009270869873464,0.3895537166038192,-5.861198343529304,-5.862125430516651,1.0,1.0
jabberwocky,active,13,15000,-0.0207396295788387,0.3910811701419782,-6.518314649564028,-6.497575019985189,1.0,1.0
jabberwocky,active,14,15000,-0.0263265219012896,0.4252702849620702,-6.107902675879995,-6.081576153978705,1.0,1.0
jabberwocky,active,15,13742,-0.010667525339189,0.5015758434908157,-4.801078697754087,-4.790411172414898,1.0,1.0
jabberwocky,active,16,8411,-0.0738015260391053,0.5643527661391257,-3.7924369753245055,-3.7186354492854,1.0,1.0
jabberwocky,active,17,2061,-0.1448385699867681,0.5869758385036448,-3.5843686778125456,-3.4395301078257776,1.0,1.0
jabberwocky,passive,0,15000,0.8599499413808187,0.7892717877446116,-5.832578194840749,-6.692528136221568,0.0,0.0
jabberwocky,passive,1,15000,0.2443223605116208,0.6048574577660694,-5.5302566902001695,-5.774579050711791,0.8992,0.0
jabberwocky,passive,2,15000,-0.0459410542103151,0.6476322009829724,-7.073629305077344,-7.027688250867029,0.9932666666666666,0.0
jabberwocky,passive,3,15000,0.1443076823251942,0.627728165111075,-7.256491923363755,-7.40079960568895,0.9981333333333332,0.0
jabberwocky,passive,4,15000,-0.0372091768383979,0.6090298233897506,-6.914258750950793,-6.877049574112395,1.0,0.0
