prompt_column,prime_condition,generation_class_strict,n_items,total_items,share
prompt_active,active,active,1950,2048,0.9521484375
prompt_active,active,other,98,2048,0.0478515625
prompt_filler,filler,active,686,2048,0.3349609375
prompt_filler,filler,other,1127,2048,0.55029296875
prompt_filler,filler,passive,235,2048,0.11474609375
prompt_no_prime,no_prime,active,771,2048,0.37646484375
prompt_no_prime,no_prime,other,1003,2048,0.48974609375
prompt_no_prime,no_prime,passive,274,2048,0.1337890625
prompt_passive,passive,active,373,2048,0.18212890625
prompt_passive,passive,other,56,2048,0.02734375
prompt_passive,passive,passive,1619,2048,0.79052734375
