item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,active,active,a soldier understands a son .,a girl drags a guest .,a guest is dragged by a girl .,a soldier understands a son .,full_sentence_processing,-5.142857142857143,-5.265625,-0.12276785714285676,-36,-42.125,-6.125,7,8,active,0,1,0.12276785714285676,llama_strict_core,LLaMA lexically controlled CORE,llama,strict_control,core_core,active,0,-0.12276785714285676
0,processing_teacher_forced,passive,passive,a son is understood by a soldier .,a girl drags a guest .,a guest is dragged by a girl .,a son is understood by a soldier .,full_sentence_processing,-5.428571428571429,-4.671875,0.7566964285714288,-38,-37.375,0.625,7,8,passive,1,0,-0.7566964285714288,llama_strict_core,LLaMA lexically controlled CORE,llama,strict_control,core_core,passive,1,0.7566964285714288
1,processing_teacher_forced,active,active,a daughter strikes a doctor .,a student beats a teacher .,a teacher is beaten by a student .,a daughter strikes a doctor .,full_sentence_processing,-3.15625,-2.47265625,0.68359375,-18.9375,-19.78125,-0.84375,6,8,passive,1,0,-0.68359375,llama_strict_core,LLaMA lexically controlled CORE,llama,strict_control,core_core,active,1,0.68359375
1,processing_teacher_forced,passive,passive,a doctor is struck by a daughter .,a student beats a teacher .,a teacher is beaten by a student .,a doctor is struck by a daughter .,full_sentence_processing,-3.5572916666666665,-2.173828125,1.3834635416666663,-21.34375,-17.390625,3.953125,6,8,passive,1,0,-1.3834635416666663,llama_strict_core,LLaMA lexically controlled CORE,llama,strict_control,core_core,passive,1,1.3834635416666663
2,processing_teacher_forced,active,active,an actor protects an actress .,a mayor kills a minister .,a minister is killed by a mayor .,an actor protects an actress .,full_sentence_processing,-4.880208333333333,-4.2734375,0.606770833333333,-29.28125,-34.1875,-4.90625,6,8,passive,1,0,-0.606770833333333,llama_strict_core,LLaMA lexically controlled CORE,llama,strict_control,core_core,active,1,0.606770833333333
2,processing_teacher_forced,passive,passive,an actress is protected by an actor .,a mayor kills a minister .,a minister is killed by a mayor .,an actress is protected by an actor .,full_sentence_processing,-5.375,-3.96875,1.40625,-32.25,-31.75,0.5,6,8,passive,1,0,-1.40625,llama_strict_core,LLaMA lexically controlled CORE,llama,strict_control,core_core,passive,1,1.40625
3,processing_teacher_forced,active,active,a cop kills a cousin .,a hero hurries a husband .,a husband is hurried by a hero .,a cop kills a cousin .,full_sentence_processing,-5.852678571428571,-5.5390625,0.3136160714285712,-40.96875,-44.3125,-3.34375,7,8,passive,1,0,-0.3136160714285712,llama_strict_core,LLaMA lexically controlled CORE,llama,strict_control,core_core,active,1,0.3136160714285712
3,processing_teacher_forced,passive,passive,a cousin is killed by a cop .,a hero hurries a husband .,a husband is hurried by a hero .,a cousin is killed by a cop .,full_sentence_processing,-6.754464285714286,-5.8125,0.9419642857142856,-47.28125,-46.5,0.78125,7,8,passive,1,0,-0.9419642857142856,llama_strict_core,LLaMA lexically controlled CORE,llama,strict_control,core_core,passive,1,0.9419642857142856
4,processing_teacher_forced,active,active,a lawyer bothers a leader .,a hero judges a husband .,a husband is judged by a hero .,a lawyer bothers a leader .,full_sentence_processing,-5.609375,-4.76171875,0.84765625,-33.65625,-38.09375,-4.4375,6,8,passive,1,0,-0.84765625,llama_strict_core,LLaMA lexically controlled CORE,llama,strict_control,core_core,active,1,0.84765625
4,processing_teacher_forced,passive,passive,a leader is bothered by a lawyer .,a hero judges a husband .,a husband is judged by a hero .,a leader is bothered by a lawyer .,full_sentence_processing,-6.208333333333333,-4.57421875,1.634114583333333,-37.25,-36.59375,0.65625,6,8,passive,1,0,-1.634114583333333,llama_strict_core,LLaMA lexically controlled CORE,llama,strict_control,core_core,passive,1,1.634114583333333
5,processing_teacher_forced,active,active,a parent hurries a partner .,a champion drags a chief .,a chief is dragged by a champion .,a parent hurries a partner .,full_sentence_processing,-4.8125,-4.7890625,0.0234375,-33.6875,-38.3125,-4.625,7,8,passive,1,0,-0.0234375,llama_strict_core,LLaMA lexically controlled CORE,llama,strict_control,core_core,active,1,0.0234375
5,processing_teacher_forced,passive,passive,a partner is hurried by a parent .,a champion drags a chief .,a chief is dragged by a champion .,a partner is hurried by a parent .,full_sentence_processing,-5.191964285714286,-4.1640625,1.0279017857142856,-36.34375,-33.3125,3.03125,7,8,passive,1,0,-1.0279017857142856,llama_strict_core,LLaMA lexically controlled CORE,llama,strict_control,core_core,passive,1,1.0279017857142856
6,processing_teacher_forced,active,active,a champion forgives a chief .,a parent destroys a partner .,a partner is destroyed by a parent .,a champion forgives a chief .,full_sentence_processing,-5.458333333333333,-4.25,1.208333333333333,-32.75,-34,-1.25,6,8,passive,1,0,-1.208333333333333,llama_strict_core,LLaMA lexically controlled CORE,llama,strict_control,core_core,active,1,1.208333333333333
