item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,generation_class
0,prompt_active,active,a girl drags a guest .,a guest is dragged by a girl .,The girl dragged the guest .,active_structural
0,prompt_passive,passive,a girl drags a guest .,a guest is dragged by a girl .,The guest was dragged by a girl .,passive_structural
0,prompt_no_demo,no_demo,a girl drags a guest .,a guest is dragged by a girl .,The girl dragged the guest .,active_structural
0,prompt_filler,filler,a girl drags a guest .,a guest is dragged by a girl .,The girl dragged the guest .,active_structural
1,prompt_active,active,a student beats a teacher .,a teacher is beaten by a student .,The student beats the teacher .,active_structural
1,prompt_passive,passive,a student beats a teacher .,a teacher is beaten by a student .,The teacher was beaten by a student .,passive_structural
1,prompt_no_demo,no_demo,a student beats a teacher .,a teacher is beaten by a student .,The student was beaten by the teacher .,other
1,prompt_filler,filler,a student beats a teacher .,a teacher is beaten by a student .,The student hit the teacher .,other
2,prompt_active,active,a mayor kills a minister .,a minister is killed by a mayor .,The mayor killed the minister .,active_structural
2,prompt_passive,passive,a mayor kills a minister .,a minister is killed by a mayor .,The mayor killed the minister .,active_structural
2,prompt_no_demo,no_demo,a mayor kills a minister .,a minister is killed by a mayor .,The mayor killed the minister .,active_structural
2,prompt_filler,filler,a mayor kills a minister .,a minister is killed by a mayor .,The minister was killed .,other
3,prompt_active,active,a hero hurries a husband .,a husband is hurried by a hero .,The husband was killed by a hero .,other
3,prompt_passive,passive,a hero hurries a husband .,a husband is hurried by a hero .,The husband was saved by a hero .,other
3,prompt_no_demo,no_demo,a hero hurries a husband .,a husband is hurried by a hero .,"The husband was a hero, and the hero was a husband .",other
3,prompt_filler,filler,a hero hurries a husband .,a husband is hurried by a hero .,The husband was rescued by the hero .,other
4,prompt_active,active,a hero judges a husband .,a husband is judged by a hero .,The hero judges a husband .,active_structural
4,prompt_passive,passive,a hero judges a husband .,a husband is judged by a hero .,The hero judged the husband .,active_structural
4,prompt_no_demo,no_demo,a hero judges a husband .,a husband is judged by a hero .,The hero was married to the husband .,other
4,prompt_filler,filler,a hero judges a husband .,a husband is judged by a hero .,The hero was married .,other
5,prompt_active,active,a champion drags a chief .,a chief is dragged by a champion .,The champion drags the chief .,active_structural
5,prompt_passive,passive,a champion drags a chief .,a chief is dragged by a champion .,The chief is dragged by the champion .,passive_structural
5,prompt_no_demo,no_demo,a champion drags a chief .,a chief is dragged by a champion .,The chief was dragged by the champion .,passive_structural
5,prompt_filler,filler,a champion drags a chief .,a chief is dragged by a champion .,The champion was dragged by the chief .,other
6,prompt_active,active,a parent destroys a partner .,a partner is destroyed by a parent .,The parent destroyed the partner .,active_structural
6,prompt_passive,passive,a parent destroys a partner .,a partner is destroyed by a parent .,The partner was destroyed by the parent .,passive_structural
6,prompt_no_demo,no_demo,a parent destroys a partner .,a partner is destroyed by a parent .,The parent was destroyed by the partner .,other
6,prompt_filler,filler,a parent destroys a partner .,a partner is destroyed by a parent .,The engine was destroyed .,other
7,prompt_active,active,a nurse discovers an opponent .,an opponent is discovered by a nurse .,The nurse discovers an opponent .,active_structural
7,prompt_passive,passive,a nurse discovers an opponent .,an opponent is discovered by a nurse .,The opponent was struck by a nurse .,other
7,prompt_no_demo,no_demo,a nurse discovers an opponent .,an opponent is discovered by a nurse .,The nurse was attacked by an opponent .,other
7,prompt_filler,filler,a nurse discovers an opponent .,an opponent is discovered by a nurse .,The nurse discovered the opponent .,active_structural
8,prompt_active,active,a leader chases a man .,a man is chased by a leader .,The leader chases a man .,active_structural
8,prompt_passive,passive,a leader chases a man .,a man is chased by a leader .,The man is chased by a leader .,passive_structural
8,prompt_no_demo,no_demo,a leader chases a man .,a man is chased by a leader .,The leader was chased by the man .,other
8,prompt_filler,filler,a leader chases a man .,a man is chased by a leader .,The leader was chased by the man .,other
9,prompt_active,active,a president teaches a priest .,a priest is taught by a president .,The president taught the priest .,active_structural
9,prompt_passive,passive,a president teaches a priest .,a priest is taught by a president .,The president taught the priest .,active_structural
9,prompt_no_demo,no_demo,a president teaches a priest .,a priest is taught by a president .,"The president was the one who did it, and the priest was the one who was affected by it .",other
9,prompt_filler,filler,a president teaches a priest .,a priest is taught by a president .,The president was taught by the priest .,other
10,prompt_active,active,a winner understands a woman .,a woman is understood by a winner .,The winner understands a woman .,active_structural
10,prompt_passive,passive,a winner understands a woman .,a woman is understood by a winner .,The winner understands the woman .,active_structural
10,prompt_no_demo,no_demo,a winner understands a woman .,a woman is understood by a winner .,The winner won the event .,other
10,prompt_filler,filler,a winner understands a woman .,a woman is understood by a winner .,The baker won the contest .,other
11,prompt_active,active,a woman beats a worker .,a worker is beaten by a woman .,The worker was beaten by a woman .,passive_structural
11,prompt_passive,passive,a woman beats a worker .,a worker is beaten by a woman .,The worker was beaten by a woman .,passive_structural
11,prompt_no_demo,no_demo,a woman beats a worker .,a worker is beaten by a woman .,The woman who was beaten was a worker .,active_structural
11,prompt_filler,filler,a woman beats a worker .,a worker is beaten by a woman .,The signal flickered across the screen .,other
12,prompt_active,active,a wife kisses a winner .,a winner is kissed by a wife .,The wife kissed the winner .,active_structural
12,prompt_passive,passive,a wife kisses a winner .,a winner is kissed by a wife .,The winner is kissed by a wife .,passive_structural
12,prompt_no_demo,no_demo,a wife kisses a winner .,a winner is kissed by a wife .,The winner kissed the wife .,other
12,prompt_filler,filler,a wife kisses a winner .,a winner is kissed by a wife .,The winner kissed the wife .,other
13,prompt_active,active,a professor asks a reader .,a reader is asked by a professor .,The professor reads to the reader .,other
13,prompt_passive,passive,a professor asks a reader .,a reader is asked by a professor .,The reader was read by the professor .,other
13,prompt_no_demo,no_demo,a professor asks a reader .,a reader is asked by a professor .,The professor was the one who did it .,other
13,prompt_filler,filler,a professor asks a reader .,a reader is asked by a professor .,The professor asked the reader a question .,active_structural
14,prompt_active,active,a daughter describes a doctor .,a doctor is described by a daughter .,The daughter describes the doctor .,active_structural
14,prompt_passive,passive,a daughter describes a doctor .,a doctor is described by a daughter .,The doctor was described by a daughter .,passive_structural
14,prompt_no_demo,no_demo,a daughter describes a doctor .,a doctor is described by a daughter .,The doctor was describing the event to me .,other
14,prompt_filler,filler,a daughter describes a doctor .,a doctor is described by a daughter .,The doctor was cured .,other
15,prompt_active,active,an author carries a bishop .,a bishop is carried by an author .,The author carries the bishop .,active_structural
15,prompt_passive,passive,an author carries a bishop .,a bishop is carried by an author .,The bishop was carried by the author .,passive_structural
15,prompt_no_demo,no_demo,an author carries a bishop .,a bishop is carried by an author .,The author was carrying the bishop .,active_structural
15,prompt_filler,filler,an author carries a bishop .,a bishop is carried by an author .,The bishop was carried .,other
16,prompt_active,active,a parent joins a partner .,a partner is joined by a parent .,The partner joined a parent .,other
16,prompt_passive,passive,a parent joins a partner .,a partner is joined by a parent .,The partner is joined to the parent .,other
16,prompt_no_demo,no_demo,a parent joins a partner .,a partner is joined by a parent .,The parent and partner joined together .,other
16,prompt_filler,filler,a parent joins a partner .,a partner is joined by a parent .,The radio crackled in the attic .,other
17,prompt_active,active,a hero protects a husband .,a husband is protected by a hero .,The hero protected the husband .,active_structural
17,prompt_passive,passive,a hero protects a husband .,a husband is protected by a hero .,The husband is protected by a hero .,passive_structural
17,prompt_no_demo,no_demo,a hero protects a husband .,a husband is protected by a hero .,The husband was protected by the hero .,passive_structural
17,prompt_filler,filler,a hero protects a husband .,a husband is protected by a hero .,The witness paused near the doorway .,other
18,prompt_active,active,a student hurts a teacher .,a teacher is hurt by a student .,The student hurt the teacher .,active_structural
18,prompt_passive,passive,a student hurts a teacher .,a teacher is hurt by a student .,The teacher was hurt by a student .,passive_structural
18,prompt_no_demo,no_demo,a student hurts a teacher .,a teacher is hurt by a student .,The student who hurt the teacher was a boy .,active_structural
18,prompt_filler,filler,a student hurts a teacher .,a teacher is hurt by a student .,The student hit the teacher .,other
19,prompt_active,active,a daughter protects a doctor .,a doctor is protected by a daughter .,The daughter protects the doctor .,active_structural
19,prompt_passive,passive,a daughter protects a doctor .,a doctor is protected by a daughter .,The doctor was protected by a daughter .,passive_structural
19,prompt_no_demo,no_demo,a daughter protects a doctor .,a doctor is protected by a daughter .,The doctor was protecting his daughter .,other
19,prompt_filler,filler,a daughter protects a doctor .,a doctor is protected by a daughter .,The doctor was protected .,other
20,prompt_active,active,a professor kills a reader .,a reader is killed by a professor .,The professor killed the reader .,active_structural
20,prompt_passive,passive,a professor kills a reader .,a reader is killed by a professor .,The reader was killed by a professor .,passive_structural
20,prompt_no_demo,no_demo,a professor kills a reader .,a reader is killed by a professor .,The professor was killed by the reader .,other
20,prompt_filler,filler,a professor kills a reader .,a reader is killed by a professor .,The professor was killed by the reader .,other
21,prompt_active,active,an author kisses a bishop .,a bishop is kissed by an author .,The author kissed the bishop .,active_structural
21,prompt_passive,passive,an author kisses a bishop .,a bishop is kissed by an author .,The author kissed the bishop .,active_structural
21,prompt_no_demo,no_demo,an author kisses a bishop .,a bishop is kissed by an author .,The author kissed the bishop .,active_structural
21,prompt_filler,filler,an author kisses a bishop .,a bishop is kissed by an author .,The bishop kissed the author .,other
22,prompt_active,active,a parent describes a partner .,a partner is described by a parent .,The parent describes a partner .,active_structural
22,prompt_passive,passive,a parent describes a partner .,a partner is described by a parent .,The partner is described by a parent .,passive_structural
22,prompt_no_demo,no_demo,a parent describes a partner .,a partner is described by a parent .,The partner was upset because the parent was late .,other
22,prompt_filler,filler,a parent describes a partner .,a partner is described by a parent .,The violin echoed in the theater .,other
23,prompt_active,active,a doctor forgives an employee .,an employee is forgiven by a doctor .,The doctor forgives the employee .,active_structural
23,prompt_passive,passive,a doctor forgives an employee .,an employee is forgiven by a doctor .,The doctor forgave the employee .,other
23,prompt_no_demo,no_demo,a doctor forgives an employee .,an employee is forgiven by a doctor .,"The doctor was forgiving, but the employee was not .",other
23,prompt_filler,filler,a doctor forgives an employee .,an employee is forgiven by a doctor .,The doctor gave the employee a raise .,other
24,prompt_active,active,a doctor strikes an employee .,an employee is struck by a doctor .,The doctor performed a striking event on the employee .,other
24,prompt_passive,passive,a doctor strikes an employee .,an employee is struck by a doctor .,The doctor is striking .,other
24,prompt_no_demo,no_demo,a doctor strikes an employee .,an employee is struck by a doctor .,The doctor was attacked by an employee .,other
24,prompt_filler,filler,a doctor strikes an employee .,an employee is struck by a doctor .,The doctor gave the employee a shot .,other
25,prompt_active,active,a lawyer helps a leader .,a leader is helped by a lawyer .,The lawyer helped the leader .,active_structural
25,prompt_passive,passive,a lawyer helps a leader .,a leader is helped by a lawyer .,The leader is helped by a lawyer .,passive_structural
25,prompt_no_demo,no_demo,a lawyer helps a leader .,a leader is helped by a lawyer .,The lawyer helped the leader .,active_structural
25,prompt_filler,filler,a lawyer helps a leader .,a leader is helped by a lawyer .,The lawyer helped the leader .,active_structural
26,prompt_active,active,an employer comforts a father .,a father is comforted by an employer .,The employer comforts the father .,active_structural
26,prompt_passive,passive,an employer comforts a father .,a father is comforted by an employer .,The father is comforted by the employer .,passive_structural
26,prompt_no_demo,no_demo,an employer comforts a father .,a father is comforted by an employer .,The father was fired .,other
26,prompt_filler,filler,an employer comforts a father .,a father is comforted by an employer .,The father got a promotion .,other
27,prompt_active,active,a scientist discovers a secretary .,a secretary is discovered by a scientist .,The scientist discovered a secretary .,active_structural
27,prompt_passive,passive,a scientist discovers a secretary .,a secretary is discovered by a scientist .,The scientist discovered something .,other
27,prompt_no_demo,no_demo,a scientist discovers a secretary .,a secretary is discovered by a scientist .,The scientist discovered something .,other
