item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator,active_choice_indicator,active_minus_passive_logprob,dataset_id,dataset_label,model_family,variant,condition_key,comparison_condition,response_choice,response_logprob
0,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,<|endoftext|>,full_sentence_processing,-8.067663753733916,-7.270670037520559,0.7969937162133567,-137.15028381347656,-138.14273071289062,-0.9924468994140624,17,19,passive,1,0,-0.7969937162133567,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,0.7969937162133567
0,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,NA,full_sentence_processing,-7.486386916216682,-6.785236559416118,0.7011503568005635,-127.2685775756836,-128.91949462890625,-1.6509170532226562,17,19,passive,1,0,-0.7011503568005635,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_empty,1,0.7011503568005635
1,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,<|endoftext|>,full_sentence_processing,-8.027536728802849,-7.39205611379523,0.6354806150076184,-136.46812438964844,-140.44906616210938,-3.9809417724609375,17,19,passive,1,0,-0.6354806150076184,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,0.6354806150076184
1,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,NA,full_sentence_processing,-7.590936099781709,-6.994928460372122,0.5960076394095877,-129.04591369628906,-132.9036407470703,-3.85772705078125,17,19,passive,1,0,-0.5960076394095877,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_empty,1,0.5960076394095877
2,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,<|endoftext|>,full_sentence_processing,-7.892572739545037,-7.224611784282484,0.6679609552625534,-134.17373657226562,-137.2676239013672,-3.0938873291015625,17,19,passive,1,0,-0.6679609552625534,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,0.6679609552625534
2,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,the vrakudmur drupemzired the kvezemzom .,the kvezemzom was drupemzired by the vrakudmur .,NA,full_sentence_processing,-7.697179457720588,-7.006551642166941,0.6906278155536469,-130.85205078125,-133.12448120117188,-2.272430419921875,17,19,passive,1,0,-0.6906278155536469,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_empty,1,0.6906278155536469
3,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,<|endoftext|>,full_sentence_processing,-8.313882827758789,-7.5981250339084205,0.7157577938503685,-133.02212524414062,-136.76625061035156,-3.7441253662109375,16,18,passive,1,0,-0.7157577938503685,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,0.7157577938503685
3,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,the franorbav grifimloms the smesilrab .,the smesilrab is grifimlomed by the franorbav .,NA,full_sentence_processing,-7.979117393493652,-7.270362006293403,0.7087553872002497,-127.66587829589844,-130.86651611328125,-3.2006378173828125,16,18,passive,1,0,-0.7087553872002497,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_empty,1,0.7087553872002497
4,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,<|endoftext|>,full_sentence_processing,-7.743454933166504,-7.043464660644531,0.6999902725219727,-123.89527893066406,-126.78236389160156,-2.8870849609375,16,18,passive,1,0,-0.6999902725219727,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,0.6999902725219727
4,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,the smevakrab zlodulfined the kvenorkul .,the kvenorkul was zlodulfined by the smevakrab .,NA,full_sentence_processing,-7.219142913818359,-6.698887295193142,0.5202556186252174,-115.50628662109376,-120.57997131347656,-5.0736846923828125,16,18,passive,1,0,-0.5202556186252174,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_empty,1,0.5202556186252174
5,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the skozemdil smenelmurs the vrefimdil .,the vrefimdil is smenelmured by the skozemdil .,<|endoftext|>,full_sentence_processing,-6.317450205485026,-6.369729232788086,-0.05227902730305978,-113.71410369873048,-127.39458465576172,-13.68048095703125,18,20,active,0,1,0.05227902730305978,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,0,-0.05227902730305978
5,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,the skozemdil smenelmurs the vrefimdil .,the vrefimdil is smenelmured by the skozemdil .,NA,full_sentence_processing,-6.147344377305773,-6.109445190429687,0.03789918687608562,-110.6521987915039,-122.18890380859376,-11.536705017089844,18,20,passive,1,0,-0.03789918687608562,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_empty,1,0.03789918687608562
6,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the fradullom grifimloms the vrasilvol .,the vrasilvol is grifimlomed by the fradullom .,<|endoftext|>,full_sentence_processing,-7.500116348266602,-6.802829318576389,0.6972870296902123,-120.00186157226562,-122.450927734375,-2.449066162109375,16,18,passive,1,0,-0.6972870296902123,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,0.6972870296902123
6,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,the fradullom grifimloms the vrasilvol .,the vrasilvol is grifimlomed by the fradullom .,NA,full_sentence_processing,-6.976662635803223,-6.379238128662109,0.5974245071411133,-111.62660217285156,-114.82628631591795,-3.1996841430664062,16,18,passive,1,0,-0.5974245071411133,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_empty,1,0.5974245071411133
7,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a vretortas skotafruded a vramolsim .,a vramolsim was skotafruded by a vretortas .,<|endoftext|>,full_sentence_processing,-7.5443220138549805,-6.765936533610026,0.7783854802449541,-120.70915222167967,-121.78685760498048,-1.0777053833007812,16,18,passive,1,0,-0.7783854802449541,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,0.7783854802449541
7,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a vretortas skotafruded a vramolsim .,a vramolsim was skotafruded by a vretortas .,NA,full_sentence_processing,-7.150933742523193,-6.377471076117621,0.7734626664055719,-114.4149398803711,-114.7944793701172,-0.37953948974609375,16,18,passive,1,0,-0.7734626664055719,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_empty,1,0.7734626664055719
8,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,a tlunelsel smedulpaved a brisilsel .,a brisilsel was smedulpaved by a tlunelsel .,<|endoftext|>,full_sentence_processing,-8.458702087402344,-7.351877000596788,1.1068250868055554,-135.3392333984375,-132.3337860107422,3.0054473876953125,16,18,passive,1,0,-1.1068250868055554,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,1.1068250868055554
8,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,a tlunelsel smedulpaved a brisilsel .,a brisilsel was smedulpaved by a tlunelsel .,NA,full_sentence_processing,-7.280195713043213,-7.155544704861111,0.12465100818210216,-116.4831314086914,-128.7998046875,-12.316673278808594,16,18,passive,1,0,-0.12465100818210216,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_empty,1,0.12465100818210216
9,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the smepemgor klonorruded the plokudsel .,the plokudsel was klonorruded by the smepemgor .,<|endoftext|>,full_sentence_processing,-8.661958821614583,-7.526640050551471,1.135318771063112,-129.92938232421875,-127.952880859375,1.97650146484375,15,17,passive,1,0,-1.135318771063112,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,1.135318771063112
9,processing_teacher_forced,no_prime_empty,no_prime_empty,NA,the smepemgor klonorruded the plokudsel .,the plokudsel was klonorruded by the smepemgor .,NA,full_sentence_processing,-8.073018391927084,-7.4149035285500915,0.6581148633769924,-121.09527587890624,-126.05335998535156,-4.9580841064453125,15,17,passive,1,0,-0.6581148633769924,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_empty,1,0.6581148633769924
10,processing_teacher_forced,no_prime_eos,no_prime_eos,NA,the mnidulzom grinellomed the mnikudpav .,the mnikudpav was grinellomed by the mnidulzom .,<|endoftext|>,full_sentence_processing,-7.813119327320772,-6.526539451197574,1.2865798761231977,-132.82302856445312,-124.0042495727539,8.818778991699219,17,19,passive,1,0,-1.2865798761231977,gpt2_overlap_jabberwocky,GPT-2 lexical-overlap Jabberwocky,gpt2-large,lexical_overlap,jabberwocky_jabberwocky,no_prime_eos,1,1.2865798761231977
