item_index,prompt_template,prime_structure,prime_sentence,target_active,target_passive,agent_noun,patient_noun,active_verb_form,passive_verb_form,prompt,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,chosen_structure
0,word_list,active,a singer punches a reader .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a singer punches a reader .
Use these words in one sentence: pilot, man, embraced
Sentence: the",-2.5504167079925537,-3.9663054943084717,-1.415888786315918,active
0,word_list,passive,a reader is punched by a singer .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a reader is punched by a singer .
Use these words in one sentence: pilot, man, embraced
Sentence: the",-2.1263599395751953,-4.021849155426025,-1.89548921585083,active
0,role_labeled,active,a singer punches a reader .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a singer punches a reader .
Event roles: AGENT=pilot; PATIENT=man; VERB=embraced
Sentence: the",-3.6297755241394043,-4.182067394256592,-0.5522918701171875,active
0,role_labeled,passive,a reader is punched by a singer .,the pilot embraced the man .,the man was embraced by the pilot .,pilot,man,embraced,embraced,"Prime sentence: a reader is punched by a singer .
Event roles: AGENT=pilot; PATIENT=man; VERB=embraced
Sentence: the",-2.988969087600708,-4.233817100524902,-1.2448480129241943,active
1,word_list,active,a partner leads a business .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a partner leads a business .
Use these words in one sentence: reader, tea, destroyed
Sentence: the",-4.220691680908203,-3.883784532546997,0.33690714836120605,passive
1,word_list,passive,a business is led by a partner .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a business is led by a partner .
Use these words in one sentence: reader, tea, destroyed
Sentence: the",-4.187997817993164,-3.4119033813476562,0.7760944366455078,passive
1,role_labeled,active,a partner leads a business .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a partner leads a business .
Event roles: AGENT=reader; PATIENT=tea; VERB=destroyed
Sentence: the",-6.1591386795043945,-4.596114635467529,1.5630240440368652,passive
1,role_labeled,passive,a business is led by a partner .,the reader destroyed the tea .,the tea was destroyed by the reader .,reader,tea,destroyed,destroyed,"Prime sentence: a business is led by a partner .
Event roles: AGENT=reader; PATIENT=tea; VERB=destroyed
Sentence: the",-6.072176933288574,-3.83723521232605,2.2349417209625244,passive
2,word_list,active,the soldier judges the company .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the soldier judges the company .
Use these words in one sentence: employer, anchor, broke/broken
Sentence: the",-3.5014824867248535,-3.7639989852905273,-0.26251649856567383,active
2,word_list,passive,the company is judged by the soldier .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the company is judged by the soldier .
Use these words in one sentence: employer, anchor, broke/broken
Sentence: the",-3.7433853149414062,-4.376930236816406,-0.633544921875,active
2,role_labeled,active,the soldier judges the company .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the soldier judges the company .
Event roles: AGENT=employer; PATIENT=anchor; VERB=broke/broken
Sentence: the",-5.118105411529541,-5.740410804748535,-0.6223053932189941,active
2,role_labeled,passive,the company is judged by the soldier .,an employer broke an anchor .,an anchor was broken by an employer .,employer,anchor,broke,broken,"Prime sentence: the company is judged by the soldier .
Event roles: AGENT=employer; PATIENT=anchor; VERB=broke/broken
Sentence: the",-5.024979591369629,-7.685046672821045,-2.660067081451416,active
3,word_list,active,the reader destroys the tea .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the reader destroys the tea .
Use these words in one sentence: scientist, chicken, collected
Sentence: the",-2.0979976654052734,-3.0475172996520996,-0.9495196342468262,active
3,word_list,passive,the tea is destroyed by the reader .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the tea is destroyed by the reader .
Use these words in one sentence: scientist, chicken, collected
Sentence: the",-3.3803482055664062,-2.7899208068847656,0.5904273986816406,passive
3,role_labeled,active,the reader destroys the tea .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the reader destroys the tea .
Event roles: AGENT=scientist; PATIENT=chicken; VERB=collected
Sentence: the",-3.2964096069335938,-2.8770108222961426,0.41939878463745117,passive
3,role_labeled,passive,the tea is destroyed by the reader .,a scientist collected a chicken .,a chicken was collected by a scientist .,scientist,chicken,collected,collected,"Prime sentence: the tea is destroyed by the reader .
Event roles: AGENT=scientist; PATIENT=chicken; VERB=collected
Sentence: the",-4.3858137130737305,-2.7851293087005615,1.600684404373169,passive
4,word_list,active,a company uses a bottle .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a company uses a bottle .
Use these words in one sentence: army, candy, kept
Sentence: the",-2.2367007732391357,-5.281283378601074,-3.0445826053619385,active
4,word_list,passive,a bottle is used by a company .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a bottle is used by a company .
Use these words in one sentence: army, candy, kept
Sentence: the",-2.3760015964508057,-5.836956977844238,-3.4609553813934326,active
4,role_labeled,active,a company uses a bottle .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a company uses a bottle .
Event roles: AGENT=army; PATIENT=candy; VERB=kept
Sentence: the",-3.946171522140503,-4.683300971984863,-0.7371294498443604,active
4,role_labeled,passive,a bottle is used by a company .,the army kept the candy .,the candy was kept by the army .,army,candy,kept,kept,"Prime sentence: a bottle is used by a company .
Event roles: AGENT=army; PATIENT=candy; VERB=kept
Sentence: the",-4.424167156219482,-5.4510178565979,-1.026850700378418,active
5,word_list,active,a guy removed a hat .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a guy removed a hat .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the",-2.4883873462677,-4.303083419799805,-1.8146960735321045,active
5,word_list,passive,a hat was removed by a guy .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a hat was removed by a guy .
Use these words in one sentence: band, coffee, wants/wanted
Sentence: the",-2.734835386276245,-4.387729644775391,-1.6528942584991455,active
5,role_labeled,active,a guy removed a hat .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a guy removed a hat .
Event roles: AGENT=band; PATIENT=coffee; VERB=wants/wanted
Sentence: the",-4.0576019287109375,-5.231513023376465,-1.1739110946655273,active
5,role_labeled,passive,a hat was removed by a guy .,the band wants the coffee .,the coffee is wanted by the band .,band,coffee,wants,wanted,"Prime sentence: a hat was removed by a guy .
Event roles: AGENT=band; PATIENT=coffee; VERB=wants/wanted
Sentence: the",-4.015332221984863,-4.661846160888672,-0.6465139389038086,active
6,word_list,active,the teacher carries the salad .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the teacher carries the salad .
Use these words in one sentence: brother, beer, smelled
Sentence: the",-4.034395217895508,-3.9051332473754883,0.12926197052001953,passive
6,word_list,passive,the salad is carried by the teacher .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the salad is carried by the teacher .
Use these words in one sentence: brother, beer, smelled
Sentence: the",-6.044145584106445,-3.7053520679473877,2.3387935161590576,passive
6,role_labeled,active,the teacher carries the salad .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the teacher carries the salad .
Event roles: AGENT=brother; PATIENT=beer; VERB=smelled
Sentence: the",-6.041821002960205,-4.520565986633301,1.5212550163269043,passive
6,role_labeled,passive,the salad is carried by the teacher .,a brother smelled a beer .,a beer was smelled by a brother .,brother,beer,smelled,smelled,"Prime sentence: the salad is carried by the teacher .
Event roles: AGENT=brother; PATIENT=beer; VERB=smelled
Sentence: the",-7.2127532958984375,-4.382206916809082,2.8305463790893555,passive
7,word_list,active,the adult understood the boy .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the adult understood the boy .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the",-2.4535958766937256,-4.2708740234375,-1.8172781467437744,active
7,word_list,passive,the boy was understood by the adult .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the boy was understood by the adult .
Use these words in one sentence: writer, professor, strikes/struck
Sentence: the",-2.275235652923584,-4.209639072418213,-1.934403419494629,active
7,role_labeled,active,the adult understood the boy .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the adult understood the boy .
Event roles: AGENT=writer; PATIENT=professor; VERB=strikes/struck
Sentence: the",-6.3091230392456055,-4.361303329467773,1.947819709777832,passive
7,role_labeled,passive,the boy was understood by the adult .,a writer strikes a professor .,a professor is struck by a writer .,writer,professor,strikes,struck,"Prime sentence: the boy was understood by the adult .
Event roles: AGENT=writer; PATIENT=professor; VERB=strikes/struck
Sentence: the",-6.118206024169922,-4.360886096954346,1.7573199272155762,passive
8,word_list,active,a manager beat a writer .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a manager beat a writer .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the",-3.2221689224243164,-4.474458694458008,-1.2522897720336914,active
8,word_list,passive,a writer was beaten by a manager .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a writer was beaten by a manager .
Use these words in one sentence: sheriff, lawyer, washes/washed
Sentence: the",-3.6735966205596924,-4.63041877746582,-0.9568221569061279,active
8,role_labeled,active,a manager beat a writer .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a manager beat a writer .
Event roles: AGENT=sheriff; PATIENT=lawyer; VERB=washes/washed
Sentence: the",-3.678694486618042,-4.3238983154296875,-0.6452038288116455,active
8,role_labeled,passive,a writer was beaten by a manager .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .,sheriff,lawyer,washes,washed,"Prime sentence: a writer was beaten by a manager .
Event roles: AGENT=sheriff; PATIENT=lawyer; VERB=washes/washed
Sentence: the",-4.122552871704102,-4.227934837341309,-0.10538196563720703,active
9,word_list,active,a prince described an aunt .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: a prince described an aunt .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the",-3.313741683959961,-5.397266387939453,-2.083524703979492,active
9,word_list,passive,an aunt was described by a prince .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: an aunt was described by a prince .
Use these words in one sentence: boy, beer, drinks/drunk
Sentence: the",-3.5725862979888916,-5.735180854797363,-2.1625945568084717,active
9,role_labeled,active,a prince described an aunt .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: a prince described an aunt .
Event roles: AGENT=boy; PATIENT=beer; VERB=drinks/drunk
Sentence: the",-3.749885082244873,-5.4131035804748535,-1.6632184982299805,active
9,role_labeled,passive,an aunt was described by a prince .,the boy drinks the beer .,the beer is drunk by the boy .,boy,beer,drinks,drunk,"Prime sentence: an aunt was described by a prince .
Event roles: AGENT=boy; PATIENT=beer; VERB=drinks/drunk
Sentence: the",-3.620994806289673,-5.333001136779785,-1.7120063304901123,active
10,word_list,active,the doctor hurried the manager .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the doctor hurried the manager .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the",-4.8123674392700195,-3.0295889377593994,1.7827785015106201,passive
10,word_list,passive,the manager was hurried by the doctor .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the manager was hurried by the doctor .
Use these words in one sentence: reader, minister, protects/protected
Sentence: the",-5.587151050567627,-3.4647316932678223,2.1224193572998047,passive
10,role_labeled,active,the doctor hurried the manager .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the doctor hurried the manager .
Event roles: AGENT=reader; PATIENT=minister; VERB=protects/protected
Sentence: the",-5.79594612121582,-3.8475661277770996,1.9483799934387207,passive
10,role_labeled,passive,the manager was hurried by the doctor .,a reader protects a minister .,a minister is protected by a reader .,reader,minister,protects,protected,"Prime sentence: the manager was hurried by the doctor .
Event roles: AGENT=reader; PATIENT=minister; VERB=protects/protected
Sentence: the",-5.638812065124512,-4.075231552124023,1.5635805130004883,passive
11,word_list,active,a husband beat a professor .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a husband beat a professor .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the",-2.962188959121704,-4.915327072143555,-1.9531381130218506,active
11,word_list,passive,a professor was beaten by a husband .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a professor was beaten by a husband .
Use these words in one sentence: soldier, pot, destroys/destroyed
Sentence: the",-3.6683363914489746,-5.486881256103516,-1.818544864654541,active
11,role_labeled,active,a husband beat a professor .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a husband beat a professor .
Event roles: AGENT=soldier; PATIENT=pot; VERB=destroys/destroyed
Sentence: the",-4.209434509277344,-6.862283706665039,-2.6528491973876953,active
11,role_labeled,passive,a professor was beaten by a husband .,the soldier destroys the pot .,the pot is destroyed by the soldier .,soldier,pot,destroys,destroyed,"Prime sentence: a professor was beaten by a husband .
Event roles: AGENT=soldier; PATIENT=pot; VERB=destroys/destroyed
Sentence: the",-3.965517044067383,-7.013097763061523,-3.0475807189941406,active
12,word_list,active,a husband killed a boy .,the winner asks the princess .,the princess is asked by the winner .,winner,princess,asks,asked,"Prime sentence: a husband killed a boy .
Use these words in one sentence: winner, princess, asks/asked
Sentence: the",-3.225876808166504,-5.092171669006348,-1.8662948608398438,active
