item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,prompt,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,active_choice_logprob_sum,passive_choice_logprob_sum,passive_minus_active_logprob_sum,active_target_token_count,passive_target_token_count,chosen_structure,passive_choice_indicator
0,processing_teacher_forced,active,active,the skozemdil zrarukloms the smesilrab .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,the skozemdil zrarukloms the smesilrab . ,full_sentence_processing,-7.0625,-7.003472222222222,0.05902777777777768,-113.0,-126.0625,-13.0625,16,18,passive,1.0
0,processing_teacher_forced,passive,passive,the smesilrab is zraruklomed by the skozemdil .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,the smesilrab is zraruklomed by the skozemdil . ,full_sentence_processing,-7.1484375,-6.392361111111111,0.7560763888888893,-114.375,-115.0625,-0.6875,16,18,passive,1.0
0,processing_teacher_forced,no_prime_eos,no_prime_eos,,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,<|eot_id|> ,full_sentence_processing,-7.89453125,-7.972222222222222,-0.07769097222222232,-126.3125,-143.5,-17.1875,16,18,active,0.0
0,processing_teacher_forced,no_prime_empty,no_prime_empty,,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,,full_sentence_processing,-7.453125,-7.375,0.078125,-119.25,-132.75,-13.5,16,18,passive,1.0
0,processing_teacher_forced,filler,filler,The nasker plodded near hulven .,a vrepimpav drupemzired a smevakkul .,a smevakkul was drupemzired by a vrepimpav .,The nasker plodded near hulven . ,full_sentence_processing,-7.55078125,-6.972222222222222,0.5785590277777777,-120.8125,-125.5,-4.6875,16,18,passive,1.0
1,processing_teacher_forced,active,active,a brikudtas vragafmured a klosilfin .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,a brikudtas vragafmured a klosilfin . ,full_sentence_processing,-7.495833333333334,-7.352941176470588,0.1428921568627457,-112.4375,-125.0,-12.5625,15,17,passive,1.0
1,processing_teacher_forced,passive,passive,a klosilfin was vragafmured by a brikudtas .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,a klosilfin was vragafmured by a brikudtas . ,full_sentence_processing,-7.454166666666667,-7.011029411764706,0.443137254901961,-111.8125,-119.1875,-7.375,15,17,passive,1.0
1,processing_teacher_forced,no_prime_eos,no_prime_eos,,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,<|eot_id|> ,full_sentence_processing,-8.816666666666666,-8.191176470588236,0.6254901960784309,-132.25,-139.25,-7.0,15,17,passive,1.0
1,processing_teacher_forced,no_prime_empty,no_prime_empty,,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,,full_sentence_processing,-8.4,-7.654411764705882,0.7455882352941181,-126.0,-130.125,-4.125,15,17,passive,1.0
1,processing_teacher_forced,filler,filler,The drabble quisted in varlen .,the grivarbav zranorzirs the frazemzom .,the frazemzom is zranorzired by the grivarbav .,The drabble quisted in varlen . ,full_sentence_processing,-7.816666666666666,-7.238970588235294,0.577696078431372,-117.25,-123.0625,-5.8125,15,17,passive,1.0
