prompt_column,prime_condition,generation_class_strict_final,n_items,total_items,share
prompt_active,active,active,1945,2048,0.94970703125
prompt_active,active,other,103,2048,0.05029296875
prompt_filler,filler,active,753,2048,0.36767578125
prompt_filler,filler,other,888,2048,0.43359375
prompt_filler,filler,passive,407,2048,0.19873046875
prompt_no_prime,no_prime,active,764,2048,0.373046875
prompt_no_prime,no_prime,other,1064,2048,0.51953125
prompt_no_prime,no_prime,passive,220,2048,0.107421875
prompt_passive,passive,active,478,2048,0.2333984375
prompt_passive,passive,other,69,2048,0.03369140625
prompt_passive,passive,passive,1501,2048,0.73291015625
